>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Srd5a1	2.46011619418549	3.14618788179661e-35	4.77926913830784e-32
Il18	2.92398359643224	7.66278861991848e-34	1.02708412643213e-30
Procr	2.62746037501454	1.64998568477998e-33	1.97876704281034e-30
Gm10123	17.8239323971474	4.2601801778407e-28	3.03351454788369e-25
Stmn4	3.26978394067153	1.84067031023866e-25	1.07542342792559e-22
Prg4	3.91687746264985	2.12979231277062e-25	1.21323619096978e-22
Pla2g2a	23.1976629398785	2.26622396740101e-25	1.25946778832194e-22
Mmp27	2.70031170620388	1.37303124766283e-23	6.51789375192611e-21
Il1r2	6.22589067513803	4.07023384808836e-23	1.78354516274118e-20
Tnmd	5.28811570906117	8.75030534643778e-22	3.43766306248157e-19
Kcnk5	2.82174322923953	1.21192775642381e-21	4.6805060776056e-19
Sbsn	3.35238629590744	7.38451327652619e-21	2.67084951617342e-18
Angptl1	4.71886969433018	7.62522562391168e-20	2.31664521421936e-17
Prss12	2.77539250316613	1.22540657606628e-18	3.32406121931504e-16
Fgl2	2.1595291721307	1.67059565769278e-17	3.73197967217526e-15
Sfrp2	2.75369772311423	2.02166385354597e-17	4.42938774681717e-15
Mbp	2.26197684574162	2.54058039077216e-16	5.07804077053811e-14
Adh7	3.32375704946539	5.10904617397804e-16	9.78275009413979e-14
Rorb	2.69359571997898	1.423826530005e-15	2.59546490501551e-13
Papln	2.13112845215213	2.52012040936262e-15	4.35026239755581e-13
Myoc	4.15362980234474	3.58613796268354e-14	5.37590392221758e-12
AW551984	2.10098464452619	4.39986846121038e-14	6.55264070308102e-12
Ppp2r2b	2.73554031889589	4.58204387123228e-14	6.77963971752589e-12
Msx1	2.7088084259756	5.89394307358926e-14	8.55410107482834e-12
Opcml	2.07445091619383	3.87153156477931e-13	4.74283431371298e-11
Gpr1	3.76334400368651	4.31661268073942e-13	5.25980409322612e-11
Krt36	4.78129016125015	1.73698136150452e-12	1.90282967804048e-10
Dmkn	3.44857837863447	2.83709915830259e-12	2.99287691764273e-10
