PMID	ACCESSION	TRAIT	INITIAL_SAMPLE_SIZE	PLATFORM	FIRST_AUTHOR	PUBLICATION_DATE	TITLE	ESTIMATED_TOTAL
28552196	GCST008163	Height	1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals	Affymetrix, Illumina, Perlegen [15844966] (imputed)	Tachmazidou I	2017-06-01	Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.	57129
37049604	GCST90275120	Height	58,701 Korean ancestry individuals	Affymetrix [NR] (imputed)	Park S	2023-04-04	Height-Related Polygenic Variants Are Associated with Metabolic Syndrome Risk and Interact with Energy Intake and a Rice-Main Diet to Influence Height in KoGES.	58701
36224396	GCST90245993	Height	58,709 Hispanic or Latin American individuals	Affymetrix, Illumina [1372262] (imputed)	Yengo L	2022-10-12	A saturated map of common genetic variants associated with human height.	58709
35399580	GCST90095033	Height	59,771 Hispanic or Latin American individuals	Affymetrix, Illumina [8927938] (imputed)	Fernandez-Rhodes L	2022-03-11	Ancestral diversity improves discovery and fine-mapping of genetic loci for anthropometric traits-The Hispanic/Latino Anthropometry Consortium.	59771
31217584	GCST008053	Height	17,286 African American individuals, 22,192 Hispanic/Latino individuals, 4,680 Asian ancestry individuals, 3,939 Native Hawaiian ancestry individuals, 647 Native American ancestry individuals, 1,052 individuals	Illumina [34656550] (imputed)	Wojcik GL	2019-06-19	Genetic analyses of diverse populations improves discovery for complex traits.	49796
36224396	GCST90245994	Height	60,939 South Asian ancestry individuals	Illumina [1339059] (imputed)	Yengo L	2022-10-12	A saturated map of common genetic variants associated with human height.	60939
35653334	GCST90105050	Height	63,898 non-Hispanic black ancestry individuals	Affymetrix [NR] (imputed)	Raghavan S	2022-06-02	A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program.	63898
34662886	GCST90078644	Any other phobia e.g. disabling fear of heights or spiders (UKB data field 20544)	1,902 European ancestry cases, 42,366 European ancestry controls	Affymetrix, Illumina [89217]	Backman JD	2021-10-18	Exome sequencing and analysis of 454,787 UK Biobank participants.	44268
34662886	GCST90082630	Any other phobia e.g. disabling fear of heights or spiders (UKB data field 20544) (Gene-based burden)	1,902 European ancestry cases, 42,366 European ancestry controls	Illumina [138642]	Backman JD	2021-10-18	Exome sequencing and analysis of 454,787 UK Biobank participants.	44268
35831902	GCST90131910	Height	67,452 Han Chinese ancestry individuals	Affymetrix [NR] (imputed)	Chiou JS	2022-07-13	Your height affects your health: genetic determinants and health-related outcomes in Taiwan.	67452
33713608	GCST90013466	Height	41,389 African ancestry individuals	Affymetrix, Illumina [17972582] (imputed)	Graff M	2021-03-05	Discovery and fine-mapping of height loci via high-density imputation of GWASs in individuals of African ancestry.	41389
35534559	GCST90133114	Height (population-based)	upto 71,108 European ancestry sibship	Affymetrix, Illumina [NR] (imputed)	Howe LJ	2022-05-09	Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.	71108
35534559	GCST90133138	Height (within-sibship)	upto 71,108 European ancestry sibship	Affymetrix, Illumina [NR] (imputed)	Howe LJ	2022-05-09	Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.	71108
36777999	GCST90255411	Height	72,288 Korean ancestry individuals	NR [8056211] (imputed)	Nam K	2022-10-05	Genome-wide study on 72,298 individuals in Korean biobank data for 76 traits.	72288
25429064	GCST002702	Height	36,227 East Asian ancestry individuals	Affymetrix, Illumina [2704730] (imputed)	He M	2014-11-26	Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.	36227
36224396	GCST90245847	Height	77,890 South Asian ancestry individuals	Illumina [1385132] (imputed)	Yengo L	2022-10-12	A saturated map of common genetic variants associated with human height.	77890
18391951	GCST000175	Height	30,968 European ancestry individuals	Affymetrix, Illumina [up to 304226]	Gudbjartsson DF	2008-04-06	Many sequence variants affecting diversity of adult human height.	30968
28270201	GCST004212	Height	19,965 British ancestry individuals from 6863 families.	Illumina [24111857] (imputed)	Nagy R	2017-03-07	Exploration of haplotype research consortium imputation for genome-wide association studies in 20,032 Generation Scotland participants.	26828
33713608	GCST90013468	Height	25,369 African ancestry women	Affymetrix, Illumina [19885954] (imputed)	Graff M	2021-03-05	Discovery and fine-mapping of height loci via high-density imputation of GWASs in individuals of African ancestry.	25369
36217425	GCST90225553	Height	91,438 European ancestry individuals	NR [580000]	Lin Z	2022-09-20	Leveraging omics data to boost the power of genome-wide association studies.	91438
