section	field	value
metadata	matrix_rows	51686
metadata	samples	Bladder,Brain,Cloaca,GallBladder,Gill,Heart,Intestine,Kidney,Limb,Liver,Lung,Pancreas,Prostate,Spleen,Stomach
metadata	Stomach_markers_present	6
panel_rank	Stomach	Cloaca>GallBladder>Pancreas>Limb>Bladder>Lung>Brain>Prostate>Kidney>Spleen>Gill>Intestine>Stomach>Liver>Heart
panel_score	Stomach:Bladder	0.288336
panel_score	Stomach:Brain	0.109236
panel_score	Stomach:Cloaca	1.034520
panel_score	Stomach:GallBladder	0.572921
panel_score	Stomach:Gill	-0.098993
panel_score	Stomach:Heart	-4.272486
panel_score	Stomach:Intestine	-0.487463
panel_score	Stomach:Kidney	-0.040546
panel_score	Stomach:Limb	0.313975
panel_score	Stomach:Liver	-0.864150
panel_score	Stomach:Lung	0.113574
panel_score	Stomach:Pancreas	0.442752
panel_score	Stomach:Prostate	0.001365
panel_score	Stomach:Spleen	-0.075165
panel_score	Stomach:Stomach	-0.505090
metadata	Cloaca_markers_present	10
panel_rank	Cloaca	Prostate>Bladder>Stomach>Kidney>Limb>Gill>Lung>Pancreas>Cloaca>GallBladder>Brain>Intestine>Spleen>Liver>Heart
panel_score	Cloaca:Bladder	0.852900
panel_score	Cloaca:Brain	-0.216727
panel_score	Cloaca:Cloaca	-0.138283
panel_score	Cloaca:GallBladder	-0.147895
panel_score	Cloaca:Gill	0.303002
panel_score	Cloaca:Heart	-1.110744
panel_score	Cloaca:Intestine	-0.443836
panel_score	Cloaca:Kidney	0.362366
panel_score	Cloaca:Limb	0.347450
panel_score	Cloaca:Liver	-1.007702
panel_score	Cloaca:Lung	0.253209
panel_score	Cloaca:Pancreas	-0.009588
panel_score	Cloaca:Prostate	1.207013
panel_score	Cloaca:Spleen	-0.522320
panel_score	Cloaca:Stomach	0.603534
decision	expected_stomach_profile	Cloaca
decision	expected_cloaca_profile	Stomach
decision	stomach_panel_margin_Cloaca_minus_Stomach	1.539610
decision	cloaca_panel_margin_Stomach_minus_Cloaca	0.741817
decision	inversion_supported	YES
decision	swap	Cloaca,Stomach
marker	panel	values_in_sample_order
marker	Stomach:GKN1	2431,3401,6118,2045,4306,4379,3604,2349,4148,1201,3148,4570,2958,1069,1469
marker_best	Stomach:GKN1	Cloaca
marker	Stomach:CLDN18	408,415,3425,266,474,409,394,224,586,131,345,598,490,235,177
marker_best	Stomach:CLDN18	Cloaca
marker	Stomach:CHIA	1583,2647,8046,1762,3021,0,1737,1943,3598,1418,2851,8293,2204,1460,1270
marker_best	Stomach:CHIA	Cloaca
marker	Stomach:MUC5AC	6309,6961,4676,3011,8147,7838,4168,4947,7896,2505,8152,7642,7327,3822,2804
marker_best	Stomach:MUC5AC	Bladder
marker	Stomach:PGC	1480,2385,2650,517,3117,0,2902,1520,2604,2199,2974,2602,3275,2099,2164
marker_best	Stomach:PGC	Spleen
marker_missing	Stomach	ATP4A
marker	Stomach:ATP4B	266,375,120,196,308,317,245,285,441,122,334,537,336,181,139
marker_best	Stomach:ATP4B	GallBladder
marker_missing	Stomach	GAST
marker_missing	Stomach	MUC6
marker_missing	Stomach	GIF
marker	Cloaca:HOXA13	2635,740,503,315,1613,1098,691,665,2156,290,1058,913,2358,549,2358
marker_best	Cloaca:HOXA13	Bladder
marker	Cloaca:HOXD10	1001,977,529,183,1385,1297,625,2078,2515,215,1167,1125,9967,513,3108
marker_best	Cloaca:HOXD10	Prostate
marker	Cloaca:HOXD3	2530,1597,2834,587,4375,2556,2364,3230,3300,718,2383,2339,8048,865,3484
marker_best	Cloaca:HOXD3	Prostate
marker_missing	Cloaca	HOXA10
marker_missing	Cloaca	HOXA11
marker	Cloaca:PAX8	388,813,277,328,942,765,464,1827,750,241,600,895,1406,315,348
marker_best	Cloaca:PAX8	Kidney
marker	Cloaca:PAX2	818,776,856,277,936,970,906,866,596,291,720,1271,2707,406,358
marker_best	Cloaca:PAX2	Prostate
marker	Cloaca:FOXA2	2777,2874,8280,1692,5390,3588,4077,1665,3469,3163,6491,8081,3617,932,3923
marker_best	Cloaca:FOXA2	Cloaca
marker	Cloaca:WNT7B	1677,1342,965,753,4850,1346,1173,1070,2159,574,1936,2019,2131,617,1137
marker_best	Cloaca:WNT7B	Gill
marker	Cloaca:TBX2	2191,1205,691,313,1779,2422,1179,1307,1406,1092,2150,1030,5400,402,866
marker_best	Cloaca:TBX2	Prostate
marker	Cloaca:TBX3	4471,1855,1678,450,4764,4600,5930,1374,4870,2683,5506,2397,9693,2429,2772
marker_best	Cloaca:TBX3	Prostate
marker	Cloaca:HOXB13	925,581,327,290,1003,0,479,494,830,173,552,684,609,166,1408
marker_best	Cloaca:HOXB13	Stomach
