section	field	value
metadata	matrix_rows	51686
metadata	samples	tss_start,tss_end,strand,chunk,tss_local,Bladder,Brain,Cloaca,GallBladder,Gill,Heart,Intestine,Kidney,Limb,Liver,Lung,Pancreas,Prostate,Spleen,Stomach
metadata	Stomach_markers_present	0
panel_rank	Stomach	tss_start>tss_end>strand>chunk>tss_local>Bladder>Brain>Cloaca>GallBladder>Gill>Heart>Intestine>Kidney>Limb>Liver>Lung>Pancreas>Prostate>Spleen>Stomach
panel_score	Stomach:tss_start	nan
panel_score	Stomach:tss_end	nan
panel_score	Stomach:strand	nan
panel_score	Stomach:chunk	nan
panel_score	Stomach:tss_local	nan
panel_score	Stomach:Bladder	nan
panel_score	Stomach:Brain	nan
panel_score	Stomach:Cloaca	nan
panel_score	Stomach:GallBladder	nan
panel_score	Stomach:Gill	nan
panel_score	Stomach:Heart	nan
panel_score	Stomach:Intestine	nan
panel_score	Stomach:Kidney	nan
panel_score	Stomach:Limb	nan
panel_score	Stomach:Liver	nan
panel_score	Stomach:Lung	nan
panel_score	Stomach:Pancreas	nan
panel_score	Stomach:Prostate	nan
panel_score	Stomach:Spleen	nan
panel_score	Stomach:Stomach	nan
metadata	Cloaca_markers_present	0
panel_rank	Cloaca	tss_start>tss_end>strand>chunk>tss_local>Bladder>Brain>Cloaca>GallBladder>Gill>Heart>Intestine>Kidney>Limb>Liver>Lung>Pancreas>Prostate>Spleen>Stomach
panel_score	Cloaca:tss_start	nan
panel_score	Cloaca:tss_end	nan
panel_score	Cloaca:strand	nan
panel_score	Cloaca:chunk	nan
panel_score	Cloaca:tss_local	nan
panel_score	Cloaca:Bladder	nan
panel_score	Cloaca:Brain	nan
panel_score	Cloaca:Cloaca	nan
panel_score	Cloaca:GallBladder	nan
panel_score	Cloaca:Gill	nan
panel_score	Cloaca:Heart	nan
panel_score	Cloaca:Intestine	nan
panel_score	Cloaca:Kidney	nan
panel_score	Cloaca:Limb	nan
panel_score	Cloaca:Liver	nan
panel_score	Cloaca:Lung	nan
panel_score	Cloaca:Pancreas	nan
panel_score	Cloaca:Prostate	nan
panel_score	Cloaca:Spleen	nan
panel_score	Cloaca:Stomach	nan
decision	expected_stomach_profile	Cloaca
decision	expected_cloaca_profile	Stomach
decision	stomach_panel_margin_Cloaca_minus_Stomach	nan
decision	cloaca_panel_margin_Stomach_minus_Cloaca	nan
decision	inversion_supported	NO
decision	swap	None
marker	panel	values_in_sample_order
marker_missing	Stomach	GKN1
marker_missing	Stomach	CLDN18
marker_missing	Stomach	CHIA
marker_missing	Stomach	MUC5AC
marker_missing	Stomach	PGC
marker_missing	Stomach	ATP4A
marker_missing	Stomach	ATP4B
marker_missing	Stomach	GAST
marker_missing	Stomach	MUC6
marker_missing	Stomach	GIF
marker_missing	Cloaca	HOXA13
marker_missing	Cloaca	HOXD10
marker_missing	Cloaca	HOXD3
marker_missing	Cloaca	HOXA10
marker_missing	Cloaca	HOXA11
marker_missing	Cloaca	PAX8
marker_missing	Cloaca	PAX2
marker_missing	Cloaca	FOXA2
marker_missing	Cloaca	WNT7B
marker_missing	Cloaca	TBX2
marker_missing	Cloaca	TBX3
marker_missing	Cloaca	HOXB13
