sample	best_label	best_score	second_label	second_score	label_score	label_rank
Bladder	Limb	-16.102277	Bladder	-16.220529	-16.220529	2
Brain	Brain	-15.652498	Limb	-16.158370	-15.652498	1
Cloaca	Cloaca	-16.300976	GallBladder	-16.557316	-16.300976	1
GallBladder	Liver	-16.067912	GallBladder	-16.126249	-16.126249	2
Gill	Bladder	-15.631308	Limb	-16.113230	-16.440419	6
Heart	Heart	-17.022850	Kidney	-17.151578	-17.022850	1
Intestine	Intestine	-16.218742	Liver	-16.931877	-16.218742	1
Kidney	Liver	-16.409370	GallBladder	-16.580912	-16.799887	7
Limb	Limb	-15.781086	Spleen	-16.358057	-15.781086	1
Liver	Liver	-16.145454	Intestine	-17.680347	-16.145454	1
Lung	Limb	-16.117648	Lung	-16.202557	-16.202557	2
Pancreas	Pancreas	-14.894398	Brain	-16.346376	-14.894398	1
Prostate	Bladder	-16.155060	GallBladder	-16.229006	-16.318270	3
Spleen	Spleen	-16.544690	Limb	-16.951459	-16.544690	1
Stomach	Limb	-16.643792	Bladder	-16.795026	-17.920279	15
