section	field	value
metadata	matrix_rows	51686
metadata	samples	Bladder,Brain,Cloaca,GallBladder,Gill,Heart,Intestine,Kidney,Limb,Liver,Lung,Pancreas,Prostate,Spleen,Stomach
metadata	Stomach_markers_present	4
panel_rank	Stomach	GallBladder>Cloaca>Pancreas>Bladder>Lung>Limb>Brain>Kidney>Gill>Prostate>Spleen>Intestine>Stomach>Liver>Heart
panel_score	Stomach:Bladder	0.415350
panel_score	Stomach:Brain	0.111185
panel_score	Stomach:Cloaca	0.812303
panel_score	Stomach:GallBladder	0.844229
panel_score	Stomach:Gill	-0.107528
panel_score	Stomach:Heart	-2.937970
panel_score	Stomach:Intestine	-0.372346
panel_score	Stomach:Kidney	0.046264
panel_score	Stomach:Limb	0.311306
panel_score	Stomach:Liver	-1.060916
panel_score	Stomach:Lung	0.373836
panel_score	Stomach:Pancreas	0.426107
panel_score	Stomach:Prostate	-0.286682
panel_score	Stomach:Spleen	-0.290182
panel_score	Stomach:Stomach	-0.586941
metadata	Cloaca_markers_present	10
panel_rank	Cloaca	Prostate>Bladder>Stomach>Limb>Kidney>Gill>Lung>Pancreas>Brain>GallBladder>Cloaca>Spleen>Intestine>Liver>Heart
panel_score	Cloaca:Bladder	0.898554
panel_score	Cloaca:Brain	-0.186248
panel_score	Cloaca:Cloaca	-0.248374
panel_score	Cloaca:GallBladder	-0.205911
panel_score	Cloaca:Gill	0.304702
panel_score	Cloaca:Heart	-1.147213
panel_score	Cloaca:Intestine	-0.504060
panel_score	Cloaca:Kidney	0.377665
panel_score	Cloaca:Limb	0.400392
panel_score	Cloaca:Liver	-1.000567
panel_score	Cloaca:Lung	0.280540
panel_score	Cloaca:Pancreas	0.007542
panel_score	Cloaca:Prostate	1.367249
panel_score	Cloaca:Spleen	-0.441717
panel_score	Cloaca:Stomach	0.663927
decision	expected_stomach_profile	Cloaca
decision	expected_cloaca_profile	Stomach
decision	stomach_panel_margin_Cloaca_minus_Stomach	1.399244
decision	cloaca_panel_margin_Stomach_minus_Cloaca	0.912301
decision	inversion_supported	YES
decision	swap	Cloaca,Stomach
marker	panel	values_in_sample_order
marker	Stomach:GKN1	334,460,475,340,622,533,962,406,686,164,452,718,340,162,201
marker_best	Stomach:GKN1	GallBladder
marker_missing	Stomach	CLDN18
marker	Stomach:CHIA	508,887,3491,549,973,0,574,638,1178,521,936,1537,831,518,441
marker_best	Stomach:CHIA	Cloaca
marker	Stomach:MUC5AC	1326,910,1832,434,1180,874,651,494,874,266,2121,1064,702,404,468
marker_best	Stomach:MUC5AC	Cloaca
marker_missing	Stomach	PGC
marker_missing	Stomach	ATP4A
marker	Stomach:ATP4B	266,375,120,196,308,317,245,285,441,122,334,537,336,181,139
marker_best	Stomach:ATP4B	GallBladder
marker_missing	Stomach	GAST
marker_missing	Stomach	MUC6
marker_missing	Stomach	GIF
marker	Cloaca:HOXA13	2635,740,503,315,1613,1098,691,665,2156,290,1058,913,2358,549,2358
marker_best	Cloaca:HOXA13	Bladder
marker	Cloaca:HOXD10	1001,977,529,183,1385,1297,625,2078,2515,215,1167,1125,9967,513,3108
marker_best	Cloaca:HOXD10	Prostate
marker	Cloaca:HOXD3	1493,830,399,308,1583,823,757,1896,2041,270,817,1032,6881,476,2527
marker_best	Cloaca:HOXD3	Prostate
marker_missing	Cloaca	HOXA10
marker_missing	Cloaca	HOXA11
marker	Cloaca:PAX8	388,813,277,328,942,765,464,1827,750,241,600,895,1406,315,348
marker_best	Cloaca:PAX8	Kidney
marker	Cloaca:PAX2	818,776,856,277,936,970,906,866,596,291,720,1271,2707,406,358
marker_best	Cloaca:PAX2	Prostate
marker	Cloaca:FOXA2	1232,1241,4940,474,2762,1642,1538,647,1552,1776,3839,4037,1934,546,1416
marker_best	Cloaca:FOXA2	Cloaca
marker	Cloaca:WNT7B	1020,857,621,397,3072,823,742,605,1307,331,1339,1197,1643,388,766
marker_best	Cloaca:WNT7B	Gill
marker	Cloaca:TBX2	2191,1205,691,313,1779,2422,1179,1307,1406,1092,2150,1030,5400,402,866
marker_best	Cloaca:TBX2	Prostate
marker	Cloaca:TBX3	4471,1855,1678,450,4764,4600,5930,1374,4870,2683,5506,2397,9693,2429,2772
marker_best	Cloaca:TBX3	Prostate
marker	Cloaca:HOXB13	925,581,327,290,1003,0,479,494,830,173,552,684,609,166,1408
marker_best	Cloaca:HOXB13	Stomach
