sample	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach	best_marker_label	best_score	label_score	label_rank	marker_coverage
Bladder	-16.220529	-16.375832	-16.709700	-16.287948	-16.621741	-16.600310	-16.998134	-16.588043	-16.102277	-16.951488	-16.962163	-16.950927	-16.536532	-16.461112	-16.925054	Limb	-16.102277	-16.220529	2	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Brain	-16.874716	-15.652498	-17.000651	-16.635076	-16.865695	-16.745148	-16.972911	-16.784102	-16.158370	-16.863754	-17.100941	-16.856708	-16.779299	-16.760358	-17.146374	Brain	-15.652498	-15.652498	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Cloaca	-17.438976	-16.773756	-16.300976	-16.557316	-17.302495	-17.320547	-17.426772	-17.367845	-16.602091	-17.591993	-17.407675	-17.455683	-16.832239	-17.901363	-16.957319	Cloaca	-16.300976	-16.300976	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
GallBladder	-16.302899	-16.256574	-16.397749	-16.126249	-16.392524	-16.342895	-16.246328	-16.474489	-16.314330	-16.067912	-16.626014	-16.283595	-16.677114	-17.067269	-16.446041	Liver	-16.067912	-16.126249	2	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Gill	-15.631308	-16.328347	-16.841955	-16.379021	-16.440419	-16.844616	-17.251695	-16.178434	-16.113230	-17.083084	-16.944250	-17.352387	-16.680371	-16.796942	-17.225508	Bladder	-15.631308	-16.440419	6	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Heart	-19.565401	-17.277754	-20.353541	-18.073684	-18.634549	-17.022850	-18.197078	-17.151578	-18.520552	-18.858750	-21.783826	-18.135924	-17.840709	-19.432126	-20.498239	Heart	-17.022850	-17.022850	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Intestine	-17.259159	-17.233178	-17.459675	-16.987578	-17.547779	-17.508365	-16.218742	-17.678455	-16.959621	-16.931877	-17.834123	-17.570362	-17.386791	-17.914064	-17.931178	Intestine	-16.218742	-16.218742	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Kidney	-16.899372	-16.783831	-16.972931	-16.580912	-17.006573	-16.917486	-16.709013	-16.799887	-16.581423	-16.409370	-16.939529	-17.002500	-16.693664	-16.820809	-17.246028	Liver	-16.409370	-16.799887	7	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Limb	-16.413283	-16.408214	-16.746534	-16.546097	-16.690468	-16.484461	-16.984938	-16.666008	-15.781086	-16.918201	-17.040504	-17.009419	-16.846048	-16.358057	-16.908273	Limb	-15.781086	-15.781086	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Liver	-18.359603	-17.942281	-18.182641	-17.963564	-18.265860	-18.043017	-17.680347	-18.269999	-17.688298	-16.145454	-18.024523	-18.129561	-18.177048	-18.303174	-18.264579	Liver	-16.145454	-16.145454	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Lung	-16.714721	-16.459510	-16.852798	-16.426398	-16.795589	-16.946206	-17.272644	-16.988102	-16.117648	-17.233009	-16.202557	-17.233068	-16.673559	-17.160969	-17.097338	Limb	-16.117648	-16.202557	2	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Pancreas	-16.626978	-16.346376	-16.576684	-16.347103	-16.735031	-16.578920	-16.875560	-16.710724	-16.411034	-16.557649	-16.852212	-14.894398	-16.811757	-17.102477	-16.786115	Pancreas	-14.894398	-14.894398	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Prostate	-16.155060	-16.686543	-16.940626	-16.229006	-16.862337	-17.199444	-17.485287	-16.785411	-16.371106	-17.392295	-17.423376	-17.413805	-16.318270	-16.606837	-17.489926	Bladder	-16.155060	-16.318270	3	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Spleen	-17.695030	-16.951574	-17.640500	-17.341792	-17.556663	-17.343093	-17.676172	-17.279864	-16.951459	-17.700727	-17.713160	-17.550545	-17.505598	-16.544690	-17.560828	Spleen	-16.544690	-16.544690	1	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
Stomach	-16.795026	-16.939151	-17.298010	-16.821039	-17.359250	-17.360727	-16.952817	-17.390187	-16.643792	-17.078672	-17.404577	-17.613618	-16.927420	-17.780401	-17.920279	Limb	-16.643792	-17.920279	15	Bladder:9,Brain:13,Cloaca:11,GallBladder:9,Gill:10,Heart:12,Intestine:10,Kidney:9,Limb:10,Liver:9,Lung:7,Pancreas:15,Prostate:9,Spleen:8,Stomach:7
