row_type	scope	model	n	unique_frequencies	observed_min_frequency	observed_max_frequency	r_squared	adjusted_r_squared	rss	AIC	BIC	optimal_frequency	max_predicted_area
fit	mixture_only_287_98	quadratic	36	12	0.25	0.999000999000999	0.360885518711718	0.32215130772455	70938912206.5858	880.619950884869	886.954026638693	0.727142245656037	111640.194943227
fit	mixture_only_287_98	cubic	36	12	0.25	0.999000999000999	0.58270183172394	0.54358012844806	46318271592.9601	867.273777387321	875.191372079602	0.818229607892108	136110.463677932
fit	mixture_only_287_98	natural_spline_df4	36	12	0.25	0.999000999000999	0.782733451554746	0.754699058206971	24115636645.438	845.777439064685	855.278552695422	0.901921628772921	180771.363486404
best_AIC	mixture_only_287_98	natural_spline_df4	36	12	0.25	0.999000999000999	0.782733451554746	0.754699058206971	24115636645.438	845.777439064685	855.278552695422	0.901921628772921	180771.363486404
best_BIC	mixture_only_287_98	natural_spline_df4	36	12	0.25	0.999000999000999	0.782733451554746	0.754699058206971	24115636645.438	845.777439064685	855.278552695422	0.901921628772921	180771.363486404
best_adjusted_r_squared	mixture_only_287_98	natural_spline_df4	36	12	0.25	0.999000999000999	0.782733451554746	0.754699058206971	24115636645.438	845.777439064685	855.278552695422	0.901921628772921	180771.363486404
best_r_squared	mixture_only_287_98	natural_spline_df4	36	12	0.25	0.999000999000999	0.782733451554746	0.754699058206971	24115636645.438	845.777439064685	855.278552695422	0.901921628772921	180771.363486404
fit	full_287_98_with_pure_endpoints	quadratic	42	14	0	1	0.243191469226316	0.204380775340486	101096210208.583	1034.46092884258	1041.41160731571	0.704938196601125	91245.5264949677
fit	full_287_98_with_pure_endpoints	cubic	42	14	0	1	0.528264454883048	0.491022175005393	63015510387.0857	1016.60787546688	1025.2962235583	0.771438196601125	125576.366048515
fit	full_287_98_with_pure_endpoints	natural_spline_df4	42	14	0	1	0.807593130591518	0.786792387952763	25702148594.1894	980.942010807363	991.368028517063	0.897638196601125	178983.924748926
best_AIC	full_287_98_with_pure_endpoints	natural_spline_df4	42	14	0	1	0.807593130591518	0.786792387952763	25702148594.1894	980.942010807363	991.368028517063	0.897638196601125	178983.924748926
best_BIC	full_287_98_with_pure_endpoints	natural_spline_df4	42	14	0	1	0.807593130591518	0.786792387952763	25702148594.1894	980.942010807363	991.368028517063	0.897638196601125	178983.924748926
best_adjusted_r_squared	full_287_98_with_pure_endpoints	natural_spline_df4	42	14	0	1	0.807593130591518	0.786792387952763	25702148594.1894	980.942010807363	991.368028517063	0.897638196601125	178983.924748926
best_r_squared	full_287_98_with_pure_endpoints	natural_spline_df4	42	14	0	1	0.807593130591518	0.786792387952763	25702148594.1894	980.942010807363	991.368028517063	0.897638196601125	178983.924748926
