GroupBy(field-2)	GroupBy(field-21)	GroupBy(field-23)	count(field-1)
1	n	n	56514
10015	n	n	2
10016	Dipodomys	n	3
10020	Dipodomys	Dipodomys ordii	5
1002693	Callosciurus	Callosciurus orestes	1
100272	n	uncultured eukaryote	92
1002788	Indicator	Indicator indicator	1
10028	Cricetulus	n	1
10029	Cricetulus	Cricetulus griseus	9
10036	Mesocricetus	Mesocricetus auratus	2
10041	Peromyscus	Peromyscus leucopus	5
10045	n	n	2
10047	Meriones	Meriones unguiculatus	3
10066	n	n	3
10088	Mus	n	3
10089	Mus	Mus caroli	2
100897	Microtus	Microtus fortis	1
10090	Mus	Mus musculus	30
10093	Mus	Mus pahari	3
1010633	Digitaria	Digitaria exilis	3
10114	Rattus	n	4
10116	Rattus	Rattus norvegicus	10
10129	Apodemus	Apodemus sylvaticus	3
10141	Cavia	Cavia porcellus	7
10160	Octodon	Octodon degus	6
10167	n	n	1
10181	Heterocephalus	Heterocephalus glaber	47
10184	Castor	n	1
10244	Orthopoxvirus	Monkeypox virus	2
1026970	Nannospalax	Nannospalax galili	9
103695	Pogona	Pogona vitticeps	1
10376	Lymphocryptovirus	Lymphocryptovirus humangamma4	224
1041015	Drosophila	Drosophila rhopaloa	1
1041522	Mycobacterium	Mycobacterium colombiense	1
1041607	Wickerhamomyces	Wickerhamomyces ciferrii	1
1046770	Chernes	Chernes hahnii	1
104688	Bactrocera	Bactrocera oleae	1
1047088	Arvicola	Arvicola amphibius	2
105255	Dipodomys	Dipodomys spectabilis	1
106582	Maylandia	Maylandia zebra	1
106734	Chelonoidis	Chelonoidis abingdonii	1
1075113	Gastropholis	Gastropholis vittata	1
108790	Phymastichus	Phymastichus coffea	1
1092587	n	mammal environmental sample	1
109475	Suncus	Suncus etruscus	4
109478	Myotis	Myotis brandtii	5
109678	Phodopus	Phodopus roborovskii	3
109940	Amolops	n	1
110931	Cynocephalus	Cynocephalus volans	7
111789	n	eukaryotic synthetic construct	3
111838	Microtus	Microtus oregoni	3
1119341	Sycotetra	Sycotetra sp. 2248_06a	1
1129001	Emydura	Emydura macquarii	1
1131652	Talaromyces	Talaromyces proteolyticus	1
113334	Melitaea	Melitaea cinxia	2
1137484	Cercopithecus	Cercopithecus albogularis	1
114329	Neopelma	Neopelma chrysocephalum	1
115357	Harmonia	Harmonia axyridis	1
116989	Coturnix	Coturnix pectoralis	1
117571	n	n	144
118141	Megalops	Megalops cyprinoides	1
1206795	n	n	2
1208706	Hydropsyche	Hydropsyche fontinalis	1
121492	Corticium	Corticium candelabrum	1
122286	Mesalina	Mesalina brevirostris	1
1230341	Salimicrobium	Salimicrobium jeotgali	1
1230840	Orycteropus	Orycteropus afer	1
123367	n	n	1
1245769	Lachancea	Lachancea lanzarotensis	1
1263754	Petaurista	Petaurista elegans	1
127582	Trichechus	Trichechus manatus	5
127875	Cinclus	Cinclus cinclus	2
1279	Staphylococcus	n	6
129914	n	n	1
1302610	Eiseniella	Eiseniella tetraedra	1
1306438	Fargesia	Fargesia denudata	39
130825	Ochotona	Ochotona curzoniae	2
13149	Microcebus	n	1
131567	n	n	1480
131668	Megascelis	Megascelis sp. BDF-2000	1
1329799	n	n	1
1329912	n	n	1
1329950	n	n	2
1337062	Kockiozyma	Kockiozyma suomiensis	1
1338369	n	n	3
1349410	Pandoravirus	Pandoravirus salinus	1
13551	Gryllodes	Gryllodes sigillatus	4
13616	Monodelphis	Monodelphis domestica	3
1367208	Barathronus	n	1
13677	Scomber	Scomber scombrus	1
13686	Solenopsis	Solenopsis invicta	1
139415	Fomitopsis	Fomitopsis serialis	1
1394709	n	candidate division SR1 bacterium RAAC1_SR1_1	1
1410327	Acytostelium	Acytostelium subglobosum	1
143291	Pteropus	Pteropus giganteus	2
143292	Manis	Manis pentadactyla	4
143302	Condylura	Condylura cristata	5
1437010	n	n	1396
1437183	n	n	5
144197	Stegastes	Stegastes partitus	2
1447062	Youhaiella	Youhaiella tibetensis	1
1458985	Moorena	Moorena producens	1
147538	n	n	1
