cell_type	gene	count_eye1	count_eye2	cpm_eye1	cpm_eye2	log2fc_eye1_minus_eye2
microglial cell	B2M	39.0	29.0	38.56029693406091	34.44008731155928	0.16081970314800778
microglial cell	BST2	0.0	0.0	0.0	0.0	0.0
microglial cell	C3	0.0	0.0	0.0	0.0	0.0
microglial cell	CCL2	2.0	0.0	1.9774511248236362	0.0	2.308856596192757
microglial cell	CD44	1.0	2.0	0.9887255624118181	2.3751784352799503	-0.9495736670543313
microglial cell	CFB	0.0	0.0	0.0	0.0	0.0
microglial cell	CHI3L1	1.0	1.0	0.9887255624118181	1.1875892176399752	-0.1808859487278988
microglial cell	CTSS	11.0	10.0	10.875981186529998	11.875892176399752	-0.12154154847330237
microglial cell	CXCL10	0.0	0.0	0.0	0.0	0.0
microglial cell	CXCL2	0.0	0.0	0.0	0.0	0.0
microglial cell	CXCL8	0.0	0.0	0.0	0.0	0.0
microglial cell	FOS	22.0	10.0	21.751962373059996	11.875892176399752	0.8464000385496935
microglial cell	FOSB	0.0	0.0	0.0	0.0	0.0
microglial cell	GBP1	0.0	0.0	0.0	0.0	0.0
microglial cell	GBP2	1.0	0.0	0.9887255624118181	0.0	1.5740778262914747
microglial cell	HLA-DRA	0.0	5.0	0.0	5.937946088199876	-3.686600495639396
microglial cell	HLA-DRB1	0.0	2.0	0.0	2.3751784352799503	-2.523651493345806
microglial cell	ICAM1	1.0	0.0	0.9887255624118181	0.0	1.5740778262914747
microglial cell	IER3	1.0	3.0	0.9887255624118181	3.5627676529199257	-1.448385033831276
microglial cell	IFI44L	0.0	1.0	0.0	1.1875892176399752	-1.7549637750193736
microglial cell	IFI6	53.0	39.0	52.40245480782635	46.315979487959034	0.17633362611058226
microglial cell	IFIT1	36.0	21.0	35.59412024682545	24.93937357043948	0.5047006948457678
microglial cell	IFIT2	11.0	6.0	10.875981186529998	7.125535305839851	0.5770804620116694
microglial cell	IFIT3	16.0	8.0	15.81960899858909	9.500713741119801	0.7065035247990893
microglial cell	IL1B	0.0	0.0	0.0	0.0	0.0
microglial cell	IL6	0.0	0.0	0.0	0.0	0.0
microglial cell	IRF7	0.0	0.0	0.0	0.0	0.0
microglial cell	IRF9	7.0	15.0	6.921078936882727	17.813838264599628	-1.3032333288597633
microglial cell	ISG15	1.0	1.0	0.9887255624118181	1.1875892176399752	-0.1808859487278988
microglial cell	JUNB	45.0	22.0	44.49265030853181	26.126962788079457	0.7568014753775146
microglial cell	LGALS3	14.0	22.0	13.842157873765453	26.126962788079457	-0.8926257730140357
microglial cell	MX1	2.0	4.0	1.9774511248236362	4.750356870559901	-1.0835588909458251
microglial cell	NFKBIA	8.0	7.0	7.909804499294545	8.313124523479827	-0.06758132667713432
microglial cell	OAS1	1.0	1.0	0.9887255624118181	1.1875892176399752	-0.1808859487278988
microglial cell	OAS2	1.0	0.0	0.9887255624118181	0.0	1.5740778262914747
microglial cell	OAS3	0.0	0.0	0.0	0.0	0.0
