section	sample	cell_type_or_gene	n	value1	value2	value3
validation	all	matrix_dimensions	18001	36601x8646	36601x9355	36601
validation	all	gene_header	36602	gene_ids|gene_symbols	100	0
validation	all	missing_markers	0			
library	1	total_counts	8646	2486.0	1448.0	5833.5
preliminary_celltype	1	astrocyte	202	0.09265778958797455	0.06292600929737091	0.5235451459884644
preliminary_celltype	1	microglial cell	220	0.01729021593928337	0.0	0.4380720257759094
preliminary_celltype	1	RPE cell	287	0.020584391430020332	0.0	0.6702111959457397
preliminary_celltype	1	cone cell	648	0.015580209903419018	0.0	0.6543848514556885
preliminary_celltype	1	rod cell	3402	0.013843102380633354	0.0	0.4582420587539673
preliminary_celltype	1	horizontal cell	367	0.030917814001441002	0.0	1.1831746101379395
preliminary_celltype	1	bipolar cell	1165	0.019647734239697456	0.0	0.48052775859832764
preliminary_celltype	1	RGC	319	0.01950335130095482	0.0	0.6621182560920715
preliminary_celltype	1	T cells	495	0.02485206164419651	0.0	0.013721596449613571
preliminary_celltype	1	macrophage	225	0.016287891194224358	0.0	0.40135061740875244
preliminary_celltype	1	Schwann cell	163	0.04751841351389885	0.0	1.0893023014068604
preliminary_celltype	1	Pericyte	178	0.05048910528421402	0.0	0.9582479596138
preliminary_celltype	1	B cell	64	0.023040784522891045	0.0	1.424964427947998
preliminary_celltype	1	fibroblast	60	0.10481361299753189	0.07159218192100525	1.6031112670898438
preliminary_celltype	1	muller glia cell	778	0.05727183446288109	0.0	0.2802402377128601
preliminary_celltype	1	endothelial cell	73	0.036783285439014435	0.0	1.0672531127929688
inflammation_gene	1	ISG15	8646	0.00708681158721447	0.006245662734212352	0.0
inflammation_gene	1	IFIT1	8646	0.03414822742342949	0.028452463566967384	0.0
inflammation_gene	1	IFIT2	8646	0.006945684552192688	0.005783021050196623	0.0
inflammation_gene	1	IFIT3	8646	0.011273288168013096	0.009252833680314597	0.0
inflammation_gene	1	IFI6	8646	0.05700723081827164	0.04429794124450613	0.0
inflammation_gene	1	IFI44	8646	0.00021688088600058109	0.00011566042100393245	0.0
inflammation_gene	1	IFI44L	8646	0.00047706576879136264	0.0002313208420078649	0.0
inflammation_gene	1	MX1	8646	0.005433520767837763	0.004742077261161231	0.0
inflammation_gene	1	OAS1	8646	0.0005766235990449786	0.0004626416840157298	0.0
inflammation_gene	1	OAS2	8646	0.000473583466373384	0.0004626416840157298	0.0
inflammation_gene	1	OAS3	8646	0.0004482031799852848	0.00034698126301179735	0.0
inflammation_gene	1	RSAD2	8646	0.01116043422371149	0.008790191996298867	0.0
inflammation_gene	1	STAT1	8646	0.15940189361572266	0.10848947490168864	0.7870176434516907
inflammation_gene	1	IRF7	8646	0.0354207418859005	0.027642840619939858	0.0
inflammation_gene	1	CXCL10	8646	0.022628633305430412	0.01919962988665279	0.0
inflammation_gene	1	CCL2	8646	0.015059955418109894	0.013300948415452232	0.0
inflammation_gene	1	NFKBIA	8646	0.07578781247138977	0.054013416608836455	0.0
inflammation_gene	1	ICAM1	8646	0.05160068720579147	0.03689567430025445	0.0
inflammation_gene	1	TNF	8646	0.0	0.0	0.0
inflammation_gene	1	IL6	8646	0.01838105544447899	0.015845477677538748	0.0
inflammation_gene	1	CXCL8	8646	0.005719798617064953	0.004973398103169095	0.0
library	2	total_counts	9355	2342.0	1315.4	4857.6
preliminary_celltype	2	astrocyte	266	0.0192976426333189	0.0	0.6526523232460022
preliminary_celltype	2	microglial cell	265	0.014709413051605225	0.0	0.6072590351104736
preliminary_celltype	2	RPE cell	367	0.015570240095257759	0.0	0.6341923475265503
preliminary_celltype	2	cone cell	876	0.013805652968585491	0.0	0.5009431838989258
preliminary_celltype	2	rod cell	3084	0.015523616224527359	0.0	0.396792471408844
preliminary_celltype	2	horizontal cell	366	0.026679130271077156	0.0	1.0342960357666016
preliminary_celltype	2	bipolar cell	1162	0.01462027058005333	0.0	0.416578471660614
preliminary_celltype	2	RGC	383	0.018957454711198807	0.0	0.6934342980384827
preliminary_celltype	2	T cells	622	0.013657704927027225	0.0	0.013721596449613571
preliminary_celltype	2	macrophage	282	0.015267639420926571	0.0	0.4949142336845398
preliminary_celltype	2	Schwann cell	144	0.017748072743415833	0.0	1.1308093070983887
preliminary_celltype	2	Pericyte	235	0.018788663670420647	0.0	0.9640530943870544
preliminary_celltype	2	B cell	126	0.01617167331278324	0.0	1.5228826999664307
preliminary_celltype	2	fibroblast	67	0.01617605611681938	0.0	2.476219892501831
preliminary_celltype	2	muller glia cell	1031	0.01437264122068882	0.0	0.22632119059562683
preliminary_celltype	2	endothelial cell	79	0.013265784829854965	0.0	1.1845016479492188
inflammation_gene	2	ISG15	9355	0.006734867114573717	0.005451630144307857	0.0
inflammation_gene	2	IFIT1	9355	0.026998046785593033	0.02041688936397648	0.0
inflammation_gene	2	IFIT2	9355	0.0053076427429914474	0.00427578834847675	0.0
inflammation_gene	2	IFIT3	9355	0.006359569728374481	0.0051309460181721	0.0
inflammation_gene	2	IFI6	9355	0.04330163076519966	0.03196151790486371	0.0
inflammation_gene	2	IFI44	9355	0.0	0.0	0.0
inflammation_gene	2	IFI44L	9355	0.0006770092877559364	0.0007482629609834314	0.0
inflammation_gene	2	MX1	9355	0.0032621114514768124	0.002672367717797969	0.0
inflammation_gene	2	OAS1	9355	0.0008339848136529326	0.0008551576696953501	0.0
inflammation_gene	2	OAS2	9355	0.00045232175034470856	0.00042757883484767506	0.0
inflammation_gene	2	OAS3	9355	0.0003387359029147774	0.00032068412613575625	0.0
inflammation_gene	2	RSAD2	9355	0.006026242394000292	0.004382683057188669	0.0
inflammation_gene	2	STAT1	9355	0.172478586435318	0.10839123463388563	0.9393102049827581
inflammation_gene	2	IRF7	9355	0.01849650964140892	0.012399786210582577	0.0
inflammation_gene	2	CXCL10	9355	0.0002103313890984282	0.00010689470871191876	0.0
inflammation_gene	2	CCL2	9355	0.0016955224564298987	0.001389631213254944	0.0
inflammation_gene	2	NFKBIA	9355	0.031116684898734093	0.022340994120791022	0.0
inflammation_gene	2	ICAM1	9355	0.006389786954969168	0.004703367183324425	0.0
inflammation_gene	2	TNF	9355	0.0	0.0	0.0
inflammation_gene	2	IL6	9355	0.00022126210387796164	0.00021378941742383753	0.0
inflammation_gene	2	CXCL8	9355	0.00017699666204862297	0.00010689470871191876	0.0
