cell_type	n_eye1	n_eye2	combined_mean_eye1	combined_mean_eye2	standardized_delta_eye1_minus_eye2	auc_eye1_over_eye2	rank_effect_eye1_minus_eye2	median_inflammation_log2fc	n_genes_log2fc_gt1	n_genes_log2fc_lt_minus1	interferon_mean_eye1	interferon_mean_eye2	interferon_std_delta	cytokine_nfkB_mean_eye1	cytokine_nfkB_mean_eye2	cytokine_nfkB_std_delta	inflammatory_effector_mean_eye1	inflammatory_effector_mean_eye2	inflammatory_effector_std_delta	consensus_magnitude
muller glia cell	496	448	0.23884083330631256	0.1645568162202835	0.9732265457616189	0.7858222926267281	0.5716445852534562	-0.05683351912998006	13	2	0.10673904418945312	0.03660645708441734	0.9129186360177544	0.4438134729862213	0.25748515129089355	1.251590426870392	0.151395782828331	0.20658323168754578	-0.37364952379338157	0.9149979402173225
microglial cell	128	129	0.037262897938489914	0.03047472983598709	0.21768007538945935	0.5545058139534884	0.10901162790697683	0.0	9	9	0.06296638399362564	0.04694030061364174	0.2680388084610904	0.021914223209023476	0.013309062458574772	0.2665665434807395	0.02483711577951908	0.03131484612822533	-0.13848301014173453	0.18157165303679662
RPE cell	41	49	0.024817533791065216	0.017665240913629532	0.258705439961376	0.5403185664509706	0.0806371329019413	0.0	8	4	0.03656061738729477	0.028791267424821854	0.1403436721464947	0.018036287277936935	0.012775680050253868	0.12439791200402123	0.018863331526517868	0.010181479156017303	0.24385088007500152	0.1668722795557333
B cell	130	131	0.02590656280517578	0.02106461115181446	0.1733799779071677	0.5518496770405167	0.10369935408103337	0.0	6	4	0.04410402476787567	0.029423967003822327	0.27240586278629103	0.019135210663080215	0.01653110794723034	0.06920084379405589	0.012195229530334473	0.01647358573973179	-0.11338912043008906	0.16149268005008927
endothelial cell	272	286	0.023581039160490036	0.019209854304790497	0.13045578101129437	0.5418809132044426	0.0837618264088853	0.09313707914489536	10	4	0.027774516493082047	0.01878189481794834	0.2153014077984799	0.022210853174328804	0.021139895543456078	0.020071500658558696	0.020193086937069893	0.017407355830073357	0.060605812554113854	0.15829277979428188
T cells	63	67	0.02684187702834606	0.023330463096499443	0.14104724649105715	0.5412224591329069	0.0824449182658138	0.0	5	6	0.04350278899073601	0.033966001123189926	0.1937812702650923	0.02032989077270031	0.015889199450612068	0.12442216562636996	0.014663171023130417	0.019497327506542206	-0.13718813478079123	0.1294606670961662
RGC	44	38	0.024087827652692795	0.025938257575035095	-0.07202280853008634	0.4479665071770335	-0.10406698564593297	0.0	11	4	0.0334007702767849	0.02528109773993492	0.1688764404051439	0.01904284954071045	0.027639692649245262	-0.20729069944899975	0.018966274335980415	0.024685129523277283	-0.15235439977729556	0.1280745884892951
rod cell	6150	6787	0.01831231266260147	0.021677061915397644	-0.1294268562252762	0.4675024586697908	-0.06499508266041842	-0.024088258437336727	0	2	0.021068230271339417	0.02327370084822178	-0.04869116682253448	0.017527207732200623	0.02189062163233757	-0.10202809691395266	0.015947336331009865	0.019504819065332413	-0.07847846912522251	0.11616678754795608
bipolar cell	757	755	0.02142026647925377	0.018747245892882347	0.11117245753875206	0.5298354431487136	0.05967088629742712	0.0	7	2	0.03312191739678383	0.0245848186314106	0.17655198894676044	0.014597572386264801	0.013162190094590187	0.0443495431038551	0.015565518289804459	0.01844421960413456	-0.07165819560320741	0.0967283721436778
cone cell	319	384	0.020824508741497993	0.019496893510222435	0.0642237149769554	0.5282131661442007	0.056426332288401326	0.0	0	5	0.024095531553030014	0.02147100679576397	0.07158003065732188	0.01984368823468685	0.018010245636105537	0.05348924913488793	0.01807626523077488	0.018911942839622498	-0.022588673878377798	0.0778342372807198
horizontal cell	180	204	0.028705520555377007	0.03078443370759487	-0.06259141050787903	0.47396514161220044	-0.05206971677559913	0.0	6	7	0.04187224805355072	0.03547385707497597	0.09801856466381537	0.02669471688568592	0.03532298281788826	-0.17483781625264583	0.015318412333726883	0.01971087045967579	-0.11261065000145647	0.07293352027822547
Schwann cell	66	77	0.029683144763112068	0.032841406762599945	-0.08479742735942161	0.5017709563164109	0.0035419126328217754	0.0	4	10	0.035188063979148865	0.025889359414577484	0.16755362638088483	0.01634909398853779	0.017889467999339104	-0.04159853312432005	0.03907810524106026	0.05912618339061737	-0.23277831932238063	0.031807721752628984
