cluster	assigned_cell_type	n_eye1	n_eye2	score	score_margin	top_enriched_genes	marker_support
0	rod cell	2030	912	2.3649041824296733	1.7303679443918705	PDE6A,EYS,PCDH15,ANO2,SAG,RP1,PTPN13,CNGB1,DMD,GRB10,NTM,ABCA4,THSD7B,AIPL1,GPC6	RHO:2.184/0.854,GNAT1:1.814/0.759,NRL:1.534/0.683,PDE6A:4.695/1.000,CNGA1:1.701/0.737,ROM1:1.806/0.748
1	rod cell	812	1950	2.0863655010798183	1.7988928156117887	PLOD2,PDE6A,SND1,EYS,LIMCH1,SORBS2,DMD,ANO2,OXR1,PPP2R2B,ARHGAP10,IMPG2,MAP1B,AC107021.1,PCDH15	RHO:2.044/0.813,GNAT1:1.696/0.711,NRL:1.299/0.592,PDE6A:4.406/1.000,CNGA1:1.446/0.648,ROM1:1.814/0.726
2	rod cell	1243	1230	2.3310990209771814	1.668324389705111	PDE6A,EYS,ANO2,PCDH15,DMD,AC130415.1,AC079362.1,THSD7B,SAG,USH2A,AC044810.2,ABCA4,GPC6,CNGB1,DISC1	RHO:2.120/0.913,GNAT1:1.797/0.856,NRL:1.482/0.780,PDE6A:4.594/1.000,CNGA1:1.756/0.859,ROM1:1.756/0.823
3	rod cell	855	1160	1.6863950357966666	1.3783334143984005	PDE6A,CNGB1,ANO2,EYS,DMD,NTM,PCDH15,SAG,ABCA4,GPC6,RABGEF1,SYNE2,THSD7B,SORBS2,AC130415.1	RHO:1.971/0.716,GNAT1:1.338/0.517,NRL:1.148/0.469,PDE6A:4.601/0.997,CNGA1:1.287/0.519,ROM1:1.316/0.493
4	rod cell	701	739	1.8753297670736009	1.479608394757928	PDE6A,EYS,ANO2,SAG,CNGB1,PCDH15,AC044810.2,DMD,TMEM108,ABCA4,USH2A,NTM,THSD7B,TTC39C,PTPN13	RHO:2.006/0.824,GNAT1:1.416/0.631,NRL:1.163/0.553,PDE6A:4.683/1.000,CNGA1:1.623/0.717,ROM1:1.377/0.610
5	rod cell	509	796	2.1704966054655506	1.7096789156687826	MARCH1,EYS,SAG,PDE6A,DMD,PCDH15,ANO2,DISC1,IMPG2,AC079362.1,USH2A,PPP2R2B,SND1,MMP2-AS1,AC130415.1	RHO:1.977/0.842,GNAT1:1.774/0.780,NRL:1.382/0.667,PDE6A:4.378/0.999,CNGA1:1.689/0.781,ROM1:1.701/0.752
6	cone cell	302	361	4.336730352033751	3.9144079587948553	AC112206.2,KCNB2,PEX5L,AC023905.1,NEDD4L,AC019197.1,SLC24A2,CNGB3,ARR3,XYLT1,PDE6H,NRG1,SEMA6D,GALNT13,COL4A3	ARR3:2.582/0.977,GNAT2:0.534/0.422,OPN1LW:1.366/0.750,OPN1MW:0.176/0.128,PDE6H:2.782/0.974,CNGB3:2.554/0.982
7	bipolar cell	382	270	2.340641198052788	1.1772756154992758	LRRTM4,ROBO2,MDGA2,SDK1,DOK6,PTPRM,NRXN3,DGKI,SAMD5,MTUS2,RGS7,AL033504.1,FGF12,CA10,PRKCA	VSX2:1.038/0.644,GRM6:1.550/0.819,TRPM1:2.666/0.980,CABP5:0.777/0.521,OTX2:1.325/0.759,PRKCA:3.337/0.995
8	muller glia cell	495	0	3.8366697610908034	0.9936397413975571	CTNNA2,TF,GABRG3,NEAT1,LSAMP,WIF1,FOXP2,TRPM3,BTG2,LRRC4C,KAZN,PIP5K1B,NAV2,RASGRP1,PRKG1	RLBP1:1.332/0.760,GLUL:2.514/0.943,SLC1A3:1.992/0.861,CLU:1.518/0.741,APOE:1.013/0.606,CRYAB:1.246/0.661,VIM:1.095/0.614
9	muller glia cell	1	448	3.3674695864869197	0.7266030512336652	CTNNA2,NEAT1,TF,GABRG3,LSAMP,LRRC4C,PIP5K1B,FOXP2,KAZN,NAV2,TRPM3,WIF1,AKAP12,CP,PDE8B	RLBP1:1.190/0.708,GLUL:2.401/0.938,SLC1A3:1.726/0.800,CLU:1.255/0.682,APOE:0.751/0.514,CRYAB:1.550/0.757,VIM:0.970/0.590
10	endothelial cell	176	213	0.27618642296669427	0.08114994446811022	NRXN3,GRIK1,CA10,MDGA2,DGKB,PCDH9,NEBL,KHDRBS2,TENM3,NETO1,TAFA4,NCKAP5,GRM7,NRG3,RYR2	PECAM1:0.000/0.000,VWF:0.008/0.008,EMCN:0.006/0.005,KDR:0.009/0.005,CLDN5:0.001/0.003,RAMP2:0.000/0.000
11	bipolar cell	120	167	0.66883457588076	0.3153360897920877	GRIK1,NRXN3,DSCAM,NRG1,PDE4B,DPP10,CNTNAP2,CNTN4,CNTNAP5,CDH20,NEBL,CA10,SAMSN1,ANKS1B,CADPS	VSX2:0.758/0.436,GRM6:0.054/0.038,TRPM1:0.033/0.017,CABP5:1.206/0.596,OTX2:1.367/0.697,PRKCA:0.088/0.056
12	microglial cell	128	129	1.6136728493155998	0.13247335758798373	GRIP1,DLGAP1,ADGRL3,NRXN3,ADGRB3,NRXN1,DSCAM,RALYL,PTPRK,ATRNL1,NRG3,GRIA4,NAV3,PCDH9,SNTG1	P2RY12:0.110/0.125,CX3CR1:0.020/0.019,C1QA:0.003/0.004,C1QB:0.008/0.008,HEXB:0.254/0.241,TREM2:0.003/0.004
13	horizontal cell	84	109	2.987669531685631	1.9615845292116283	LSAMP,NAV3,GRIA4,CNTN4,TENM2,CACNA1C,NRG1,NRXN3,GRIA3,PVALB,UNC5D,FRMPD4,PCP4,NEBL,TNR	LHX1:0.923/0.736,ONECUT1:2.221/0.990,CALB1:0.065/0.062,PROX1:1.138/0.772,PCP4:2.902/1.000
