sample	disease	cell_type
Control_n1_B_cell	normal	B_cell
Control_n2_B_cell	normal	B_cell
Control_n3_B_cell	normal	B_cell
SARS_CoV2_pos_Mild_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe_n1_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe_n2_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe_n3_B_cell	COVID_19	B_cell
Control_n1_T_cell	normal	T_cell
Control_n2_T_cell	normal	T_cell
Control_n3_T_cell	normal	T_cell
SARS_CoV2_pos_Mild_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe_n1_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe_n2_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe_n3_T_cell	COVID_19	T_cell
Control_n3_erythroid_lineage_cell	normal	erythroid_lineage_cell
SARS_CoV2_pos_Mild_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
SARS_CoV2_pos_Severe_n1_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
SARS_CoV2_pos_Severe_n2_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
Control_n1_monocyte	normal	monocyte
Control_n2_monocyte	normal	monocyte
Control_n3_monocyte	normal	monocyte
SARS_CoV2_pos_Mild_monocyte	COVID_19	monocyte
SARS_CoV2_pos_Severe_n1_monocyte	COVID_19	monocyte
SARS_CoV2_pos_Severe_n2_monocyte	COVID_19	monocyte
Control_n1_neutrophil	normal	neutrophil
Control_n2_neutrophil	normal	neutrophil
Control_n3_neutrophil	normal	neutrophil
SARS_CoV2_pos_Mild_neutrophil	COVID_19	neutrophil
SARS_CoV2_pos_Severe_n1_neutrophil	COVID_19	neutrophil
SARS_CoV2_pos_Severe_n2_neutrophil	COVID_19	neutrophil
Control_n1_platelet	normal	platelet
Control_n3_platelet	normal	platelet
SARS_CoV2_pos_Severe_n1_platelet	COVID_19	platelet
SARS_CoV2_pos_Severe_n2_platelet	COVID_19	platelet
