sample	disease	cell_type
Control_#1_B_cell	normal	B_cell
Control_#2_B_cell	normal	B_cell
Control_#3_B_cell	normal	B_cell
SARS_CoV2_pos_Mild_B_cell	COVID-19	B_cell
SARS_CoV2_pos_Severe_#1_B_cell	COVID-19	B_cell
SARS_CoV2_pos_Severe_#2_B_cell	COVID-19	B_cell
SARS_CoV2_pos_Severe_#3_B_cell	COVID-19	B_cell
Control_#1_T_cell	normal	T_cell
Control_#2_T_cell	normal	T_cell
Control_#3_T_cell	normal	T_cell
SARS_CoV2_pos_Mild_T_cell	COVID-19	T_cell
SARS_CoV2_pos_Severe_#1_T_cell	COVID-19	T_cell
SARS_CoV2_pos_Severe_#2_T_cell	COVID-19	T_cell
SARS_CoV2_pos_Severe_#3_T_cell	COVID-19	T_cell
Control_#3_erythroid_lineage_cell	normal	erythroid_lineage_cell
SARS_CoV2_pos_Mild_erythroid_lineage_cell	COVID-19	erythroid_lineage_cell
SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	COVID-19	erythroid_lineage_cell
SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	COVID-19	erythroid_lineage_cell
Control_#1_monocyte	normal	monocyte
Control_#2_monocyte	normal	monocyte
Control_#3_monocyte	normal	monocyte
SARS_CoV2_pos_Mild_monocyte	COVID-19	monocyte
SARS_CoV2_pos_Severe_#1_monocyte	COVID-19	monocyte
SARS_CoV2_pos_Severe_#2_monocyte	COVID-19	monocyte
Control_#1_neutrophil	normal	neutrophil
Control_#2_neutrophil	normal	neutrophil
Control_#3_neutrophil	normal	neutrophil
SARS_CoV2_pos_Mild_neutrophil	COVID-19	neutrophil
SARS_CoV2_pos_Severe_#1_neutrophil	COVID-19	neutrophil
SARS_CoV2_pos_Severe_#2_neutrophil	COVID-19	neutrophil
Control_#1_platelet	normal	platelet
Control_#3_platelet	normal	platelet
SARS_CoV2_pos_Severe_#1_platelet	COVID-19	platelet
SARS_CoV2_pos_Severe_#2_platelet	COVID-19	platelet
