	disease
Control_#1_B_cell	normal
Control_#2_B_cell	normal
Control_#3_B_cell	normal
SARS_CoV2_pos_Mild_B_cell	COVID-19
SARS_CoV2_pos_Severe_#1_B_cell	COVID-19
SARS_CoV2_pos_Severe_#2_B_cell	COVID-19
SARS_CoV2_pos_Severe_#3_B_cell	COVID-19
Control_#1_T_cell	normal
Control_#2_T_cell	normal
Control_#3_T_cell	normal
SARS_CoV2_pos_Mild_T_cell	COVID-19
SARS_CoV2_pos_Severe_#1_T_cell	COVID-19
SARS_CoV2_pos_Severe_#2_T_cell	COVID-19
SARS_CoV2_pos_Severe_#3_T_cell	COVID-19
Control_#3_erythroid_lineage_cell	normal
SARS_CoV2_pos_Mild_erythroid_lineage_cell	COVID-19
SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	COVID-19
SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	COVID-19
Control_#1_monocyte	normal
Control_#2_monocyte	normal
Control_#3_monocyte	normal
SARS_CoV2_pos_Mild_monocyte	COVID-19
SARS_CoV2_pos_Severe_#1_monocyte	COVID-19
SARS_CoV2_pos_Severe_#2_monocyte	COVID-19
Control_#1_neutrophil	normal
Control_#2_neutrophil	normal
Control_#3_neutrophil	normal
SARS_CoV2_pos_Mild_neutrophil	COVID-19
SARS_CoV2_pos_Severe_#1_neutrophil	COVID-19
SARS_CoV2_pos_Severe_#2_neutrophil	COVID-19
Control_#1_platelet	normal
Control_#3_platelet	normal
SARS_CoV2_pos_Severe_#1_platelet	COVID-19
SARS_CoV2_pos_Severe_#2_platelet	COVID-19
