	1
# FIMO (Find Individual Motif Occurrences): Version 5.5.8 compiled on May 19 2025 at 00:20:33	1
# The format of this file is described at https://meme-suite.org/meme/doc/fimo-output-format.html#tsv_results.	1
# fimo -o ./out/ /corral4/main/objects/8/f/5/dataset_8f58eafc-c3bc-49de-a297-e9293f483197.dat /corral4/main/objects/b/c/9/dataset_bc9e41c4-1a2c-4e0d-ae87-e02e6d1702ef.dat	1
MA0002.3	11697
MA0003.5	11307
MA0037.5	4028
MA0039.5	43057
MA0080.7	20561
MA0138.3	7467
MA0148.5	4659
MA0680.3	6298
MA0769.3	5974
MA1100.3	11739
