section	query_sample	rank	panel_population	panel_sample	panel_region	compared	mismatches	concordance
match	Sample1	1	Yoruba	HGDP00928	Africa	84572	0	1.000000000
match	Sample1	2	BantuHerero	HGDP01035	Africa	84572	28640	0.661353640
match	Sample1	3	Finnish	HG00190	WestEurasia	84572	33404	0.605022939
match	Sample1	4	Punjabi	HG02724	SouthAsia	84572	33872	0.599489193
match	Sample1	5	Mandenka	HGDP00915	Africa	84535	34356	0.593588454
match	Sample1	6	Luo	Ayodo_502C	Africa	84527	34693	0.589563098
match	Sample1	7	Bulala	CHBU007	Africa	84543	34765	0.588789137
match	Sample1	8	Ngumba	CANG014	Africa	84527	35011	0.585800987
match	Sample1	9	Mada	CAMD045	Africa	84542	35122	0.584561520
match	Sample1	10	Laka	CHLA001	Africa	84545	35181	0.583878408
match	Sample2	1	BantuHerero	HGDP01035	Africa	84572	0	1.000000000
match	Sample2	2	Yoruba	HGDP00928	Africa	84572	28640	0.661353640
match	Sample2	3	Punjabi	HG02724	SouthAsia	84572	33250	0.606843873
match	Sample2	4	Finnish	HG00190	WestEurasia	84572	33452	0.604455375
match	Sample2	5	BantuTswana	HGDP01034	Africa	84526	33992	0.597851549
match	Sample2	6	Mada	CAMD045	Africa	84542	34298	0.594308155
match	Sample2	7	Czech	NA15728	WestEurasia	77219	34327	0.555459149
match	Sample2	8	Ngumba	CANG007	Africa	84545	34358	0.593612869
match	Sample2	9	Ngumba	CANG014	Africa	84527	34365	0.593443515
match	Sample2	10	Mada	CAMD042	Africa	84536	34505	0.591830699
match	Sample3	1	Punjabi	HG02724	SouthAsia	84572	0	1.000000000
match	Sample3	2	Finnish	HG00190	WestEurasia	84572	28418	0.663978622
match	Sample3	3	Kapu	K4	SouthAsia	81882	31089	0.620319484
match	Sample3	4	Czech	NA15728	WestEurasia	77219	31109	0.597132830
match	Sample3	5	Daur	HGDP01217	EastAsia	78333	31314	0.600245107
match	Sample3	6	Yadava	Y4	SouthAsia	81750	31769	0.611388379
match	Sample3	7	Papuan	HGDP00543	Oceania	76260	32083	0.579294519
match	Sample3	8	Irula	I3	SouthAsia	84547	32195	0.619205885
match	Sample3	9	Hazara	HGDP00125	SouthAsia	84554	32392	0.616907538
match	Sample3	10	Punjabi	HG02783	SouthAsia	84533	32579	0.614600215
match	Sample4	1	Finnish	HG00190	WestEurasia	84572	0	1.000000000
match	Sample4	2	Punjabi	HG02724	SouthAsia	84572	28418	0.663978622
match	Sample4	3	Czech	NA15728	WestEurasia	77219	28942	0.625195871
match	Sample4	4	Pathan	HGDP00232	SouthAsia	84547	31948	0.622127337
match	Sample4	5	Spanish	HG01504	WestEurasia	84545	32115	0.620143119
match	Sample4	6	Naxi	HGDP01344		84025	32252	0.616161857
match	Sample4	7	Papuan	HGDP00543	Oceania	76260	32260	0.576973512
match	Sample4	8	Bergamo	HGDP01172	WestEurasia	84555	32367	0.617207735
match	Sample4	9	Tajik	tdj430_shugnan	WestEurasia	84545	32392	0.616866757
match	Sample4	10	North_Ossetian	NorthOssetia5	WestEurasia	84547	32481	0.615823152
diagnostic	vcf_records	.	.	.	.	119566	.	.
diagnostic	query_unique_positions	.	.	.	.	119019	.	.
diagnostic	panel_samples	.	.	.	.	345	.	.
diagnostic	bytes_per_variant	.	.	.	.	87	.	.
diagnostic	bed_size_bytes	.	.	.	.	2994377400	.	.
diagnostic	bed_variant_count	.	.	.	.	34418131	0	.
diagnostic	chr1_markers	.	.	.	.	2644267	.	.
diagnostic	coordinate_matches	.	.	.	.	84577	.	.
diagnostic	allele_matches	.	.	.	.	84572	5	.
diagnostic	first_chr1_marker	.	.	('1_846687', '846687', 'T', 'C')	.	.	.	.
diagnostic	last_chr1_marker	.	.	('1_249212160', '249212160', 'C', 'G')	.	.	.	.
checksum	input_vcf_sha256	.	.	377c5f12feada0b84ef998b9144ba630e9af25385d2480a56262cea726a22def	.	.	.	.
checksum	panel_bed_sha256	.	.	227ed3934eb346cb37f5263cbf3a3a5e0c1d83353a07652c36f4348d3efce42f	.	.	.	.
checksum	panel_bim_zip_sha256	.	.	949dc6013e6c102a0c00555fa30b36ab2b4257e4a1bacd349ae7cc626986923e	.	.	.	.
checksum	panel_fam_sha256	.	.	6f4e33ae2e2f29d59b503dcd3a7cf43afc75f42d0d8ec9c52df9d7ae5cc0535c	.	.	.	.
checksum	panel_metadata_sha256	.	.	1e4f0076ddadc57ce9feb252c1f9a782ea9d5ba4e6606627fcd60e9c5bf2ef33	.	.	.	.
