gene	log2_fold_change	p_value	fdr
CFLAR	-0.01821365663	0.9699722274	0.998475102
ARF5	0.3208569052	0.4661767777	0.998475102
SKAP2	-0.1403048867	0.767471069	0.998475102
POLR2J	-0.03894217793	0.8985983974	0.998475102
KMT2E	-0.03635969968	0.9155892403	0.998475102
MYCBP2	0.1446222279	0.6885901317	0.998475102
FBXL3	0.04199591232	0.9093906344	0.998475102
ITGAL	0.4019861384	0.3791756577	0.998475102
KDM7A	0.06597351747	0.8584527159	0.998475102
IFRD1	-0.002769883635	0.9970776561	0.998475102
PAFAH1B1	-0.09848064431	0.7593550658	0.998475102
PSMB1	-0.324793194	0.3756986631	0.998475102
JARID2	0.152891917	0.751576166	0.998475102
CDKL5	0.8715664924	0.1546073545	0.998475102
SPAG9	0.3215624053	0.6205044942	0.998475102
ST3GAL1	-0.05667106444	0.8764585135	0.998475102
SEC62	-0.01631671546	0.946930245	0.998475102
RPS20	0.01021089514	0.9829144041	0.998475102
CSDE1	0.03028568053	0.9013793625	0.998475102
ZNF207	-0.05740656214	0.8717782349	0.998475102
IDS	0.3888849159	0.3387141144	0.998475102
BTK	0.3445832077	0.2373633047	0.998475102
AKAP8L	0.1029861716	0.7471972676	0.998475102
SLC25A39	-0.3905859775	0.6820793199	0.998475102
CLK1	0.2959513574	0.4385025719	0.998475102
RNF14	-0.2525352385	0.4228236265	0.998475102
CAPN1	-0.3681261555	0.7189821668	0.998475102
WAS	-0.3308648739	0.5041495616	0.998475102
RALBP1	-0.3880321977	0.3002011896	0.998475102
CD74	0.2606105831	0.7111864441	0.998475102
SERPINB1	-0.2836125294	0.5426938605	0.998475102
RTF2	-0.1629296828	0.7209280435	0.998475102
RNF10	0.1607699764	0.5990921371	0.998475102
RB1CC1	0.147050386	0.730152707	0.998475102
STRAP	-0.30231631	0.5894298712	0.998475102
UBR2	-0.005662856927	0.990906474	0.998475102
PHF20	0.1568398952	0.6772284918	0.998475102
TYMP	-0.3552739009	0.6132158832	0.998475102
VIM	-0.3333457538	0.5882192146	0.998475102
RNASET2	-0.02802124444	0.9430559207	0.998475102
PIAS1	-0.07668957933	0.8722806014	0.998475102
MAP2K3	0.0698533555	0.8929202944	0.998475102
TMSB10	-0.5555643514	0.2183801966	0.998475102
GABARAPL2	-0.146803954	0.7348998127	0.998475102
CUL3	-0.0704365257	0.8582378236	0.998475102
BOD1L1	0.1212328847	0.7733524933	0.998475102
PSMA4	-0.2970358809	0.5348698164	0.998475102
AP2S1	-0.186957546	0.7569510939	0.998475102
DCUN1D1	-0.2789015251	0.3179755661	0.998475102
TPR	0.1571305965	0.7162878759	0.998475102
RSF1	-0.2444352967	0.4931002529	0.998475102
CELF2	0.02839193387	0.9352698835	0.998475102
ARID1B	-0.07002946878	0.8804366046	0.998475102
CYBA	-0.3397409209	0.4158318183	0.998475102
FOXN3	0.5048561911	0.1754823634	0.998475102
THRAP3	-0.1201777252	0.7273526974	0.998475102
ARID4B	-0.07498684808	0.8451124709	0.998475102
SZRD1	-0.1291166336	0.7190723623	0.998475102
TAB2	0.3458142324	0.3587715238	0.998475102
KMT2C	0.271121042	0.5452662429	0.998475102
PITHD1	0.1197184783	0.8269832309	0.998475102
ATP11B	0.4714654677	0.3598779813	0.998475102
PPP1R12A	-0.139687016	0.6461672703	0.998475102
TARBP1	0.188711389	0.6259184516	0.998475102
SLC2A3	0.2239485096	0.6759071013	0.998475102
YBX3	0.2340864411	0.654574532	0.998475102
WNK1	0.01779518755	0.9362105116	0.998475102
GPBP1	-0.0688291322	0.8336698777	0.998475102
VMP1	0.06722268979	0.9133978212	0.998475102
EIF4B	0.03773565161	0.9226188951	0.998475102
RPL18	-0.241130077	0.6267129469	0.998475102
EPN1	-0.03849879147	0.9118875225	0.998475102
TAF2	0.4098168672	0.3295863974	0.998475102
CNN2	-0.2757592392	0.5356569946	0.998475102
GNAI3	-0.111418918	0.8212315894	0.998475102
PKN2	0.1907658651	0.7493675377	0.998475102
PDIA5	0.4335055756	0.2854368662	0.998475102
NDUFB4	-0.3680477544	0.4040754105	0.998475102
SPEN	0.3212900995	0.4359991418	0.998475102
ZC3H15	-0.544053855	0.1497238919	0.998475102
SLK	0.2159092223	0.637245032	0.998475102
CYB5R4	0.3143957927	0.5565919157	0.998475102
FAM107B	-0.1305872229	0.7204407793	0.998475102
YBX1	-0.3799095235	0.2488725485	0.998475102
PPP2R5A	-0.07900016357	0.8624693974	0.998475102
ELAVL1	0.004282152207	0.9904376953	0.998475102
SP100	-0.2032522065	0.6085980266	0.998475102
KLF6	-0.372170015	0.3667157905	0.998475102
TRAM1	-0.01546811289	0.9648989781	0.998475102
RHOA	-0.1476867001	0.6860150785	0.998475102
ROCK1	-0.01131839161	0.9717549203	0.998475102
MEF2A	-0.1752645495	0.7174924248	0.998475102
OTUD5	0.3137075631	0.4846779518	0.998475102
GRIPAP1	0.3616441551	0.2898208889	0.998475102
PRR11	0.5804903436	0.1135046643	0.998475102
KIF2A	-0.4286793094	0.7272940287	0.998475102
RASGRP2	-0.2102609216	0.7951647105	0.998475102
PSME4	-0.1674808943	0.6352093179	0.998475102
GNB5	0.295857234	0.361157559	0.998475102
RAB27A	-0.4168127295	0.315982268	0.998475102
UFD1	-0.8035414286	0.08536234157	0.998475102
DAPP1	-0.04797452668	0.9531028893	0.998475102
PABPC1	0.1587512011	0.6259849167	0.998475102
CDC42	-0.01441390617	0.9569359966	0.998475102
MAP4K4	-0.06341477321	0.8822404538	0.998475102
MGAT4A	0.3870166334	0.400044138	0.998475102
RPL31	-0.1084960524	0.8263419043	0.998475102
WDR1	0.09854665818	0.9139276069	0.998475102
FAM50A	-0.173291008	0.623643665	0.998475102
PRKACA	0.5347258756	0.1388483158	0.998475102
ACTN1	0.4033659373	0.5619564354	0.998475102
PTPN18	-0.2613200416	0.8136821326	0.998475102
AFF4	0.1738814174	0.689379507	0.998475102
CHFR	0.04852274518	0.9006568574	0.998475102
STK10	0.5625448061	0.1523894584	0.998475102
AP1M1	0.09844181939	0.8016104223	0.998475102
KDM5A	-0.07271630991	0.8439996017	0.998475102
NCBP3	0.003572452176	0.9913910931	0.998475102
MGLL	-0.6855261852	0.4211358232	0.998475102
ZZEF1	0.1701296002	0.636160631	0.998475102
ENO1	-0.4275139904	0.366219496	0.998475102
EIF4G3	-0.1292396591	0.7660062211	0.998475102
MARK3	-0.1413098343	0.6152839011	0.998475102
SLC25A3	-0.4980200119	0.09613665911	0.998475102
ACTB	-0.3271357273	0.5663425294	0.998475102
RAB7A	-0.05936942433	0.884899224	0.998475102
MLH1	0.4499364492	0.258822637	0.998475102
ANKRD13A	0.1690338682	0.7652526077	0.998475102
ICAM3	0.1445848895	0.7728602889	0.998475102
STXBP2	-0.3671914921	0.6837546485	0.998475102
NFKB2	0.6463008466	0.4031841194	0.998475102
USP33	0.1118412009	0.7600291459	0.998475102
CAPZB	0.06519422663	0.8814620787	0.998475102
ACER3	0.00558011526	0.9887674994	0.998475102
PIK3C3	0.3621126918	0.6311091768	0.998475102
PPP2R5C	0.3020672895	0.4847288755	0.998475102
GNB1	-0.092665478	0.7867198919	0.998475102
NRDC	-0.3462596195	0.4893791902	0.998475102
PCM1	-0.1584027021	0.6899826313	0.998475102
MYH7B	0.12052073	0.7703852849	0.998475102
XRCC5	-0.07375102538	0.8243976057	0.998475102
SAR1A	0.2566464308	0.5471176891	0.998475102
OPHN1	0.6580872475	0.112635095	0.998475102
DNM2	-0.1977865045	0.5979034647	0.998475102
RAB21	-0.1116729778	0.8315723695	0.998475102
SMARCA2	0.1446854234	0.744948099	0.998475102
HSP90AA1	0.002824388915	0.9944921467	0.998475102
PTPRC	0.3481516562	0.4696819303	0.998475102
STK17B	-0.2896148657	0.4371697218	0.998475102
GSK3B	-0.2666375866	0.5322811192	0.998475102
KAT6A	0.1213653167	0.7361300504	0.998475102
TUT7	-0.007296829171	0.9886966688	0.998475102
CYLD	0.07782152378	0.8510369138	0.998475102
RPS5	-0.2387077561	0.6684771175	0.998475102
CHMP2B	-0.09441362211	0.8501401277	0.998475102
SMAP2	-0.3412494987	0.4881505149	0.998475102
APLP2	-0.1361520195	0.8488339182	0.998475102
WBP11	-0.1160749528	0.7597038373	0.998475102
EIF3I	-0.218347412	0.5390580969	0.998475102
NCOA1	0.1117733654	0.8251565673	0.998475102
CD82	0.2353584933	0.5719109996	0.998475102
ATRX	-0.1512613077	0.6461424868	0.998475102
EPS15	-0.008676089434	0.9807094802	0.998475102
DNAJA1	0.5368535269	0.2326342705	0.998475102
B4GALT1	-0.09295850289	0.8017474378	0.998475102
CHMP5	-0.4278422231	0.2793309017	0.998475102
EIF2AK1	-0.6870390542	0.5394155036	0.998475102
TMED2	-0.1132144587	0.730821095	0.998475102
ZFAND6	-0.09175221603	0.7655836765	0.998475102
PPP1R15A	0.4072005169	0.4919887067	0.998475102
FTL	-0.2255138368	0.6055750906	0.998475102
BAX	-0.1903400883	0.5922150935	0.998475102
UIMC1	-0.1237645058	0.846208903	0.998475102
ADD1	-0.1891782865	0.5953575213	0.998475102
SF3B2	-0.060357119	0.8477833856	0.998475102
GNAS	-0.2858865945	0.6700276088	0.998475102
FKBP1A	-0.1667758287	0.7787826272	0.998475102
MAVS	0.03180457158	0.9510558968	0.998475102
DYNLL1	-0.2788189069	0.797332704	0.998475102
RPL6	-0.04236930444	0.9306929237	0.998475102
P2RX7	0.5449151446	0.3743162998	0.998475102
ANAPC5	0.1346378161	0.8090669911	0.998475102
FUS	0.02886255417	0.9373602668	0.998475102
IGBP1	-0.2437906022	0.5238733716	0.998475102
FXYD5	-0.2650327147	0.5469208795	0.998475102
MLF2	0.1008939987	0.8461877294	0.998475102
ARHGAP4	0.1024636143	0.7952447273	0.998475102
GPATCH2L	0.3806088652	0.4561289037	0.998475102
PAPOLA	0.06700028046	0.7980286568	0.998475102
