HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N0.HOG0000000	OG0000000	n1	KBS0714_01504, KBS0714_02232, KBS0714_02064	SA211_01126	AS2_00896	
N0.HOG0000001	OG0000000	n9	KBS0714_00603		AS2_02671	
N0.HOG0000002	OG0000000	n10	KBS0714_01070, KBS0714_00602, KBS0714_02271		AS2_00721, AS2_02500	
N0.HOG0000003	OG0000000	n14	KBS0714_01202, KBS0714_02030		AS2_00691	
N0.HOG0000004	OG0000000	n16	KBS0714_00623, KBS0714_02226, KBS0714_01399, KBS0714_00713, KBS0714_00174, KBS0714_00589, KBS0714_02266, KBS0714_02229, KBS0714_02065, KBS0714_02231, KBS0714_01505, KBS0714_01394			
N0.HOG0000005	OG0000001	n1	KBS0714_01069	SA211_01117	AS2_01303, AS2_02332, AS2_00757	KD33716_01837, KD33716_01795, KD33716_02208
N0.HOG0000006	OG0000001	n10			AS2_01280, AS2_01313, AS2_01318	
N0.HOG0000007	OG0000001	n14		SA211_00332		KD33716_02231
N0.HOG0000008	OG0000001	n15		SA211_01659		KD33716_00316
N0.HOG0000009	OG0000001	n16				KD33716_00621, KD33716_00626
N0.HOG0000010	OG0000001	n17	KBS0714_01387	SA211_00787, SA211_01328, SA211_02266, SA211_00320	AS2_02348, AS2_02630	
N0.HOG0000011	OG0000002	n1	KBS0714_02280, KBS0714_01386	SA211_01658		KD33716_00317
N0.HOG0000012	OG0000002	n5		SA211_00319, SA211_02267, SA211_00788		
N0.HOG0000013	OG0000002	n8	KBS0714_01068		AS2_01281, AS2_01312, AS2_01317, AS2_01304, AS2_02631, AS2_02347	KD33716_00625
N0.HOG0000014	OG0000002	n16				KD33716_02207, KD33716_01796, KD33716_01836
N0.HOG0000015	OG0000002	n19		SA211_01116	AS2_02614	
N0.HOG0000016	OG0000002	n20		SA211_01327	AS2_00758, AS2_02331	
N0.HOG0000017	OG0000003	n3		SA211_01012	AS2_00228, AS2_00895	
N0.HOG0000018	OG0000003	n5		SA211_01746	AS2_02100	
N0.HOG0000019	OG0000003	n11	KBS0714_02069	SA211_01015	AS2_00899, AS2_00229, AS2_01506	KD33716_01829
N0.HOG0000020	OG0000003	n16		SA211_01125	AS2_00643	
N0.HOG0000021	OG0000003	n17	KBS0714_02277	SA211_01819		
N0.HOG0000022	OG0000003	n18	KBS0714_02112	SA211_00355		
N0.HOG0000023	OG0000004	n0			AS2_01499, AS2_00779, AS2_02613, AS2_02472, AS2_01768, AS2_02336, AS2_02637, AS2_00692, AS2_00556, AS2_01505, AS2_02632, AS2_00044, AS2_00483, AS2_00227, AS2_01737, AS2_02555	
N0.HOG0000024	OG0000005	n0			AS2_02274	KD33716_00315, KD33716_00645, KD33716_01890, KD33716_02206, KD33716_00448, KD33716_01835, KD33716_00226, KD33716_00312, KD33716_00627, KD33716_02162, KD33716_00631, KD33716_00751, KD33716_01794
N0.HOG0000025	OG0000006	n0	KBS0714_00454, KBS0714_00845, KBS0714_01392	SA211_01124	AS2_01091, AS2_00509, AS2_00108, AS2_01092, AS2_00508	KD33716_00839, KD33716_00638, KD33716_00630
N0.HOG0000026	OG0000007	n0		SA211_01160, SA211_01236, SA211_00041, SA211_01118, SA211_01971, SA211_00137, SA211_00352, SA211_00012, SA211_01818, SA211_02077, SA211_01821, SA211_00312		
N0.HOG0000027	OG0000008	n1	KBS0714_01075, KBS0714_00156	SA211_00345	AS2_00720	
N0.HOG0000028	OG0000008	n4	KBS0714_02063, KBS0714_00159	SA211_00338, SA211_00297, SA211_00794	AS2_00722	KD33716_02223
N0.HOG0000029	OG0000009	n0	KBS0714_02077, KBS0714_01384, KBS0714_01292, KBS0714_01034, KBS0714_00157	SA211_01011, SA211_01114, SA211_02023, SA211_01112, SA211_01104	AS2_01214	
N0.HOG0000030	OG0000010	n0	KBS0714_00158, KBS0714_01033, KBS0714_01383, KBS0714_01293, KBS0714_02076	SA211_01016, SA211_01111, SA211_02022, SA211_01115, SA211_01103	AS2_01213	
N0.HOG0000031	OG0000011	n0	KBS0714_02227, KBS0714_01502, KBS0714_02225, KBS0714_01398, KBS0714_00711	SA211_01394, SA211_02284, SA211_00092, SA211_01013, SA211_00343		
N0.HOG0000032	OG0000012	n1	KBS0714_01559, KBS0714_01658	SA211_01269, SA211_01363	AS2_01236	KD33716_01147
N0.HOG0000033	OG0000012	n6	KBS0714_01997, KBS0714_01845	SA211_01691		KD33716_00796
N0.HOG0000034	OG0000013	n0	KBS0714_02068, KBS0714_00064, KBS0714_01337, KBS0714_01952, KBS0714_02278, KBS0714_02111	SA211_01968	AS2_00146, AS2_02339	
N0.HOG0000035	OG0000014	n0	KBS0714_02060, KBS0714_00160, KBS0714_01074	SA211_00298, SA211_00346, SA211_00337, SA211_00793	AS2_00723	KD33716_02220
N0.HOG0000036	OG0000015	n1	KBS0714_00616	SA211_00339, SA211_01779	AS2_00719	
N0.HOG0000037	OG0000015	n4	KBS0714_02074	SA211_00350, SA211_00789	AS2_02366, AS2_00727	
N0.HOG0000038	OG0000016	n0	KBS0714_00712, KBS0714_01503, KBS0714_02228, KBS0714_01400	SA211_02283, SA211_01014, SA211_00344, SA211_00091, SA211_01393		
N0.HOG0000039	OG0000017	n1		SA211_00341	AS2_00706, AS2_02496	KD33716_01887
N0.HOG0000040	OG0000017	n4		SA211_01765	AS2_02276, AS2_02495, AS2_02636, AS2_02615	
N0.HOG0000041	OG0000018	n1	KBS0714_00100	SA211_02113	AS2_00291	KD33716_00237
N0.HOG0000042	OG0000018	n4	KBS0714_01862	SA211_01558	AS2_00998	KD33716_00945
N0.HOG0000043	OG0000019	n0	KBS0714_01071, KBS0714_00163	SA211_00790, SA211_00334, SA211_00349	AS2_00726, AS2_01270	KD33716_00708
N0.HOG0000044	OG0000020	n1	KBS0714_01832	SA211_01529	AS2_01036	KD33716_00976
N0.HOG0000045	OG0000020	n4	KBS0714_00202	SA211_02197	AS2_00190	KD33716_00144
N0.HOG0000046	OG0000021	n1	KBS0714_01656	SA211_01361	AS2_01238	KD33716_01149
N0.HOG0000047	OG0000021	n4	KBS0714_00355	SA211_00071	AS2_02606	KD33716_02465
N0.HOG0000048	OG0000022	n1	KBS0714_01373	SA211_01093	AS2_01519	KD33716_01414
N0.HOG0000049	OG0000022	n4	KBS0714_00485	SA211_00204	AS2_02462	KD33716_02345
N0.HOG0000050	OG0000023	n1	KBS0714_00769	SA211_00499	AS2_02161	KD33716_02057
N0.HOG0000051	OG0000023	n4	KBS0714_01016	SA211_00730	AS2_00806, AS2_01872	
N0.HOG0000052	OG0000024	n1	KBS0714_01771	SA211_01478	AS2_01106	KD33716_01032
N0.HOG0000053	OG0000024	n4	KBS0714_00992	SA211_00706	AS2_01897	KD33716_01844
N0.HOG0000054	OG0000025	n1		SA211_02302	AS2_00771	KD33716_00440
N0.HOG0000055	OG0000025	n3	KBS0714_01147	SA211_00866	AS2_01745	KD33716_00650, KD33716_01639
N0.HOG0000056	OG0000026	n1	KBS0714_02253	SA211_01952	AS2_00488	KD33716_00434
N0.HOG0000057	OG0000026	n4	KBS0714_02275	SA211_00101, SA211_02299	AS2_00493	
N0.HOG0000058	OG0000027	n1	KBS0714_00171		AS2_02330	KD33716_02211
N0.HOG0000059	OG0000027	n3	KBS0714_00620	SA211_00361	AS2_01310	KD33716_00689
N0.HOG0000060	OG0000028	n1	KBS0714_01915	SA211_01611		KD33716_00880
N0.HOG0000061	OG0000028	n3	KBS0714_00542	SA211_00267	AS2_02407	KD33716_02288
N0.HOG0000062	OG0000029	n0	KBS0714_02075, KBS0714_00617	SA211_01780, SA211_00340	AS2_00730, AS2_00718	KD33716_02214
N0.HOG0000063	OG0000030	n1	KBS0714_00626		AS2_00411	KD33716_00330, KD33716_01209
N0.HOG0000064	OG0000030	n4		SA211_00371	AS2_00392	KD33716_02188
N0.HOG0000065	OG0000031	n1	KBS0714_02297	SA211_01990	AS2_00439	KD33716_00392
N0.HOG0000066	OG0000031	n4	KBS0714_01949		AS2_01839	KD33716_02437
N0.HOG0000067	OG0000032	n0			AS2_01282	KD33716_00641, KD33716_01832, KD33716_01361, KD33716_00227, KD33716_01820, KD33716_00652
