species	tissue	marker_gene	umi_count
human	liver	ALB	0
human	liver	APOA1	0
human	liver	APOB	0
human	liver	APOC3	0
human	liver	CYP3A4	0
human	liver	FGA	0
human	liver	FGB	0
human	liver	FGG	0
human	liver	HP	0
human	liver	SERPINA1	2
human	liver	TF	0
human	liver	TTR	0
human	heart	ACTC1	0
human	heart	DES	0
human	heart	MYH6	0
human	heart	MYH7	0
human	heart	MYL2	0
human	heart	MYL7	0
human	heart	NPPA	0
human	heart	NPPB	0
human	heart	PLN	0
human	heart	RYR2	0
human	heart	TNNT2	0
human	heart	TTN	0
human	testis	AKAP4	0
human	testis	DAZL	0
human	testis	DDX4	0
human	testis	HORMAD1	0
human	testis	PIWIL1	0
human	testis	PRM1	0
human	testis	PRM2	0
human	testis	SPO11	0
human	testis	SYCP3	0
human	testis	TEX101	0
human	testis	TNP1	0
human	testis	TNP2	0
human	kidney	AQP1	0
human	kidney	AQP2	0
human	kidney	CUBN	0
human	kidney	EPCAM	0
human	kidney	KCNJ1	0
human	kidney	LRP2	0
human	kidney	NPHS1	0
human	kidney	NPHS2	0
human	kidney	PODXL	0
human	kidney	SLC12A1	0
human	kidney	SLC34A1	0
human	kidney	UMOD	0
human	bone_marrow	CD3D	0
human	bone_marrow	CD74	11
human	bone_marrow	CTSS	11
human	bone_marrow	FCER1G	6
human	bone_marrow	HBA1	8399
human	bone_marrow	HBA2	48302
human	bone_marrow	HBB	53651
human	bone_marrow	LST1	0
human	bone_marrow	MS4A1	0
human	bone_marrow	S100A8	61
human	bone_marrow	S100A9	113
human	bone_marrow	TYROBP	7
human	spleen	CCL5	2
human	spleen	CD3D	0
human	spleen	CD3E	0
human	spleen	CD74	11
human	spleen	CD79A	0
human	spleen	CD8A	0
human	spleen	HLA-DRA	0
human	spleen	LST1	0
human	spleen	MS4A1	0
human	spleen	NKG7	0
human	spleen	TYROBP	7
human	cortex	AQP4	0
human	cortex	BCL11B	0
human	cortex	CAMK2A	0
human	cortex	CUX2	0
human	cortex	GAD1	0
human	cortex	GAD2	0
human	cortex	GFAP	0
human	cortex	RBFOX3	0
human	cortex	SATB2	0
human	cortex	SLC17A7	0
human	cortex	SYN1	0
human	cortex	TBR1	0
human	retina	ABCA4	0
human	retina	ARR3	0
human	retina	CRX	0
human	retina	GNAT1	0
human	retina	NRL	0
human	retina	OPN1LW	0
human	retina	OPN1MW	0
human	retina	OPN1SW	0
human	retina	PAX6	0
human	retina	RHO	0
human	retina	RLBP1	0
human	retina	RPE65	0
human	retina	VSX2	0
human	lung	AGER	0
human	lung	EPCAM	0
human	lung	FOXJ1	0
human	lung	KRT18	0
human	lung	KRT19	0
human	lung	KRT8	1
human	lung	MSLN	0
human	lung	MUC1	0
human	lung	SCGB1A1	0
human	lung	SFTPA1	0
human	lung	SFTPB	0
human	lung	SFTPC	0
human	skin	COL1A1	0
human	skin	COL3A1	0
human	skin	DCN	0
human	skin	DSG1	0
human	skin	FLG	0
human	skin	KRT1	5
human	skin	KRT10	0
human	skin	KRT14	0
human	skin	KRT16	0
human	skin	KRT17	0
human	skin	KRT2	0
human	skin	KRT5	0
human	skin	LOR	0
mouse	liver	ALB	0
mouse	liver	APOA1	0
mouse	liver	APOB	1
mouse	liver	APOC3	0
mouse	liver	CYP3A4	0
mouse	liver	FGA	0
mouse	liver	FGB	0
mouse	liver	FGG	0
mouse	liver	HP	187
mouse	liver	SERPINA1	0
mouse	liver	TF	0
mouse	liver	TTR	21
mouse	heart	ACTC1	17
mouse	heart	DES	8
mouse	heart	MYH6	3
mouse	heart	MYH7	0
mouse	heart	MYL2	0
mouse	heart	MYL7	30
mouse	heart	NPPA	0
mouse	heart	NPPB	0
mouse	heart	PLN	3
mouse	heart	RYR2	15
mouse	heart	TNNT2	19
mouse	heart	TTN	0
mouse	testis	AKAP4	0
mouse	testis	DAZL	0
mouse	testis	DDX4	0
mouse	testis	HORMAD1	0
mouse	testis	PIWIL1	0
mouse	testis	PRM1	3
mouse	testis	PRM2	0
mouse	testis	SPO11	2
mouse	testis	SYCP3	0
mouse	testis	TEX101	0
mouse	testis	TNP1	0
mouse	testis	TNP2	0
mouse	kidney	AQP1	13
mouse	kidney	AQP2	0
mouse	kidney	CUBN	0
mouse	kidney	EPCAM	363
mouse	kidney	KCNJ1	0
mouse	kidney	LRP2	10
mouse	kidney	NPHS1	0
mouse	kidney	NPHS2	0
mouse	kidney	PODXL	9
mouse	kidney	SLC12A1	0
mouse	kidney	SLC34A1	0
mouse	kidney	UMOD	0
mouse	bone_marrow	CD3D	0
mouse	bone_marrow	CD74	19
mouse	bone_marrow	CTSS	0
mouse	bone_marrow	FCER1G	0
mouse	bone_marrow	HBA1	0
mouse	bone_marrow	HBA2	0
mouse	bone_marrow	HBB	0
mouse	bone_marrow	LST1	0
mouse	bone_marrow	MS4A1	1
mouse	bone_marrow	S100A8	0
mouse	bone_marrow	S100A9	0
mouse	bone_marrow	TYROBP	0
mouse	spleen	CCL5	0
mouse	spleen	CD3D	0
mouse	spleen	CD3E	0
mouse	spleen	CD74	19
