species	rank	gene	umi_count
human	1	HBB	53651
human	2	HBA2	48302
human	3	HBA1	8399
human	4	HBD	259
human	5	UBB	245
human	6	FTL	187
human	7	S100A9	113
human	8	TPT1	99
human	9	UBA52	91
human	10	AHSP	91
human	11	LYZ	86
human	12	SLC25A39	82
human	13	B2M	78
human	14	ENSG00000290318	78
human	15	ACTB	76
human	16	ALAS2	73
human	17	RPS12	73
human	18	OAZ1	70
human	19	FTH1	69
human	20	CA1	67
human	21	SLC25A37	66
human	22	S100A8	61
human	23	ATP5F1E	60
human	24	BNIP3L	59
human	25	TMSB4X	55
human	26	FKBP8	54
human	27	SERF2	53
human	28	HBM	53
human	29	MT-CO3	49
human	30	SNCA	47
human	31	GLRX5	42
human	32	YBX3	42
human	33	ADIPOR1	41
human	34	RPLP1	38
human	35	EIF1	35
human	36	EEF1A1	35
human	37	MT-CO2	35
human	38	MT-ATP6	35
human	39	BSG	34
human	40	BLVRB	33
human	41	GMPR	32
human	42	MT2A	30
human	43	BPGM	30
human	44	RPL13	29
human	45	GUK1	28
human	46	RPL30	28
human	47	ATP6V0C	28
human	48	BTF3	27
human	49	NCOA4	27
human	50	S100A4	27
mouse	1	SCGB1A1	19149
mouse	2	ATP6-PS	4256
mouse	3	GM28437	3966
mouse	4	GM28661	2781
mouse	5	GM29216	2776
mouse	6	MT-CYTB	2057
mouse	7	ACTG1	1730
mouse	8	H3F3B	1494
mouse	9	CD9	1267
mouse	10	SFTPC	1258
mouse	11	MT-ND2	1184
mouse	12	MT-ND4	1181
mouse	13	ACTB	1153
mouse	14	TPT1	1138
mouse	15	KRT18	1093
mouse	16	CALCA	986
mouse	17	FTH1	984
mouse	18	RESP18	847
mouse	19	TMSB4X	804
mouse	20	UBC	803
mouse	21	MT-ND1	772
mouse	22	RPS24	766
mouse	23	EEF1A1	739
mouse	24	KRT8	721
mouse	25	FOS	703
mouse	26	JUN	671
mouse	27	BTG2	623
mouse	28	EIF1	610
mouse	29	RPL13	554
mouse	30	RPL41	548
mouse	31	NNAT	532
mouse	32	ATF3	527
mouse	33	HSP90AB1	522
mouse	34	MGP	517
mouse	35	PTMA	507
mouse	36	JUND	486
mouse	37	RPS14	481
mouse	38	EGR1	478
mouse	39	WFDC2	467
mouse	40	CALM1	453
mouse	41	MAP3K20	450
mouse	42	RPS12	449
mouse	43	RPL32	437
mouse	44	FTL1	436
mouse	45	DDX5	436
mouse	46	RPS16	431
mouse	47	FAU	427
mouse	48	RPL9	426
mouse	49	RPL27A	412
mouse	50	RPL13A	403
pig	1	COX3	3425
pig	2	COX1	2625
pig	3	COX2	2415
pig	4	ATP6	1583
pig	5	ENSSSCG00000033452	1423
pig	6	CLU	1384
pig	7	TMSB10	1297
pig	8	RPLP1	1281
pig	9	RPS20	1199
pig	10	CYTB	1090
pig	11	ENSSSCG00000029289	1085
pig	12	RPL28	1013
pig	13	ENSSSCG00000055221	1000
pig	14	RPS12	941
pig	15	LRCH3	920
pig	16	RPS2	876
pig	17	ENSSSCG00000003042	844
pig	18	RPS15	812
pig	19	RPS14	790
pig	20	ND1	783
pig	21	ENSSSCG00000003930	718
pig	22	RPLP2	696
pig	23	RPL7A	677
pig	24	RPLP0	673
pig	25	ENSSSCG00000033310	670
pig	26	RPS29	651
pig	27	RPS21	649
pig	28	PRM1	643
pig	29	RPS7	638
pig	30	ND2	620
pig	31	CD80	616
pig	32	RPSA	609
pig	33	ND4	607
pig	34	PTMA	602
pig	35	ENSSSCG00000014540	601
pig	36	RPL27A	576
pig	37	RPL35	568
pig	38	ENSSSCG00000031838	557
pig	39	UBB	554
pig	40	RPS18	545
pig	41	FKBP14	534
pig	42	RPL37	519
pig	43	RPS15A	517
pig	44	ENSSSCG00000024974	501
pig	45	RPL32	498
pig	46	RPS27A	492
pig	47	HSP90AA1	481
pig	48	RPS28	474
pig	49	ENSSSCG00000053209	456
pig	50	EPB41L5	451
