metric	value
input_reads	100000
valid_barcode_reads	100000
mapped_reads_with_species_evidence	65344
barcodes_with_species_evidence	600
confident_barcodes_min3_frac0.70	486
confident_human_min3_frac0.70	52
confident_mouse_min3_frac0.70	149
confident_pig_min3_frac0.70	285
confident_barcodes_min3_frac0.80	349
confident_human_min3_frac0.80	48
confident_mouse_min3_frac0.80	137
confident_pig_min3_frac0.80	164
confident_barcodes_min5_frac0.70	485
confident_human_min5_frac0.70	52
confident_mouse_min5_frac0.70	149
confident_pig_min5_frac0.70	284
confident_barcodes_min5_frac0.80	348
confident_human_min5_frac0.80	48
confident_mouse_min5_frac0.80	137
confident_pig_min5_frac0.80	163
confident_barcodes_min10_frac0.70	484
confident_human_min10_frac0.70	52
confident_mouse_min10_frac0.70	148
confident_pig_min10_frac0.70	284
confident_barcodes_min10_frac0.80	347
confident_human_min10_frac0.80	48
confident_mouse_min10_frac0.80	136
confident_pig_min10_frac0.80	163
reads_best_human	20574
reads_best_mouse	26098
reads_best_pig	31568
