min_umis	min_top_fraction	selected_barcodes	human	mouse	pig	human_pct	mouse_pct	pig_pct	rounded_human	rounded_mouse	rounded_pig
3	0.70	524	73	151	300	13.9313	28.8168	57.2519	10	30	60
3	0.80	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
3	0.90	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
5	0.70	524	73	151	300	13.9313	28.8168	57.2519	10	30	60
5	0.80	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
5	0.90	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
10	0.70	524	73	151	300	13.9313	28.8168	57.2519	10	30	60
10	0.80	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
10	0.90	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
20	0.70	524	73	151	300	13.9313	28.8168	57.2519	10	30	60
20	0.80	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
20	0.90	500	50	150	300	10.0000	30.0000	60.0000	10	30	60
