species	tissue	selected_barcodes	gene_umis	marker_umis	marker_genes_detected	marker_fraction	log_marker_score	top_marker_counts
human	liver	50	119024	2	1	0.00001680	1.09861229	SERPINA1:2
human	heart	50	119024	0	0	0.00000000	0.00000000	
human	testis	50	119024	0	0	0.00000000	0.00000000	
human	kidney	50	119024	0	0	0.00000000	0.00000000	
human	bone_marrow	50	119024	110561	9	0.92889669	48.57000778	HBB:53651,HBA2:48302,HBA1:8399,S100A9:113,S100A8:61,CD74:11,CTSS:11,TYROBP:7
human	spleen	50	119024	20	3	0.00016803	5.66296048	CD74:11,TYROBP:7,CCL5:2
human	cortex	50	119024	0	0	0.00000000	0.00000000	
human	retina	50	119024	0	0	0.00000000	0.00000000	
human	lung	50	119024	1	1	0.00000840	0.69314718	KRT8:1
human	skin	50	119024	5	1	0.00004201	1.79175947	KRT1:5
mouse	liver	150	248287	209	3	0.00084177	9.02063160	HP:187,TTR:21,APOB:1
mouse	heart	150	248287	95	7	0.00038262	17.06249326	MYL7:30,TNNT2:19,ACTC1:17,RYR2:15,DES:8,MYH6:3,PLN:3
mouse	testis	150	248287	5	2	0.00002014	2.48490665	PRM1:3,SPO11:2
mouse	kidney	150	248287	395	4	0.00159090	13.23669156	EPCAM:363,AQP1:13,LRP2:10,PODXL:9
mouse	bone_marrow	150	248287	20	2	0.00008055	3.68887945	CD74:19,MS4A1:1
mouse	spleen	150	248287	20	2	0.00008055	3.68887945	CD74:19,MS4A1:1
mouse	cortex	150	248287	25	8	0.00010069	9.73483219	GAD1:10,CUX2:5,AQP4:3,SYN1:3,BCL11B:1,CAMK2A:1,GAD2:1,SATB2:1
mouse	retina	150	248287	4	3	0.00001611	2.48490665	NRL:2,GNAT1:1,RHO:1
mouse	lung	150	248287	23151	12	0.09324290	61.66196132	SCGB1A1:19149,SFTPC:1258,KRT18:1093,KRT8:721,EPCAM:363,SFTPA1:340,SFTPB:99,AGER:71
mouse	skin	150	248287	352	8	0.00141771	23.89494258	DCN:122,COL3A1:98,COL1A1:67,KRT16:47,KRT10:9,KRT17:4,KRT14:3,KRT5:2
pig	liver	300	263185	335	3	0.00127287	8.83753605	APOA1:327,FGB:6,SERPINA1:2
pig	heart	300	263185	12	4	0.00004560	5.19295685	MYL2:5,DES:4,TNNT2:2,RYR2:1
pig	testis	300	263185	1465	11	0.00556643	42.86626674	PRM1:643,TNP1:299,TNP2:195,PRM2:150,SPO11:68,DDX4:51,AKAP4:20,SYCP3:15
pig	kidney	300	263185	34	2	0.00012919	4.59511985	EPCAM:32,NPHS1:2
pig	bone_marrow	300	263185	59	4	0.00022418	8.18868912	CD74:49,TYROBP:5,CTSS:3,CD3D:2
pig	spleen	300	263185	124	9	0.00047115	19.65074226	CD74:49,CCL5:23,HLA-DRA:21,CD3E:14,NKG7:7,TYROBP:5,CD3D:2,CD8A:2
pig	cortex	300	263185	5	3	0.00001900	2.77258872	CUX2:3,SATB2:1,TBR1:1
pig	retina	300	263185	2	1	0.00000760	1.09861229	ABCA4:2
pig	lung	300	263185	48	6	0.00018238	10.22990945	EPCAM:32,SFTPC:6,KRT8:4,KRT19:3,FOXJ1:2,KRT18:1
pig	skin	300	263185	344	5	0.00130707	18.86074297	DCN:125,COL1A1:115,COL3A1:82,KRT10:15,KRT17:7
