diagnostic	value
gene_count	36602
matrix1_rows_cols_nnz	36601,8646,13757991
matrix2_rows_cols_nnz	36601,9355,13643402
genes_match_matrix_rows	False

cell_type	marker_present_count	markers_present	total_counts_eye1	total_counts_eye2
astrocyte	5	GFAP,AQP4,ALDH1L1,SLC1A3,SOX9	2517.000	2220.000
microglial cell	6	AIF1,CX3CR1,P2RY12,TMEM119,C1QA,CSF1R	1016.000	960.000
RPE cell	5	RPE65,BEST1,MITF,TYR,PMEL	8785.000	8092.000
cone cell	6	OPN1LW,OPN1MW,OPN1SW,ARR3,GNAT2,PDE6C	3735.000	3714.000
rod cell	7	RHO,NRL,GNAT1,PDE6A,PDE6B,SAG,ROM1	4766.000	4151.000
horizontal cell	4	ONECUT1,LHX1,CALB1,PROX1	438.000	409.000
bipolar cell	6	VSX2,GRM6,TRPM1,PCP2,PRKCA,CABP5	6028.000	4735.000
RGC	7	RBPMS,SNCG,NEFL,NEFM,THY1,POU4F1,POU4F2	2004.000	2014.000
T cells	6	CD3D,CD3E,TRAC,IL7R,LCK,CD2	537.000	448.000
macrophage	7	CD68,LYZ,LST1,C1QB,APOE,FCGR3A,MRC1	362.000	432.000
Schwann cell	6	MPZ,PLP1,SOX10,S100B,MBP,PMP22	3219.000	3045.000
Pericyte	6	RGS5,PDGFRB,CSPG4,MCAM,ACTA2,MYH11	153.000	114.000
B cell	6	MS4A1,CD79A,CD79B,IGKC,BANK1,CD19	1175.000	1043.000
fibroblast	6	COL1A1,COL1A2,DCN,LUM,COL3A1,PDGFRA	5561.000	5031.000
muller glia cell	7	RLBP1,GLUL,APOE,VIM,SLC1A3,SOX9,CRYAB	1828.000	1690.000
endothelial cell	6	PECAM1,VWF,KDR,CLDN5,RAMP2,ESAM	190.000	162.000
inflammation_set	25	ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,STAT1,IRF7,CXCL10,CCL2,CCL3,CCL4,IL1B,TNF,NFKBIA,HLA-DRA,HLA-DRB1,CD74,C3,C1QA,C1QB,C1QC,SPP1	3070.000	2615.000
