HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N2.HOG0000000	OG0000000	n1			AS2_00896	
N2.HOG0000001	OG0000000	n9			AS2_02671	
N2.HOG0000002	OG0000000	n10			AS2_00721, AS2_02500	
N2.HOG0000003	OG0000000	n14			AS2_00691	
N2.HOG0000004	OG0000001	n1			AS2_01303, AS2_02332, AS2_00757	KD33716_01837, KD33716_01795, KD33716_02208
N2.HOG0000005	OG0000001	n10			AS2_01280, AS2_01313, AS2_01318	
N2.HOG0000006	OG0000001	n14				KD33716_02231
N2.HOG0000007	OG0000001	n15				KD33716_00316
N2.HOG0000008	OG0000001	n16				KD33716_00621, KD33716_00626
N2.HOG0000009	OG0000001	n17			AS2_02348, AS2_02630	
N2.HOG0000010	OG0000002	n1				KD33716_00317
N2.HOG0000011	OG0000002	n8			AS2_01281, AS2_01312, AS2_01317, AS2_01304, AS2_02631, AS2_02347	KD33716_00625
N2.HOG0000012	OG0000002	n16				KD33716_02207, KD33716_01796, KD33716_01836
N2.HOG0000013	OG0000002	n19			AS2_02614	
N2.HOG0000014	OG0000002	n20			AS2_00758, AS2_02331	
N2.HOG0000015	OG0000003	n3			AS2_00228, AS2_00895	
N2.HOG0000016	OG0000003	n5			AS2_02100	
N2.HOG0000017	OG0000003	n13			AS2_00899	KD33716_01829
N2.HOG0000018	OG0000003	n14			AS2_00229	
N2.HOG0000019	OG0000003	n16			AS2_00643	
N2.HOG0000020	OG0000004	n0			AS2_01499, AS2_00779, AS2_02613, AS2_02472, AS2_01768, AS2_02336, AS2_02637, AS2_00692, AS2_00556, AS2_01505, AS2_02632, AS2_00044, AS2_00483, AS2_00227, AS2_01737, AS2_02555	
N2.HOG0000021	OG0000005	n0			AS2_02274	KD33716_00315, KD33716_00645, KD33716_01890, KD33716_02206, KD33716_00448, KD33716_01835, KD33716_00226, KD33716_00312, KD33716_00627, KD33716_02162, KD33716_00631, KD33716_00751, KD33716_01794
N2.HOG0000022	OG0000006	n0			AS2_01091, AS2_00509, AS2_00108, AS2_01092, AS2_00508	KD33716_00839, KD33716_00638, KD33716_00630
N2.HOG0000023	OG0000008	n1			AS2_00720	
N2.HOG0000024	OG0000008	n4			AS2_00722	KD33716_02223
N2.HOG0000025	OG0000009	n0			AS2_01214	
N2.HOG0000026	OG0000010	n0			AS2_01213	
N2.HOG0000027	OG0000012	n1			AS2_01236	KD33716_01147
N2.HOG0000028	OG0000012	n6				KD33716_00796
N2.HOG0000029	OG0000013	n0			AS2_00146, AS2_02339	
N2.HOG0000030	OG0000014	n0			AS2_00723	KD33716_02220
N2.HOG0000031	OG0000015	n1			AS2_00719	
