HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N1.HOG0000000	OG0000000	n1	KBS0714_01504, KBS0714_02232, KBS0714_02064	SA211_01126		
N1.HOG0000001	OG0000000	n9	KBS0714_00603			
N1.HOG0000002	OG0000000	n10	KBS0714_01070, KBS0714_00602, KBS0714_02271			
N1.HOG0000003	OG0000000	n14	KBS0714_01202, KBS0714_02030			
N1.HOG0000004	OG0000000	n16	KBS0714_00623, KBS0714_02226, KBS0714_01399, KBS0714_00713, KBS0714_00174, KBS0714_00589, KBS0714_02266, KBS0714_02229, KBS0714_02065, KBS0714_02231, KBS0714_01505, KBS0714_01394			
N1.HOG0000005	OG0000001	n1	KBS0714_01069	SA211_01117		
N1.HOG0000006	OG0000001	n14		SA211_00332		
N1.HOG0000007	OG0000001	n15		SA211_01659		
N1.HOG0000008	OG0000001	n17	KBS0714_01387	SA211_00787, SA211_01328, SA211_02266, SA211_00320		
N1.HOG0000009	OG0000002	n1	KBS0714_02280, KBS0714_01386	SA211_01658		
N1.HOG0000010	OG0000002	n5		SA211_00319, SA211_02267, SA211_00788		
N1.HOG0000011	OG0000002	n8	KBS0714_01068			
N1.HOG0000012	OG0000002	n19		SA211_01116		
N1.HOG0000013	OG0000002	n20		SA211_01327		
N1.HOG0000014	OG0000003	n3		SA211_01012		
N1.HOG0000015	OG0000003	n5		SA211_01746		
N1.HOG0000016	OG0000003	n11	KBS0714_02069	SA211_01015		
N1.HOG0000017	OG0000003	n16		SA211_01125		
N1.HOG0000018	OG0000003	n17	KBS0714_02277	SA211_01819		
N1.HOG0000019	OG0000003	n18	KBS0714_02112	SA211_00355		
N1.HOG0000020	OG0000006	n0	KBS0714_00454, KBS0714_00845, KBS0714_01392	SA211_01124		
N1.HOG0000021	OG0000007	n0		SA211_01160, SA211_01236, SA211_00041, SA211_01118, SA211_01971, SA211_00137, SA211_00352, SA211_00012, SA211_01818, SA211_02077, SA211_01821, SA211_00312		
N1.HOG0000022	OG0000008	n1	KBS0714_01075, KBS0714_00156	SA211_00345		
N1.HOG0000023	OG0000008	n7	KBS0714_02063	SA211_00297		
N1.HOG0000024	OG0000008	n9	KBS0714_00159	SA211_00794		
N1.HOG0000025	OG0000009	n3		SA211_01011, SA211_01114		
N1.HOG0000026	OG0000009	n7	KBS0714_01384	SA211_02023		
N1.HOG0000027	OG0000009	n8	KBS0714_01292	SA211_01112		
N1.HOG0000028	OG0000009	n9	KBS0714_00157	SA211_01104		
N1.HOG0000029	OG0000010	n5	KBS0714_01033, KBS0714_01383	SA211_01111		
N1.HOG0000030	OG0000010	n7	KBS0714_01293	SA211_02022		
N1.HOG0000031	OG0000010	n8	KBS0714_02076	SA211_01115, SA211_01103		
N1.HOG0000032	OG0000011	n1	KBS0714_02227	SA211_01394		
N1.HOG0000033	OG0000011	n3	KBS0714_01502, KBS0714_02225, KBS0714_01398	SA211_02284, SA211_00092, SA211_01013		
N1.HOG0000034	OG0000011	n8	KBS0714_00711	SA211_00343		
N1.HOG0000035	OG0000012	n4	KBS0714_01559	SA211_01269		
N1.HOG0000036	OG0000012	n5	KBS0714_01658	SA211_01363		
N1.HOG0000037	OG0000012	n6	KBS0714_01997, KBS0714_01845	SA211_01691		
N1.HOG0000038	OG0000013	n0	KBS0714_02068, KBS0714_00064, KBS0714_01337, KBS0714_01952, KBS0714_02278, KBS0714_02111	SA211_01968		
N1.HOG0000039	OG0000014	n2	KBS0714_02060	SA211_00298		
N1.HOG0000040	OG0000014	n5	KBS0714_00160	SA211_00346		
N1.HOG0000041	OG0000014	n6	KBS0714_01074	SA211_00337, SA211_00793		
N1.HOG0000042	OG0000015	n1	KBS0714_00616	SA211_00339, SA211_01779		
N1.HOG0000043	OG0000015	n4	KBS0714_02074	SA211_00350, SA211_00789		
N1.HOG0000044	OG0000016	n1	KBS0714_00712, KBS0714_01503	SA211_02283		
N1.HOG0000045	OG0000016	n6	KBS0714_02228	SA211_00344		
N1.HOG0000046	OG0000016	n7	KBS0714_01400	SA211_00091		
N1.HOG0000047	OG0000017	n1		SA211_00341		
N1.HOG0000048	OG0000017	n4		SA211_01765		
N1.HOG0000049	OG0000018	n1	KBS0714_00100	SA211_02113		
N1.HOG0000050	OG0000018	n4	KBS0714_01862	SA211_01558		
N1.HOG0000051	OG0000019	n3	KBS0714_01071	SA211_00334		
N1.HOG0000052	OG0000019	n4	KBS0714_00163	SA211_00349		
N1.HOG0000053	OG0000020	n1	KBS0714_01832	SA211_01529		
N1.HOG0000054	OG0000020	n4	KBS0714_00202	SA211_02197		
N1.HOG0000055	OG0000021	n1	KBS0714_01656	SA211_01361		
N1.HOG0000056	OG0000021	n4	KBS0714_00355	SA211_00071		
N1.HOG0000057	OG0000022	n1	KBS0714_01373	SA211_01093		
N1.HOG0000058	OG0000022	n4	KBS0714_00485	SA211_00204		
N1.HOG0000059	OG0000023	n1	KBS0714_00769	SA211_00499		
N1.HOG0000060	OG0000023	n4	KBS0714_01016	SA211_00730		
N1.HOG0000061	OG0000024	n1	KBS0714_01771	SA211_01478		
N1.HOG0000062	OG0000024	n4	KBS0714_00992	SA211_00706		
N1.HOG0000063	OG0000025	n1		SA211_02302		
N1.HOG0000064	OG0000025	n3	KBS0714_01147	SA211_00866		
N1.HOG0000065	OG0000026	n1	KBS0714_02253	SA211_01952		
N1.HOG0000066	OG0000026	n4	KBS0714_02275	SA211_00101, SA211_02299		
N1.HOG0000067	OG0000027	n1	KBS0714_00171			
N1.HOG0000068	OG0000027	n3	KBS0714_00620	SA211_00361		
N1.HOG0000069	OG0000028	n1	KBS0714_01915	SA211_01611		
N1.HOG0000070	OG0000028	n3	KBS0714_00542	SA211_00267		
N1.HOG0000071	OG0000029	n0	KBS0714_02075, KBS0714_00617	SA211_01780, SA211_00340		
N1.HOG0000072	OG0000030	n1	KBS0714_00626			
N1.HOG0000073	OG0000030	n4		SA211_00371		
N1.HOG0000074	OG0000031	n1	KBS0714_02297	SA211_01990		
N1.HOG0000075	OG0000031	n4	KBS0714_01949			
N1.HOG0000076	OG0000033	n0	KBS0714_02274, KBS0714_00037, KBS0714_00568			
N1.HOG0000077	OG0000034	n1	KBS0714_00038			
N1.HOG0000078	OG0000034	n2	KBS0714_01620	SA211_01648		
N1.HOG0000079	OG0000035	n0	KBS0714_00134	SA211_02148		
N1.HOG0000080	OG0000036	n3	KBS0714_01073	SA211_00347		
N1.HOG0000081	OG0000036	n4	KBS0714_00161	SA211_00792		
N1.HOG0000082	OG0000037	n2	KBS0714_01072	SA211_00335, SA211_00348		
N1.HOG0000083	OG0000037	n4	KBS0714_00162	SA211_00791		
N1.HOG0000084	OG0000038	n0	KBS0714_00169	SA211_00360		
N1.HOG0000085	OG0000039	n1	KBS0714_01408	SA211_01138		
N1.HOG0000086	OG0000039	n4	KBS0714_00172			
N1.HOG0000087	OG0000040	n2		SA211_02026		
N1.HOG0000088	OG0000040	n3	KBS0714_00198	SA211_02194		
N1.HOG0000089	OG0000041	n0	KBS0714_00245	SA211_00096, SA211_00100, SA211_02257		
N1.HOG0000090	OG0000042	n0	KBS0714_00246	SA211_02258		
N1.HOG0000091	OG0000043	n0	KBS0714_00260	SA211_02273		
N1.HOG0000092	OG0000044	n0	KBS0714_00650, KBS0714_00841, KBS0714_00408	SA211_00387		
N1.HOG0000093	OG0000045	n0	KBS0714_00509	SA211_00229		
N1.HOG0000094	OG0000046	n2		SA211_00256		
N1.HOG0000095	OG0000046	n3	KBS0714_00524	SA211_00245		
N1.HOG0000096	OG0000047	n0	KBS0714_00610	SA211_01770		
N1.HOG0000097	OG0000048	n0	KBS0714_00627	SA211_00372		
N1.HOG0000098	OG0000049	n0	KBS0714_00631			
N1.HOG0000099	OG0000050	n1	KBS0714_01289	SA211_01008		
N1.HOG0000100	OG0000050	n3	KBS0714_00633			
N1.HOG0000101	OG0000051	n0	KBS0714_00644	SA211_00381		
N1.HOG0000102	OG0000052	n0	KBS0714_01778, KBS0714_00837, KBS0714_00836	SA211_01485		
N1.HOG0000103	OG0000053	n3	KBS0714_00884	SA211_00606		
N1.HOG0000104	OG0000053	n4	KBS0714_00894	SA211_00616		
N1.HOG0000105	OG0000054	n0	KBS0714_00886	SA211_00608		
N1.HOG0000106	OG0000055	n0	KBS0714_01181	SA211_00900		
