stage	block	input_length	input_channels	output_length	output_channels	cumulative_trainable_parameters
input	-	524288	4	524288	4	0
0:conv_dna	conv_dna	524288	4	262144	512	31232
1:res_tower	res_tower	262144	512	4096	1536	28458400
2:transformer_tower	transformer_tower	4096	1536	4096	1536	154525088
3:unet_conv	unet_conv	4096	1536	8192	1536	161618336
4:unet_conv	unet_conv	8192	1536	16384	1536	168317856
5:Cropping1D	Cropping1D	16384	1536	6144	1536	168317856
6:conv_nac	conv_nac	6144	1536	6144	1920	171271968
trunk_output	activation	6144	1920	6144	1920	171271968
head_human	final	-	7611	-	-	-
head_mouse	final	-	2608	-	-	-
