group	pis_count
animals	0
animals	0
animals	0
animals	0
animals	9
animals	8
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	12
animals	0
animals	0
animals	12
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	5
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	12
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	10
animals	0
animals	8
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	3
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	29
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	6
animals	0
animals	2
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	5
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	10
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	20
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	19
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	29
animals	0
animals	0
animals	0
animals	0
animals	0
animals	11
animals	0
animals	17
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	18
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	0
animals	10
animals	0
animals	0
animals	0
animals	0
animals	12
fungi	20
fungi	21
fungi	34
fungi	23
fungi	17
fungi	24
fungi	25
fungi	27
fungi	9
fungi	21
fungi	0
fungi	27
fungi	0
fungi	17
fungi	0
fungi	16
fungi	25
fungi	14
fungi	33
fungi	21
fungi	0
fungi	25
fungi	0
fungi	10
fungi	14
fungi	0
fungi	17
fungi	0
fungi	0
fungi	51
fungi	26
fungi	25
fungi	16
fungi	14
fungi	15
fungi	16
fungi	0
fungi	12
fungi	19
fungi	29
fungi	27
fungi	47
fungi	15
fungi	7
fungi	20
fungi	16
fungi	12
fungi	13
fungi	24
fungi	9
fungi	5
fungi	28
fungi	52
fungi	15
fungi	6
fungi	12
fungi	59
fungi	20
fungi	15
fungi	20
fungi	0
fungi	9
fungi	11
fungi	28
fungi	12
fungi	14
fungi	0
fungi	11
fungi	9
fungi	34
fungi	73
fungi	0
fungi	23
fungi	0
fungi	10
fungi	23
fungi	13
fungi	20
fungi	15
fungi	20
fungi	15
fungi	16
fungi	11
fungi	11
fungi	0
fungi	34
fungi	29
fungi	0
fungi	33
fungi	0
fungi	0
fungi	0
fungi	14
fungi	25
fungi	10
fungi	7
fungi	3
fungi	10
fungi	20
fungi	0
fungi	6
fungi	18
fungi	58
fungi	10
fungi	13
fungi	12
fungi	17
fungi	18
fungi	22
fungi	50
fungi	11
fungi	18
fungi	0
fungi	5
fungi	20
fungi	0
fungi	12
fungi	5
fungi	18
fungi	3
fungi	5
fungi	11
fungi	0
fungi	14
fungi	10
fungi	0
fungi	4
fungi	0
fungi	0
fungi	0
fungi	9
fungi	3
fungi	12
fungi	15
fungi	23
fungi	162
fungi	2
fungi	10
fungi	12
fungi	0
fungi	4
fungi	8
fungi	79
fungi	68
fungi	57
fungi	52
fungi	28
fungi	0
fungi	0
fungi	53
fungi	45
fungi	48
fungi	66
fungi	68
fungi	43
fungi	0
fungi	18
fungi	60
fungi	48
fungi	36
fungi	40
fungi	40
fungi	0
fungi	46
fungi	50
fungi	30
fungi	28
fungi	52
fungi	60
fungi	25
fungi	115
fungi	59
fungi	32
fungi	54
fungi	28
fungi	30
fungi	14
fungi	26
fungi	0
fungi	35
fungi	34
fungi	0
fungi	48
fungi	21
fungi	34
fungi	49
fungi	0
fungi	36
fungi	0
fungi	28
fungi	27
fungi	26
fungi	23
fungi	26
fungi	126
fungi	16
fungi	0
fungi	0
fungi	18
fungi	32
fungi	21
fungi	23
fungi	20
fungi	0
fungi	49
fungi	12
fungi	31
fungi	22
fungi	24
fungi	45
fungi	27
fungi	24
fungi	18
fungi	34
fungi	26
fungi	25
fungi	20
fungi	20
fungi	31
fungi	25
fungi	27
fungi	0
fungi	30
fungi	0
fungi	15
fungi	19
fungi	17
fungi	26
fungi	44
fungi	23
fungi	23
fungi	23
fungi	16
fungi	32
fungi	24
fungi	36
fungi	24
fungi	23
fungi	22
fungi	30
fungi	26
fungi	0
fungi	0
fungi	11
fungi	21
fungi	26
fungi	0
fungi	76
fungi	16
fungi	20
fungi	25
fungi	21
fungi	0
fungi	20
fungi	13
