scog_id	pis_count	total_sites	pis_percentage
1001705at2759	0	454	0.00
1003258at2759	0	441	0.00
100698at2759	0	806	0.00
1010730at2759	0	578	0.00
1014314at2759	9	357	2.52
1018517at2759	8	293	2.73
1019762at2759	0	684	0.00
1025450at2759	0	417	0.00
1030907at2759	0	362	0.00
1032689at2759	0	312	0.00
1038775at2759	0	383	0.00
1041560at2759	0	457	0.00
1049599at2759	0	506	0.00
1051021at2759	0	503	0.00
1053181at2759	0	291	0.00
1065019at2759	0	411	0.00
1076134at2759	0	270	0.00
1079130at2759	0	417	0.00
1079827at2759	0	260	0.00
1085752at2759	0	457	0.00
1087488at2759	0	428	0.00
1090038at2759	0	289	0.00
1094121at2759	0	183	0.00
1096688at2759	0	483	0.00
1106766at2759	0	609	0.00
1107630at2759	0	339	0.00
1108845at2759	0	495	0.00
1111142at2759	0	531	0.00
1112002at2759	0	864	0.00
1128607at2759	0	337	0.00
1129824at2759	0	269	0.00
1138059at2759	0	285	0.00
1157302at2759	0	246	0.00
1161199at2759	0	309	0.00
1173229at2759	12	446	2.69
1178688at2759	0	239	0.00
1182451at2759	0	329	0.00
1193442at2759	12	460	2.61
1194691at2759	0	412	0.00
1194797at2759	0	853	0.00
1197019at2759	0	203	0.00
1200489at2759	0	210	0.00
1217666at2759	0	253	0.00
1220881at2759	0	332	0.00
1222562at2759	0	315	0.00
1223488at2759	0	197	0.00
1228942at2759	0	279	0.00
1236198at2759	0	147	0.00
1247641at2759	0	269	0.00
1248958at2759	0	986	0.00
1249159at2759	5	205	2.44
1251252at2759	0	267	0.00
1257440at2759	0	185	0.00
1258856at2759	0	892	0.00
1259741at2759	0	393	0.00
1260807at2759	0	466	0.00
1264469at2759	0	290	0.00
1266231at2759	0	236	0.00
1269244at2759	0	255	0.00
1269649at2759	12	291	4.12
1275837at2759	0	365	0.00
1284731at2759	0	270	0.00
1287094at2759	0	208	0.00
1287401at2759	0	279	0.00
1291729at2759	0	220	0.00
1304061at2759	0	197	0.00
1309031at2759	0	574	0.00
1312453at2759	0	1354	0.00
1314980at2759	0	843	0.00
1322299at2759	0	621	0.00
1322642at2759	0	299	0.00
1323575at2759	0	440	0.00
1324510at2759	0	458	0.00
1338131at2759	0	200	0.00
1339553at2759	0	465	0.00
1342242at2759	10	378	2.65
1346165at2759	0	432	0.00
1346432at2759	8	262	3.05
1348942at2759	0	352	0.00
1355894at2759	0	178	0.00
1358374at2759	0	434	0.00
1364586at2759	0	252	0.00
1370285at2759	0	693	0.00
1370304at2759	0	799	0.00
1377237at2759	0	281	0.00
1379600at2759	0	872	0.00
1380409at2759	0	211	0.00
1382842at2759	0	187	0.00
1395649at2759	0	180	0.00
1398309at2759	0	167	0.00
1404162at2759	0	580	0.00
1405073at2759	3	180	1.67
1405146at2759	0	225	0.00
1407446at2759	0	171	0.00
1421503at2759	0	161	0.00
1423847at2759	0	382	0.00
142542at2759	0	1092	0.00
1426075at2759	0	141	0.00
1428265at2759	0	244	0.00
1428854at2759	29	1021	2.84
1430056at2759	0	239	0.00
1432328at2759	0	323	0.00
1434266at2759	0	230	0.00
1440961at2759	0	267	0.00
1441854at2759	0	308	0.00
1442062at2759	0	521	0.00
1445102at2759	0	261	0.00
1450538at2759	0	312	0.00
1454155at2759	0	314	0.00
1455730at2759	0	551	0.00
1459797at2759	0	135	0.00
1474000at2759	0	405	0.00
1488235at2759	0	182	0.00
1488436at2759	0	138	0.00
1490022at2759	0	192	0.00
1504863at2759	6	228	2.63
1513531at2759	0	289	0.00
1525971at2759	2	153	1.31
1526152at2759	0	189	0.00
1530008at2759	0	244	0.00
1538526at2759	0	163	0.00
1545004at2759	0	98	0.00
1552706at2759	0	145	0.00
1558822at2759	0	91	0.00
156083at2759	5	2341	0.21
1563319at2759	0	340	0.00
1567796at2759	0	199	0.00
1575179at2759	0	110	0.00
1576404at2759	0	230	0.00
1588798at2759	0	320	0.00
1593937at2759	0	375	0.00
160593at2759	0	2731	0.00
1617752at2759	0	121	0.00
1620056at2759	10	189	5.29
1626636at2759	0	219	0.00
1633672at2759	0	102	0.00
1645187at2759	0	134	0.00
166920at2759	0	1499	0.00
176625at2759	0	1183	0.00
179362at2759	0	1312	0.00
245208at2759	0	1322	0.00
257318at2759	0	577	0.00
261328at2759	0	678	0.00
271586at2759	0	1076	0.00
290630at2759	0	940	0.00
293315at2759	0	1428	0.00
296129at2759	0	1058	0.00
299766at2759	0	1027	0.00
306227at2759	0	799	0.00
320059at2759	0	553	0.00
324863at2759	0	969	0.00
325552at2759	0	609	0.00
330169at2759	0	504	0.00
331411at2759	0	748	0.00
341721at2759	20	837	2.39
345441at2759	0	550	0.00
355408at2759	0	691	0.00
369837at2759	0	756	0.00
375960at2759	0	542	0.00
383503at2759	0	503	0.00
388820at2759	0	952	0.00
390348at2759	0	1030	0.00
39650at2759	0	2306	0.00
396755at2759	0	1216	0.00
418107at2759	0	451	0.00
426305at2759	0	802	0.00
450058at2759	0	366	0.00
453044at2759	19	478	3.97
457861at2759	0	306	0.00
464990at2759	0	570	0.00
491869at2759	0	473	0.00
513979at2759	0	581	0.00
543764at2759	0	514	0.00
549762at2759	0	647	0.00
551907at2759	0	1081	0.00
570797at2759	29	903	3.21
582756at2759	0	553	0.00
598949at2759	0	1251	0.00
604979at2759	0	809	0.00
621827at2759	0	570	0.00
655400at2759	0	478	0.00
664730at2759	11	463	2.38
671536at2759	0	496	0.00
673132at2759	17	415	4.10
674160at2759	0	2911	0.00
674169at2759	0	701	0.00
679771at2759	0	391	0.00
687505at2759	0	363	0.00
692986at2759	0	794	0.00
708105at2759	0	426	0.00
719531at2759	0	489	0.00
720340at2759	0	561	0.00
721605at2759	18	436	4.13
734341at2759	0	269	0.00
734666at2759	0	517	0.00
736068at2759	0	451	0.00
751335at2759	0	470	0.00
759498at2759	0	732	0.00
761109at2759	0	678	0.00
768809at2759	0	376	0.00
777920at2759	0	598	0.00
779909at2759	0	326	0.00
801857at2759	0	436	0.00
814241at2759	0	435	0.00
817008at2759	0	417	0.00
834694at2759	0	728	0.00
836599at2759	0	545	0.00
83779at2759	0	652	0.00
844748at2759	0	482	0.00
855834at2759	0	700	0.00
858842at2759	0	485	0.00
865202at2759	0	305	0.00
866359at2759	0	327	0.00
869548at2759	0	269	0.00
878143at2759	0	442	0.00
87842at2759	0	1066	0.00
887370at2759	0	581	0.00
891751at2759	0	572	0.00
898782at2759	0	547	0.00
901894at2759	0	543	0.00
905026at2759	0	706	0.00
911863at2759	0	425	0.00
917326at2759	0	639	0.00
919955at2759	0	389	0.00
923657at2759	0	317	0.00
924753at2759	0	465	0.00
931188at2759	0	629	0.00
937275at2759	0	417	0.00
937686at2759	0	491	0.00
939345at2759	0	245	0.00
944899at2759	0	398	0.00
946128at2759	0	532	0.00
956854at2759	0	294	0.00
97116at2759	0	1220	0.00
973442at2759	0	425	0.00
974865at2759	10	309	3.24
975158at2759	0	459	0.00
975557at2759	0	755	0.00
976469at2759	0	386	0.00
981902at2759	0	391	0.00
996662at2759	12	453	2.65
