scog_id	pis_count	total_sites	pis_percentage
1001705at2759	20	596	3.36
1003258at2759	21	1071	1.96
100698at2759	34	954	3.56
1010730at2759	23	650	3.54
1014314at2759	17	455	3.74
1018517at2759	24	345	6.96
1019762at2759	25	918	2.72
1025450at2759	27	594	4.55
1030907at2759	9	421	2.14
1032689at2759	21	688	3.05
1038775at2759	0	384	0.00
1041560at2759	27	666	4.05
1049599at2759	0	551	0.00
1051021at2759	17	891	1.91
1053181at2759	0	374	0.00
1057950at2759	16	395	4.05
1065019at2759	25	430	5.81
1076134at2759	14	345	4.06
1079130at2759	33	563	5.86
1079827at2759	21	264	7.95
1085752at2759	0	621	0.00
1087488at2759	25	567	4.41
1090038at2759	0	556	0.00
1094121at2759	10	251	3.98
1096688at2759	14	481	2.91
1106766at2759	0	745	0.00
1107630at2759	17	520	3.27
1108845at2759	0	501	0.00
1111142at2759	0	800	0.00
1112002at2759	51	1213	4.20
1115196at2759	26	566	4.59
1128607at2759	25	366	6.83
1129824at2759	16	326	4.91
1138059at2759	14	317	4.42
1157302at2759	15	247	6.07
1161199at2759	16	358	4.47
1173229at2759	0	597	0.00
1178688at2759	12	229	5.24
1182451at2759	19	477	3.98
1193442at2759	29	567	5.11
1194691at2759	27	512	5.27
1194797at2759	47	826	5.69
1197019at2759	15	254	5.91
1200489at2759	7	318	2.20
1217666at2759	20	324	6.17
1220881at2759	16	514	3.11
1222562at2759	12	505	2.38
1223488at2759	13	291	4.47
1228942at2759	24	278	8.63
1233814at2759	9	334	2.69
1236198at2759	5	159	3.14
1247641at2759	28	874	3.20
1248958at2759	52	1013	5.13
1249159at2759	15	248	6.05
1251252at2759	6	448	1.34
1257440at2759	12	230	5.22
1258856at2759	59	1054	5.60
1259741at2759	20	524	3.82
1260807at2759	15	1625	0.92
1264469at2759	20	419	4.77
1266231at2759	0	396	0.00
1269244at2759	9	320	2.81
1269649at2759	11	320	3.44
1275837at2759	28	364	7.69
1284731at2759	12	309	3.88
1287094at2759	14	244	5.74
1287401at2759	0	374	0.00
1291729at2759	11	233	4.72
1304061at2759	9	282	3.19
1309031at2759	34	1053	3.23
1312453at2759	73	2093	3.49
1314980at2759	0	1110	0.00
1322299at2759	23	722	3.19
1322642at2759	0	908	0.00
1323575at2759	10	236	4.24
1324510at2759	23	660	3.48
1338131at2759	13	203	6.40
1339553at2759	20	559	3.58
1342242at2759	15	549	2.73
1346165at2759	20	614	3.26
1346432at2759	15	365	4.11
1348942at2759	16	482	3.32
1355894at2759	11	214	5.14
1358374at2759	11	401	2.74
1364586at2759	0	364	0.00
1370285at2759	34	955	3.56
1370304at2759	29	1125	2.58
1377237at2759	0	626	0.00
1379600at2759	33	1086	3.04
1380409at2759	0	220	0.00
1382842at2759	0	322	0.00
1395649at2759	0	295	0.00
1398309at2759	14	186	7.53
1404162at2759	25	926	2.70
1405073at2759	10	184	5.43
1405146at2759	7	266	2.63
1407446at2759	3	209	1.44
1421503at2759	10	300	3.33
1423847at2759	20	459	4.36
142542at2759	0	2034	0.00
1426075at2759	6	320	1.88
1428265at2759	18	461	3.90
1428854at2759	58	974	5.95
1430056at2759	10	253	3.95
1432328at2759	13	450	2.89
1434266at2759	12	393	3.05
1440961at2759	17	581	2.93
1441854at2759	18	390	4.62
1442062at2759	22	784	2.81
1445102at2759	50	303	16.50
1450538at2759	11	573	1.92
1454155at2759	18	455	3.96
