file	ref
obs	rows	4183
obs	columns	guide,target_gene
obs	guide	unique=43	CDC73-I2,CPSF1-I3,CPSF2-I1,CPSF3-I3,CPSF3L-I8,CPSF4-I8,CPSF6-I5,CPSF7-I1,CSTF1-I5,CSTF2-I4,CSTF3-I5,CTR9-I7,FIP1L1-I1,LEO1-I2,NT-I1,NT-I10,NT-I2,NT-I3,NT-I4,NT-I5,NT-I6,NT-I7,NT-I8,NT-I9,NUDT21-I3,PABPC1-I1,PABPN1-I2,PAF1-I6,PAPOLA-I3,PCF11-I5,PHF3-I5,RBBP6-I4,RPAP2-I2,RPRD1A-I5,RPRD1B-I1,SCAF1-I2,SCAF11-I3,SCAF4-I4,SCAF8-I3,SF3A1-I5
obs	target_gene	unique=34	CDC73,CPSF1,CPSF2,CPSF3,CPSF3L,CPSF4,CPSF6,CPSF7,CSTF1,CSTF2,CSTF3,CTR9,FIP1L1,LEO1,NT,NUDT21,PABPC1,PABPN1,PAF1,PAPOLA,PCF11,PHF3,RBBP6,RPAP2,RPRD1A,RPRD1B,SCAF1,SCAF11,SCAF4,SCAF8,SF3A1,SRSF3,SYMPK,THOC5
var	rows	11889
var	columns	
file	query
obs	rows	3516
obs	columns	guide
obs	guide	unique=42	NT-I1,NT-I10,NT-I2,NT-I3,NT-I4,NT-I5,NT-I6,NT-I7,NT-I8,NT-I9,guide1,guide10,guide11,guide12,guide13,guide14,guide15,guide16,guide17,guide18,guide19,guide2,guide20,guide21,guide22,guide23,guide24,guide25,guide26,guide27,guide28,guide29,guide3,guide30,guide31,guide32,guide4,guide5,guide6,guide7
var	rows	11889
var	columns	
