pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	10	24	98	2055	4.33728822064e-08	2.16864411032e-06	PA14_09420,PA14_09440,PA14_09450,PA14_09470,PA14_09480,PA14_39890,PA14_39910,PA14_39925,PA14_39960,PA14_39970
pau01053	Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa UCBPP-PA14	6	9	98	2055	7.56960838523e-07	1.89240209631e-05	PA14_09210,PA14_09220,PA14_09240,PA14_09270,PA14_09280,PA14_09290
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	13	58	98	2055	1.58200381958e-06	2.63667303263e-05	PA14_06740,PA14_10500,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_44360,PA14_57540,PA14_57560,PA14_57570
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	15	111	98	2055	0.000157899300312	0.0019737412539	PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09520,PA14_09530,PA14_33750,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970
pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	35	444	98	2055	0.000723374943854	0.00723374943854	PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_09150,PA14_09210,PA14_09220,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_31820,PA14_33500,PA14_33510,PA14_35270,PA14_35520,PA14_35530,PA14_36310,PA14_36320,PA14_36330,PA14_38200,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_55580,PA14_56300,PA14_58030,PA14_61040
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	8	52	98	2055	0.00264758705847	0.0220632254872	PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_18670,PA14_55580
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	62	1053	98	2055	0.00942297481188	0.067306962942	PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_03050,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_06740,PA14_09150,PA14_09210,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_10500,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_31820,PA14_33500,PA14_33510,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_35520,PA14_35530,PA14_36310,PA14_36320,PA14_36330,PA14_38200,PA14_38510,PA14_38640,PA14_38660,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_44360,PA14_49250,PA14_49260,PA14_53070,PA14_56300,PA14_57540,PA14_57560,PA14_57570,PA14_58030,PA14_61040,PA14_63570,PA14_63580,PA14_63940
pau00460	Cyanoamino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	11	98	2055	0.0131241394216	0.0729118856758	PA14_36310,PA14_36320,PA14_36330
pau00643	Styrene degradation - Pseudomonas aeruginosa UCBPP-PA14	3	11	98	2055	0.0131241394216	0.0729118856758	PA14_02760,PA14_02770,PA14_38510
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	3	14	98	2055	0.0260935762999	0.1304678815	PA14_09150,PA14_58000,PA14_61040
pau00650	Butanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	5	38	98	2055	0.0319864149415	0.145392795189	PA14_02760,PA14_02770,PA14_38200,PA14_38640,PA14_38660
pau00030	Pentose phosphate pathway - Pseudomonas aeruginosa UCBPP-PA14	4	29	98	2055	0.0461972458977	0.192488524574	PA14_35270,PA14_35290,PA14_35300,PA14_35320
pau04148	Efferocytosis - Pseudomonas aeruginosa UCBPP-PA14	1	2	98	2055	0.093125039979	0.358173230688	PA14_57570
pau01310	Nitrogen cycle - Pseudomonas aeruginosa UCBPP-PA14	2	12	98	2055	0.108878550733	0.388851966905	PA14_49250,PA14_49260
pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	27	98	2055	0.134791599133	0.449305330445	PA14_31820,PA14_38510,PA14_53070
pau01220	Degradation of aromatic compounds - Pseudomonas aeruginosa UCBPP-PA14	3	29	98	2055	0.157528964228	0.482557447365	PA14_01900,PA14_01910,PA14_03050
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	4	45	98	2055	0.164069532104	0.482557447365	PA14_35520,PA14_35530,PA14_38640,PA14_38660
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	4	47	98	2055	0.183153262023	0.508759061174	PA14_33500,PA14_35520,PA14_35530,PA14_38200
pau00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	3	32	98	2055	0.19362470679	0.509538702079	PA14_09460,PA14_31820,PA14_39945
pau00362	Benzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	3	34	98	2055	0.218744015285	0.546860038212	PA14_01900,PA14_01910,PA14_03050
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	12	202	98	2055	0.250288486767	0.547723019222	PA14_10160,PA14_10180,PA14_20030,PA14_33540,PA14_33550,PA14_33560,PA14_33690,PA14_33760,PA14_45340,PA14_48115,PA14_54980,PA14_62000
pau00401	Novobiocin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	6	98	2055	0.254384442491	0.547723019222	PA14_31820
pau00130	Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2	21	98	2055	0.264625680615	0.547723019222	PA14_09210,PA14_53070
pau00360	Phenylalanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	21	98	2055	0.264625680615	0.547723019222	PA14_31820,PA14_53070
pau01120	Microbial metabolism in diverse environments - Pseudomonas aeruginosa UCBPP-PA14	18	324	98	2055	0.273861509611	0.547723019222	PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_03050,PA14_06660,PA14_33500,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_38510,PA14_49250,PA14_49260,PA14_56300,PA14_58030,PA14_63570,PA14_63580
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	24	98	2055	0.318685307283	0.593968156964	PA14_35520,PA14_35530
pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	4	63	98	2055	0.353556345832	0.593968156964	PA14_09150,PA14_61040,PA14_63570,PA14_63580
pau00380	Tryptophan metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	26	98	2055	0.354262564714	0.593968156964	PA14_09150,PA14_61040
pau00680	Methane metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	26	98	2055	0.354262564714	0.593968156964	PA14_63570,PA14_63580
pau00261	Monobactam biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	9	98	2055	0.356380894179	0.593968156964	PA14_33510
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	14	268	98	2055	0.399883826191	0.634922188204	PA14_06170,PA14_06180,PA14_06740,PA14_10500,PA14_15190,PA14_15200,PA14_20000,PA14_28980,PA14_44360,PA14_47390,PA14_57540,PA14_57560,PA14_57570,PA14_64690
pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	2	29	98	2055	0.406350200451	0.634922188204	PA14_56300,PA14_58030
pau00660	C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	13	98	2055	0.471191930849	0.713927167953	PA14_38200
pau00910	Nitrogen metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	34	98	2055	0.48839798866	0.718232336264	PA14_49250,PA14_49260
pau00720	Other carbon fixation pathways - Pseudomonas aeruginosa UCBPP-PA14	2	35	98	2055	0.503964356906	0.719949081295	PA14_56300,PA14_58030
pau00290	Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	17	98	2055	0.565694069283	0.785686207337	PA14_38200
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	6	129	98	2055	0.58855919941	0.795350269473	PA14_09150,PA14_56300,PA14_58030,PA14_61040,PA14_63570,PA14_63580
pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	43	98	2055	0.617153967598	0.812044694208	PA14_35520,PA14_35530
pau00470	D-Amino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	23	98	2055	0.676987527858	0.867932728023	PA14_63940
pau00340	Histidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	25	98	2055	0.707400224636	0.879909428089	PA14_31820
