pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	53	1053	58	2055	3.33159918707e-11	1.16605971548e-09	PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_03050,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_06740,PA14_09150,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_10500,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_36310,PA14_36320,PA14_36330,PA14_38510,PA14_38640,PA14_38660,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_44360,PA14_49250,PA14_49260,PA14_53070,PA14_56300,PA14_57540,PA14_57560,PA14_57570,PA14_61040,PA14_63570,PA14_63580
pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	10	24	58	2055	2.08849955941e-10	3.65487422897e-09	PA14_09420,PA14_09440,PA14_09450,PA14_09470,PA14_09480,PA14_39890,PA14_39910,PA14_39925,PA14_39960,PA14_39970
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	13	58	58	2055	2.16380479548e-09	2.52443892806e-08	PA14_06740,PA14_10500,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_44360,PA14_57540,PA14_57560,PA14_57570
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	14	111	58	2055	1.09079567114e-06	9.54446212248e-06	PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09520,PA14_09530,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970
pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	25	444	58	2055	0.000158261143787	0.00110782800651	PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_09150,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_35270,PA14_36310,PA14_36320,PA14_36330,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_56300,PA14_61040
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	7	52	58	2055	0.000490516395079	0.00286134563796	PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_18670
pau00460	Cyanoamino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	11	58	2055	0.00299825231291	0.013117353869	PA14_36310,PA14_36320,PA14_36330
pau00643	Styrene degradation - Pseudomonas aeruginosa UCBPP-PA14	3	11	58	2055	0.00299825231291	0.013117353869	PA14_02760,PA14_02770,PA14_38510
pau00030	Pentose phosphate pathway - Pseudomonas aeruginosa UCBPP-PA14	4	29	58	2055	0.00801551240666	0.031171437137	PA14_35270,PA14_35290,PA14_35300,PA14_35320
pau01120	Microbial metabolism in diverse environments - Pseudomonas aeruginosa UCBPP-PA14	16	324	58	2055	0.0141205032182	0.0494217612635	PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_03050,PA14_06660,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_38510,PA14_49250,PA14_49260,PA14_56300,PA14_63570,PA14_63580
pau00650	Butanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	4	38	58	2055	0.0206343654695	0.0656547992212	PA14_02760,PA14_02770,PA14_38640,PA14_38660
pau01310	Nitrogen cycle - Pseudomonas aeruginosa UCBPP-PA14	2	12	58	2055	0.0430973669626	0.124830410848	PA14_49250,PA14_49260
