group	file	gene	total_tree_length	internal_branch_length	treeness	sites	parsimony_informative_sites	parsimony_informative_percent
animals	981902at2759.faa.mafft.clipkit.iqtree	981902at2759	1.3376	0.0	0.0	386	0	0.0
animals	355408at2759.faa.mafft.clipkit.iqtree	355408at2759	0.1802	0.0	0.0	691	0	0.0
animals	1194691at2759.faa.mafft.clipkit.iqtree	1194691at2759	0.8841	0.0	0.0	389	0	0.0
animals	418107at2759.faa.mafft.clipkit.iqtree	418107at2759	1.0636	0.0	0.0	445	0	0.0
animals	1382842at2759.faa.mafft.clipkit.iqtree	1382842at2759	1.3522	0.0	0.0	185	0	0.0
animals	1287094at2759.faa.mafft.clipkit.iqtree	1287094at2759	1.4694	0.0	0.0	208	0	0.0
animals	1423847at2759.faa.mafft.clipkit.iqtree	1423847at2759	1.0472	0.0	0.0	373	0	0.0
animals	1441854at2759.faa.mafft.clipkit.iqtree	1441854at2759	1.1213	0.0	0.0	304	0	0.0
animals	1249159at2759.faa.mafft.clipkit.iqtree	1249159at2759	1.6182	0.0498	0.030774935113088615	196	5	2.5510204081632653
animals	1065019at2759.faa.mafft.clipkit.iqtree	1065019at2759	1.6238	0.0	0.0	400	0	0.0
animals	1014314at2759.faa.mafft.clipkit.iqtree	1014314at2759	1.2431	0.1099	0.08840801222749577	330	9	2.727272727272727
animals	570797at2759.faa.mafft.clipkit.iqtree	570797at2759	4.0325	0.1031	0.025567265964042157	818	29	3.545232273838631
animals	1626636at2759.faa.mafft.clipkit.iqtree	1626636at2759	0.7933	0.0	0.0	199	0	0.0
animals	720340at2759.faa.mafft.clipkit.iqtree	720340at2759	1.4327	0.0	0.0	531	0	0.0
animals	396755at2759.faa.mafft.clipkit.iqtree	396755at2759	1.3648	0.0	0.0	1165	0	0.0
animals	1455730at2759.faa.mafft.clipkit.iqtree	1455730at2759	0.6788	0.0	0.0	536	0	0.0
animals	1346432at2759.faa.mafft.clipkit.iqtree	1346432at2759	2.104	0.0866	0.04115969581749049	262	8	3.053435114503817
animals	1269649at2759.faa.mafft.clipkit.iqtree	1269649at2759	1.1296	0.055	0.04868980169971672	244	12	4.918032786885246
animals	324863at2759.faa.mafft.clipkit.iqtree	324863at2759	2.2541	0.0	0.0	916	0	0.0
animals	306227at2759.faa.mafft.clipkit.iqtree	306227at2759	1.7592	0.0	0.0	774	0	0.0
animals	1287401at2759.faa.mafft.clipkit.iqtree	1287401at2759	0.6084	0.0	0.0	246	0	0.0
animals	290630at2759.faa.mafft.clipkit.iqtree	290630at2759	1.4987	0.0	0.0	915	0	0.0
animals	919955at2759.faa.mafft.clipkit.iqtree	919955at2759	1.5697	0.0	0.0	378	0	0.0
animals	390348at2759.faa.mafft.clipkit.iqtree	390348at2759	0.3452	0.0	0.0	1020	0	0.0
animals	1284731at2759.faa.mafft.clipkit.iqtree	1284731at2759	1.6079	0.0	0.0	246	0	0.0
animals	975158at2759.faa.mafft.clipkit.iqtree	975158at2759	0.9939	0.0	0.0	441	0	0.0
animals	1264469at2759.faa.mafft.clipkit.iqtree	1264469at2759	2.2354	0.0	0.0	269	0	0.0
animals	1445102at2759.faa.mafft.clipkit.iqtree	1445102at2759	0.8103	0.0	0.0	245	0	0.0
