rank	feature_id	gene_symbol	total_counts	cells_expressed
1	ENSMUSG00000092341	Malat1	1061912	20022
2	ENSMUSG00000064357	mt-Atp6	876642	18549
3	ENSMUSG00000064358	mt-Co3	800989	18606
4	ENSMUSG00000064351	mt-Co1	578849	17246
5	ENSMUSG00000064370	mt-Cytb	470443	16649
6	ENSMUSG00000072235	Tuba1a	446368	19383
7	ENSMUSG00000049775	Tmsb4x	445983	19250
8	ENSMUSG00000037742	Eef1a1	423239	17278
9	ENSMUSG00000064341	mt-Nd1	382355	15861
10	ENSMUSG00000064354	mt-Co2	365241	15855
11	ENSMUSG00000093674	Rpl41	339463	17439
12	ENSMUSG00000026238	Ptma	339235	18111
13	ENSMUSG00000040952	Rps19	328736	16775
14	ENSMUSG00000074129	Rpl13a	291880	16660
15	ENSMUSG00000062382	Gm10116	288533	15028
16	ENSMUSG00000049517	Rps23	288188	16629
17	ENSMUSG00000024608	Rps14	277565	16222
18	ENSMUSG00000047675	Rps8	277552	15939
19	ENSMUSG00000079523	Tmsb10	272685	18290
20	ENSMUSG00000045128	Rpl18a	271319	15381
21	ENSMUSG00000057841	Rpl32	267046	15932
22	ENSMUSG00000064363	mt-Nd4	259645	14563
23	ENSMUSG00000062825	Actg1	251766	16059
24	ENSMUSG00000046330	Rpl37a	249968	16137
25	ENSMUSG00000029580	Actb	248509	17246
26	ENSMUSG00000031320	Rps4x	241940	13950
27	ENSMUSG00000034892	Rps29	241364	16266
28	ENSMUSG00000000740	Rpl13	241124	14536
29	ENSMUSG00000020460	Rps27a	240433	15185
30	ENSMUSG00000008683	Rps15a	238832	15121
31	ENSMUSG00000067274	Rplp0	232481	12736
32	ENSMUSG00000008668	Rps18	225908	14664
33	ENSMUSG00000003429	Rps11	218180	15242
34	ENSMUSG00000090733	Rps27	216758	14587
35	ENSMUSG00000012848	Rps5	216314	13545
36	ENSMUSG00000016559	H3f3b	211735	15308
37	ENSMUSG00000058546	Rpl23a	207632	15326
38	ENSMUSG00000030744	Rps3	205201	13980
39	ENSMUSG00000071415	Rpl23	205110	15237
40	ENSMUSG00000061477	Rps7	202451	14132
41	ENSMUSG00000007892	Rplp1	200512	14395
42	ENSMUSG00000028495	Rps6	199029	13885
43	ENSMUSG00000025794	Rpl14	196658	14439
44	ENSMUSG00000079641	Rpl39	195932	14731
45	ENSMUSG00000028234	Rps20	195863	14096
46	ENSMUSG00000060938	Rpl26	194309	14418
47	ENSMUSG00000001525	Tubb5	194082	15646
48	ENSMUSG00000028081	Rps3a1	189122	12777
49	ENSMUSG00000041841	Rpl37	186511	14418
50	ENSMUSG00000063696	Gm8730	185512	10955
51	ENSMUSG00000062328	Rpl17	182630	13438
52	ENSMUSG00000025508	Rplp2	177208	14190
53	ENSMUSG00000067288	Rps28	176881	14782
54	ENSMUSG00000003970	Rpl8	175918	12787
55	ENSMUSG00000006333	Rps9	173484	13394
56	ENSMUSG00000060036	Rpl3	169975	11595
57	ENSMUSG00000060126	Tpt1	169749	14258
58	ENSMUSG00000008682	Rpl10	169665	13082
59	ENSMUSG00000067786	Nnat	169468	14290
60	ENSMUSG00000062380	Tubb3	168058	15230
61	ENSMUSG00000037563	Rps16	166558	13422
62	ENSMUSG00000029614	Rpl6	166309	12905
63	ENSMUSG00000025290	Rps24	164116	13995
64	ENSMUSG00000023944	Hsp90ab1	163085	13436
65	ENSMUSG00000032399	Rpl4	162667	11957
66	ENSMUSG00000047215	Rpl9	159894	12764
67	ENSMUSG00000071866	Ppia	158702	14788
68	ENSMUSG00000061787	Rps17	157046	13617
69	ENSMUSG00000063457	Rps15	156051	13424
70	ENSMUSG00000060636	Rpl35a	155517	13083
71	ENSMUSG00000027500	Stmn2	152779	15126
72	ENSMUSG00000060743	H3f3a	151112	14055
73	ENSMUSG00000028832	Stmn1	148970	15089
74	ENSMUSG00000019505	Ubb	147842	14966
75	ENSMUSG00000041453	Rpl21	147802	13609
76	ENSMUSG00000046364	Rpl27a	145742	12655
77	ENSMUSG00000098274	Rpl24	145337	13218
78	ENSMUSG00000032518	Rpsa	144424	11971
79	ENSMUSG00000043716	Rpl7	144413	11850
80	ENSMUSG00000017404	Rpl19	140814	13103
81	ENSMUSG00000059291	Rpl11	138356	12642
82	ENSMUSG00000044533	Rps2	136913	10681
83	ENSMUSG00000059070	Rpl18	136617	11500
84	ENSMUSG00000025362	Rps26	136314	13121
85	ENSMUSG00000052727	Map1b	135207	11209
86	ENSMUSG00000034994	Eef2	132593	10462
87	ENSMUSG00000090862	Rps13	132097	11884
88	ENSMUSG00000021268	Meg3	132087	9963
89	ENSMUSG00000062006	Rpl34	131699	12611
90	ENSMUSG00000047945	Marcksl1	129436	11206
91	ENSMUSG00000057863	Rpl36	127236	12882
92	ENSMUSG00000079435	Rpl36a	126548	12575
93	ENSMUSG00000073702	Rpl31	125804	12760
94	ENSMUSG00000052146	Rps10	125053	11683
95	ENSMUSG00000045136	Tubb2b	124762	14665
96	ENSMUSG00000038274	Fau	122655	12223
97	ENSMUSG00000061983	Rps12	122318	11384
98	ENSMUSG00000037805	Rpl10a	117061	10529
99	ENSMUSG00000057322	Rpl38	116230	13459
100	ENSMUSG00000064345	mt-Nd2	114541	11216
