metric	value
target_n_obs	20072
target_n_vars	28692
target_nnz	18583698
source_n_obs_columns	6814
source_n_vars_rows	28692
source_nnz_header	16066669
source_features	28692
source_barcodes	6814
target_feature_membership	28692/28692
target_feature_order_exact	True
target_barcode_membership	4/20072
rows_exact_after_feature_mapping	0/20072
selected_total_hash_exact	False
target_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
source_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
target_barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
source_barcode_sha256	92ad8215f223b79f3bc0d2260042e89fcb479dc2867a2c6992777744ec62bc35
