sample	source_n_obs_columns	source_n_vars_rows	source_nnz_header	source_features	source_barcodes	target_feature_membership	target_feature_order_exact	target_barcode_membership	rows_exact_after_feature_mapping	selected_total_hash_exact	source_feature_sha256
GSM3934450_ET_CT_12	10980	27998	17546843	27998	10980	27998/28692	False	306/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934451_ET_CT_15	10250	27998	22942501	27998	10250	27998/28692	False	298/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934452_PT_CT_0	5538	27998	14075013	27998	5538	27998/28692	False	141/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934453_C57BL6-P3-cortex	4257	27998	9600961	27998	4257	27998/28692	False	116/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934454_C57BL6-P6-cortex	4787	27998	12890521	27998	4787	27998/28692	False	120/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934455_ET_PO_12	5303	27998	8716002	27998	5303	27998/28692	False	121/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934456_ET_PO_15	8621	27998	18120147	27998	8621	27998/28692	False	229/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934457_PT_PO_0	3648	27998	9060098	27998	3648	27998/28692	False	89/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934458_C57BL6-P3-pons	6361	27998	12615445	27998	6361	27998/28692	False	143/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
GSM3934459_C57BL6-P6-pons	5844	27998	16176506	27998	5844	27998/28692	False	167/20072	0/20072	False	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
