path	type	shape	dtype
X	group		
X/data	dataset	(4503058,)	float32
X/indices	dataset	(4503058,)	int32
X/indptr	dataset	(1625,)	int32
obs	group		
obs/_index	dataset	(1624,)	object
raw	group		
raw/X	group		
raw/X/data	dataset	(4503058,)	float32
raw/X/indices	dataset	(4503058,)	int32
raw/X/indptr	dataset	(1625,)	int32
raw/var	group		
raw/var/__categories	group		
raw/var/__categories/feature_types	dataset	(1,)	object
raw/var/__categories/genome	dataset	(1,)	object
raw/var/_index	dataset	(32286,)	object
raw/var/feature_types	dataset	(32286,)	int8
raw/var/gene_ids	dataset	(32286,)	object
raw/var/genome	dataset	(32286,)	int8
var	group		
var/__categories	group		
var/__categories/feature_types	dataset	(1,)	object
var/__categories/genome	dataset	(1,)	object
var/_index	dataset	(32286,)	object
var/feature_types	dataset	(32286,)	int8
var/gene_ids	dataset	(32286,)	object
var/genome	dataset	(32286,)	int8
