metric	value
target_n_obs	20072
target_n_vars	28692
target_total_sum	60716589
target_min_total	274
target_median_total	395
source_n_obs_columns	6794880
source_n_vars_rows	28692
source_nnz_header	50955228
source_total_sum	143951499
source_nonzero_columns	1723292
source_max_total	140089
source_columns_total_ge_1	1723292
source_sum_total_ge_1	143951499
source_columns_total_ge_10	96796
source_sum_total_ge_10	141311036
source_columns_total_ge_25	89381
source_sum_total_ge_25	141206377
source_columns_total_ge_50	86017
source_sum_total_ge_50	141080694
source_columns_total_ge_100	35522
source_sum_total_ge_100	137079564
source_columns_total_ge_150	19365
source_sum_total_ge_150	135218143
source_columns_total_ge_200	16874
source_sum_total_ge_200	134796432
source_columns_total_ge_250	16030
source_sum_total_ge_250	134609948
source_columns_total_ge_260	15929
source_sum_total_ge_260	134584285
source_columns_total_ge_270	15838
source_sum_total_ge_270	134560191
source_columns_total_ge_274	15804
source_sum_total_ge_274	134550964
source_columns_total_ge_275	15792
source_sum_total_ge_275	134547676
source_columns_total_ge_276	15783
source_sum_total_ge_276	134545201
source_columns_total_ge_277	15773
source_sum_total_ge_277	134542441
source_columns_total_ge_278	15767
source_sum_total_ge_278	134540779
source_columns_total_ge_279	15760
source_sum_total_ge_279	134538833
source_columns_total_ge_280	15751
source_sum_total_ge_280	134536322
source_columns_total_ge_300	15596
source_sum_total_ge_300	134491588
source_columns_total_ge_400	15177
source_sum_total_ge_400	134346549
source_columns_total_ge_500	14920
source_sum_total_ge_500	134232347
source_columns_total_ge_1000	14197
source_sum_total_ge_1000	133720099
