metric	value
candidate	GSM3578982_raw_gene_bc_matrices_h5.h5
target_n_obs	20072
target_n_vars	28692
source_n_obs	737280
source_n_vars	28694
target_feature_membership	28692/28692
source_extra_feature_count	2
source_extra_feature_ids	tubb3gfp,ascl1V5
target_missing_feature_ids	
target_barcode_membership	20072/20072
barcode_order_preserved	True
mapped_rows_exact_ignoring_source_extra_features	20072/20072
mapped_target_feature_total_hash_exact	True
target_total_sum	60716589
mapped_source_total_sum	60716589
source_extra_total_sum	4710
source_extra_nnz_on_target_barcodes	2713
target_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
source_feature_sha256	7e8b724e14d802e214aed0f749f4e25592c8bdb6dc88e1bdf19f00dbc7dedd35
target_barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
source_barcode_sha256	e28353c088bf3b4d660220377a5f5fcc64839fb9e307cea47afe4e23fce2edc2
