metric	value
n_obs	20072
n_vars	28692
matrix_nnz	18583698
matrix_density	0.0322686405061
total_counts_sum	60716589
total_counts_mean	3024.9396672
total_counts_min	274
total_counts_p01	276
total_counts_p05	278
total_counts_p25	294
total_counts_median	395
total_counts_p75	929
total_counts_p95	16346.05
total_counts_p99	31480.89
total_counts_max	91783
barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
feature_id_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
cell_total_sha256	994127d23ceabac06e420bd2e9ffaf4dfc40bd1d8c08bb14c720c42e4fae823b
