metric	value
target_features	28692
source_features	28692
target_feature_set_membership_in_source	28692/28692
target_feature_order_is_prefix_of_source	True
target_barcodes	20072
source_barcodes	6794880
target_barcode_membership_in_source	2030/20072
target_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
target_barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
source_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
source_barcode_sha256	137b9701858dc29ce6eb05cc76ccc0d39b4dfc5ca8ba7ca02f65c1b214bd740e
