path	type	shape	dtype
X	group		
X/data	dataset	(106496800,)	float32
X/indices	dataset	(106496800,)	int32
X/indptr	dataset	(16944,)	int32
obs	group		
obs/__categories	group		
obs/__categories/devtime	dataset	(13,)	object
obs/__categories/location	dataset	(7,)	object
obs/__categories/plates	dataset	(50,)	object
obs/_index	dataset	(16943,)	object
obs/devtime	dataset	(16943,)	int8
obs/location	dataset	(16943,)	int8
obs/n_genes_by_counts	dataset	(16943,)	int32
obs/pct_counts_ERCC	dataset	(16943,)	float32
obs/plates	dataset	(16943,)	int8
obs/total_counts	dataset	(16943,)	float32
obs/total_counts_ERCC	dataset	(16943,)	float32
var	group		
var/ERCC	dataset	(24489,)	bool
var/_index	dataset	(24489,)	object
var/mean_counts	dataset	(24489,)	float32
var/n_cells_by_counts	dataset	(24489,)	int64
var/pct_dropout_by_counts	dataset	(24489,)	float64
var/total_counts	dataset	(24489,)	float32
