metric	value
target_n_obs	20072
target_n_vars	28692
target_nnz	18583698
source_n_obs_columns	5777
source_n_vars_rows	14498
source_nnz_header	10968674
source_features	14499
source_barcodes	5778
target_feature_membership	0/28692
target_feature_order_exact	False
target_barcode_membership	0/20072
rows_exact_after_feature_mapping	0/20072
selected_total_hash_exact	False
target_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
source_feature_sha256	858de6596dcfaf917aba3dc88608603b0eba1ed17368487dc7784964e2759f56
target_barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
source_barcode_sha256	b7b2adb70b1ef8e4ff83a422b6619cf5c607f938fa92f46bb4ccdb0adf24ce4c
