path	type	shape	dtype
X	dataset	(14846, 3449)	float32
obs	group		
obs/Broad_CellType	dataset	(14846,)	int8
obs/Doublet	dataset	(14846,)	bool
obs/Samples	dataset	(14846,)	int8
obs/__categories	group		
obs/__categories/Broad_CellType	dataset	(16,)	object
obs/__categories/Samples	dataset	(2,)	object
obs/__categories/leiden	dataset	(30,)	object
obs/_index	dataset	(14846,)	object
obs/leiden	dataset	(14846,)	int8
obs/n_counts	dataset	(14846,)	float32
obs/n_genes	dataset	(14846,)	int64
obs/percent_mito	dataset	(14846,)	float32
obsm	group		
obsm/X_pca	dataset	(14846, 100)	float32
obsm/X_umap	dataset	(14846, 2)	float32
obsp	group		
obsp/connectivities	group		
obsp/connectivities/data	dataset	(304058,)	float32
obsp/connectivities/indices	dataset	(304058,)	int32
obsp/connectivities/indptr	dataset	(14847,)	int32
obsp/distances	group		
obsp/distances/data	dataset	(207844,)	float64
obsp/distances/indices	dataset	(207844,)	int32
obsp/distances/indptr	dataset	(14847,)	int32
raw	group		
raw/X	group		
raw/X/data	dataset	(42570692,)	float32
raw/X/indices	dataset	(42570692,)	int32
raw/X/indptr	dataset	(14847,)	int32
raw/var	group		
raw/var/__categories	group		
raw/var/__categories/feature_types	dataset	(1,)	object
raw/var/_index	dataset	(17479,)	object
raw/var/dispersions	dataset	(17479,)	float64
raw/var/dispersions_norm	dataset	(17479,)	float32
raw/var/feature_types	dataset	(17479,)	int8
raw/var/gene_ids	dataset	(17479,)	object
raw/var/highly_variable	dataset	(17479,)	bool
raw/var/means	dataset	(17479,)	float64
raw/var/n_cells	dataset	(17479,)	int64
uns	group		
uns/Broad_CellType_colors	dataset	(16,)	object
uns/hvg	group		
uns/hvg/flavor	dataset	()	object
uns/leiden	group		
uns/leiden/params	group		
uns/leiden/params/n_iterations	dataset	()	int64
uns/leiden/params/random_state	dataset	()	int64
uns/leiden/params/resolution	dataset	()	int64
uns/leiden_colors	dataset	(30,)	object
uns/neighbors	group		
uns/neighbors/connectivities_key	dataset	()	object
uns/neighbors/distances_key	dataset	()	object
uns/neighbors/params	group		
uns/neighbors/params/method	dataset	()	object
uns/neighbors/params/metric	dataset	()	object
uns/neighbors/params/n_neighbors	dataset	()	int64
uns/neighbors/params/n_pcs	dataset	()	int64
uns/neighbors/params/random_state	dataset	()	int64
uns/pca	group		
uns/pca/params	group		
uns/pca/params/use_highly_variable	dataset	()	bool
uns/pca/params/zero_center	dataset	()	bool
uns/pca/variance	dataset	(100,)	float32
uns/pca/variance_ratio	dataset	(100,)	float32
uns/umap	group		
uns/umap/params	group		
uns/umap/params/a	dataset	()	float64
uns/umap/params/b	dataset	()	float64
var	group		
var/__categories	group		
var/__categories/feature_types	dataset	(1,)	object
var/_index	dataset	(3449,)	object
var/dispersions	dataset	(3449,)	float64
var/dispersions_norm	dataset	(3449,)	float32
var/feature_types	dataset	(3449,)	int8
var/gene_ids	dataset	(3449,)	object
var/highly_variable	dataset	(3449,)	bool
var/mean	dataset	(3449,)	float64
var/means	dataset	(3449,)	float64
var/n_cells	dataset	(3449,)	int64
var/std	dataset	(3449,)	float64
varm	group		
varm/PCs	dataset	(3449, 100)	float64
