metric	value
target_n_obs	20072
target_n_vars	28692
target_nnz	18583698
source_n_obs_columns	6794880
source_n_vars_rows	28692
source_nnz_header	50955228
source_features	28692
source_barcodes	6794880
target_feature_membership	28692/28692
target_feature_order_exact	True
target_barcode_membership	2030/20072
rows_exact_after_feature_mapping	0/20072
selected_total_hash_exact	False
target_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
source_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
target_barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
source_barcode_sha256	137b9701858dc29ce6eb05cc76ccc0d39b4dfc5ca8ba7ca02f65c1b214bd740e
