target_gene	n_guides	n_cells	median_mean_specific_score_diff	worst_bootstrap_ci_high	median_mean_raw_signature_diff	median_mean_core_signature_diff	median_hallmark_log2fc	median_specific_log2fc	median_fraction_hallmark_down	fraction_guides_ci_below_zero	median_target_gene_log2fc	rank_median_mean_specific_score_diff	rank_median_mean_raw_signature_diff	rank_median_mean_core_signature_diff	rank_median_specific_log2fc	consensus_rank_mean
STAT1	1	5	-3.8627753	-1.6048887	-4.3295778	-8.1312955	-1.323122	-1.2898868	0.71428571	1	-2.5261849	1	1	1	1	1
ISG15	1	50	-1.0514791	-0.97373981	-1.1567878	-2.2129369	-0.75649622	-0.7964065	0.67857143	1	-1.1340984	2	2	2	2	2
CD39	1	50	-0.046351943	0.016508582	-0.0348792	-0.074972839	-0.022360212	-0.030894649	0.72413793	0	0.25791955	5	5	3	4	4.25
SOX28	1	50	-0.05892971	0.013795423	-0.036870504	-0.067841908	-0.011615432	-0.0110779	0.62068966	0	0.028903473	3	3	4	13	5.75
MAPK1	1	50	-0.053613237	0.018447034	-0.036675687	-0.022456623	-0.0054678986	-0.0086892998	0.51724138	0	-0.1138424	4	4	7	15	7.5
ZNF271	1	50	-0.01192395	0.060335226	-0.02649349	-0.031154652	-0.0067780703	-0.021271478	0.55172414	0	0.09479341	13	7	6	5	7.75
ZNF264	1	50	-0.015131913	0.037200502	-0.025376296	-0.021913726	-0.014384954	-0.012601957	0.72413793	0	0.028598437	10	12	8	9	9.75
ZNF326	1	50	-0.022638356	0.041859253	-0.025863263	0.0084547536	-0.017954722	-0.017617781	0.51724138	0	0.045690254	7	8	20	7	10.5
ATP49	1	50	-0.016845258	0.04671356	-0.025721361	-0.0036994757	-0.017735085	-0.01181499	0.62068966	0	0.029427124	9	11	14	11	11.25
ZNF115	1	50	-0.029454168	0.029058763	-0.025792062	0.019238499	-0.01346124	-0.01906137	0.62068966	0	0.029770012	6	10	23	6	11.25
ZNF159	1	50	-0.0004184011	0.066253862	-0.028625463	0.0013376209	-0.029020156	-0.011397441	0.55172414	0	0.051761172	18	6	17	12	13.25
TRIM5	1	50	-0.014568324	0.036787984	-0.025833479	0.02151154	-0.0096401924	-0.011045215	0.55172414	0	-0.17004046	11	9	24	14	14.5
ZNF315	1	50	-0.0048343243	0.062717749	-0.013551594	-0.017311352	-0.00098837175	0.0049029589	0.51724138	0	NA	15	15	10	20	15
CD149	1	50	0.019536877	0.07722128	-0.016345604	-0.015237717	-0.011494582	-0.013645803	0.55172414	0	0.064072481	27	14	12	8	15.25
TRIM33	1	50	-0.019308027	0.054622055	-0.0047792016	0.034888649	0.0011804686	-0.0051672307	0.48275862	0	-0.13183837	8	17	28	17	17.5
TRIM23	1	50	-0.0025523984	0.062266035	-0.023143172	0.0027823096	0.0035361925	0.014445477	0.48275862	0	-0.082427355	17	13	18	24	18
HOXB5	1	50	-0.012602267	0.046900266	0.0098719178	0.048279915	-0.011851924	-0.037188981	0.55172414	0	0.33251529	12	27	32	3	18.5
MAPK2	1	50	0.017555527	0.078812684	-0.0083411779	-0.0032482426	-0.010057731	-0.0079729073	0.55172414	0	0.26119599	26	16	16	16	18.5
HOXA1	1	50	2.9994764e-05	0.061523479	0.0040474919	-0.0032899993	0.0032709266	-0.0027141805	0.44827586	0	0.055570618	19	23	15	18	18.75
ATP27	1	50	0.0027047208	0.064206467	-0.0013194381	-0.036026009	0.020864482	0.0319561	0.44827586	0	-0.030724336	20	20	5	35	20
ZNF101	1	50	0.017153481	0.081537613	0.00012431414	-0.021286197	0.01071646	0.020436175	0.4137931	0	0.20852461	25	21	9	30	21.25
SLC2A1	1	50	-0.011766004	0.046650337	0.024916117	0.038618618	0.007614466	-0.012331872	0.4137931	0	0.063513062	14	33	29	10	21.5
