guide_id	guide_name	target_gene	n_cells	mean_specific_score_diff	median_specific_score_diff	bootstrap_ci_low	bootstrap_ci_high	mean_raw_signature_diff	mean_core_signature_diff	hallmark_median_log2fc	hallmark_fraction_down	background_median_log2fc	specific_median_log2fc	median_library_log2fc	target_gene_log2fc
guide_011	sgSTAT1_11	STAT1	5	-3.8627753	-4.8580776	-5.180033	-1.6048887	-4.3295778	-8.1312955	-1.323122	0.71428571	-0.033235198	-1.2898868	-0.050109897	-2.5261849
guide_012	sgISG15_12	ISG15	50	-1.0514791	-0.99907016	-1.1323641	-0.97373981	-1.1567878	-2.2129369	-0.75649622	0.67857143	0.039910276	-0.7964065	-0.033327142	-1.1340984
guide_016	sgSOX28_16	SOX28	50	-0.05892971	0.010249187	-0.1312361	0.013795423	-0.036870504	-0.067841908	-0.011615432	0.62068966	-0.00053753208	-0.0110779	0.00067219339	0.028903473
guide_029	sgMAPK1_29	MAPK1	50	-0.053613237	-0.017698361	-0.12092588	0.018447034	-0.036675687	-0.022456623	-0.0054678986	0.51724138	0.0032214012	-0.0086892998	0.00033613585	-0.1138424
guide_026	sgCD39_26	CD39	50	-0.046351943	-0.064263674	-0.1092943	0.016508582	-0.0348792	-0.074972839	-0.022360212	0.72413793	0.0085344365	-0.030894649	0.0077113793	0.25791955
guide_024	sgZNF115_24	ZNF115	50	-0.029454168	-0.036452431	-0.086911081	0.029058763	-0.025792062	0.019238499	-0.01346124	0.62068966	0.0056001295	-0.01906137	-0.0062326814	0.029770012
guide_014	sgZNF326_14	ZNF326	50	-0.022638356	-0.018897697	-0.086426393	0.041859253	-0.025863263	0.0084547536	-0.017954722	0.51724138	-0.00033694039	-0.017617781	-0.005388852	0.045690254
guide_038	sgTRIM33_38	TRIM33	50	-0.019308027	-0.018177444	-0.087133356	0.054622055	-0.0047792016	0.034888649	0.0011804686	0.48275862	0.0063476993	-0.0051672307	0.0026868964	-0.13183837
guide_047	sgATP49_47	ATP49	50	-0.016845258	0.02974591	-0.082551787	0.04671356	-0.025721361	-0.0036994757	-0.017735085	0.62068966	-0.0059200952	-0.01181499	0.0045312392	0.029427124
guide_022	sgZNF264_22	ZNF264	50	-0.015131913	0.011663758	-0.065958481	0.037200502	-0.025376296	-0.021913726	-0.014384954	0.72413793	-0.0017829972	-0.012601957	0.0045312392	0.028598437
guide_043	sgTRIM5_43	TRIM5	50	-0.014568324	0.013415082	-0.069216111	0.036787984	-0.025833479	0.02151154	-0.0096401924	0.55172414	0.0014050228	-0.011045215	0.0021834844	-0.17004046
guide_020	sgHOXB5_20	HOXB5	50	-0.012602267	-0.012714201	-0.070841405	0.046900266	0.0098719178	0.048279915	-0.011851924	0.55172414	0.025337057	-0.037188981	0.0083799901	0.33251529
guide_049	sgZNF271_49	ZNF271	50	-0.01192395	-0.030939557	-0.080036668	0.060335226	-0.02649349	-0.031154652	-0.0067780703	0.55172414	0.014493408	-0.021271478	-0.0028603212	0.09479341
guide_048	sgSLC2A1_48	SLC2A1	50	-0.011766004	0.0061493662	-0.064399486	0.046650337	0.024916117	0.038618618	0.007614466	0.4137931	0.019946338	-0.012331872	-0.0035341628	0.063513062
guide_042	sgZNF315_42	ZNF315	50	-0.0048343243	0.0041466678	-0.072528867	0.062717749	-0.013551594	-0.017311352	-0.00098837175	0.51724138	-0.0058913306	0.0049029589	0.0062058709	NA
guide_013	sgCD103_13	CD103	50	-0.0040496469	-0.0090562254	-0.0666299	0.061907529	0.028609552	-0.015291701	0.016036939	0.4137931	-0.0032305918	0.019267531	0.0040284704	0.088284418
guide_017	sgTRIM23_17	TRIM23	50	-0.0025523984	0.034084257	-0.070629206	0.062266035	-0.023143172	0.0027823096	0.0035361925	0.48275862	-0.010909284	0.014445477	0.00033613585	-0.082427355
guide_034	sgZNF159_34	ZNF159	50	-0.0004184011	0.01714852	-0.064528934	0.066253862	-0.028625463	0.0013376209	-0.029020156	0.55172414	-0.017622715	-0.011397441	-0.0001680973	0.051761172
guide_037	sgHOXA1_37	HOXA1	50	2.9994764e-05	-0.0025645529	-0.064606633	0.061523479	0.0040474919	-0.0032899993	0.0032709266	0.44827586	0.0059851071	-0.0027141805	0.0060384952	0.055570618
guide_023	sgATP27_23	ATP27	50	0.0027047208	-0.015718626	-0.057570925	0.064206467	-0.0013194381	-0.036026009	0.020864482	0.44827586	-0.011091618	0.0319561	0.00084019281	-0.030724336
guide_015	sgRPL27_15	RPL27	50	0.0053628875	0.012071504	-0.059576026	0.066902913	0.019186997	0.061498707	0.018674571	0.34482759	0.010657033	0.0080175382	0	-0.36345097
