gene	hallmark_ifng	matched_background	selected_vs_nt_log2fc
ACTB	0	1	-0.05229379
B2M	1	0	-0.037001786
BST2	1	0	-1.8433384
CCL5	1	0	-0.10742047
CCL7	1	0	0.1468646
CD1	0	1	0.19059507
CD126	0	1	0.19131911
CD133	0	1	-0.098036221
CD138	0	1	-0.12671793
CD142	0	1	-0.12884999
CD144	0	1	0.061144083
CD26	0	1	0.15132249
CD38	1	0	0.23599729
CD40	1	0	0.14392494
CD41	0	1	-0.16881517
CD69	1	0	-0.051673453
CD74	1	0	0.23814249
CD86	1	0	-0.10526028
CXCL10	1	0	-2.6929543
CXCL11	1	0	-2.6624434
CXCL4	0	1	-0.17027459
CXCL7	0	1	0.72661408
EIF2AK2	1	0	-1.6381765
FGF3	0	1	0.2945154
GAPDH	0	1	0.096831684
GBP1	0	1	-1.5485597
GBP2	0	1	-2.0253628
HOXA7	0	1	0.31606922
HOXC10	0	1	0.27679664
HOXC7	0	1	-0.19342682
IDO1	1	0	-1.9834789
IFI6	0	1	-1.8817033
IFIT1	1	0	-2.6481788
IFIT2	1	0	-1.4657505
IFIT3	1	0	-1.1804935
IL6	1	0	-0.26415537
IRF7	1	0	-1.8392015
ISG15	1	0	-1.6642538
KRT9	0	1	0.013887052
MAPK7	0	1	0.19204351
MX1	1	0	-1.7639273
MX2	1	0	-2.0756337
NEAT1	0	1	-0.033235198
OAS1	0	1	-2.2725706
OAS2	1	0	-1.4870036
OAS3	1	0	-1.6913881
RPL14	0	1	0.93961711
RPL15	0	1	0.038754696
RPL34	0	1	0.11269614
RPS21	0	1	0.40418662
RPS28	0	1	-0.5482479
RPS7	0	1	-0.082441133
SLC1A7	0	1	0.35623943
SLC2A9	0	1	-0.096587058
SOX12	0	1	-0.028742044
SOX22	0	1	0.49100077
STAT1	1	0	-2.5261849
STAT2	1	0	-1.9756965
TRIM12	0	1	-0.081747387
TRIM14	1	0	0.32723704
TRIM21	1	0	0.018119749
TRIM25	1	0	0.082408303
TRIM26	1	0	0.32988843
TRIM27	0	1	0.040906289
TRIM38	0	1	0.040188735
TRIM7	0	1	-0.13931228
ZNF11	0	1	-0.13521242
ZNF112	0	1	-0.21903653
ZNF117	0	1	0.18914809
ZNF149	0	1	0.45197765
ZNF157	0	1	-0.38032678
ZNF200	0	1	-0.30573904
ZNF211	0	1	0.49839566
ZNF216	0	1	0.24747536
ZNF253	0	1	0.12496173
ZNF264	0	1	-0.083478664
ZNF265	0	1	-0.17626462
ZNF27	0	1	-0.25329967
ZNF284	0	1	-0.018628338
ZNF286	0	1	-0.17391671
ZNF292	0	1	-0.56720153
ZNF323	0	1	-0.33680487
ZNF326	0	1	-0.34195061
ZNF328	0	1	0.1806255
ZNF335	0	1	0.21762941
ZNF346	0	1	-0.25403104
ZNF35	0	1	-0.089319326
ZNF394	0	1	-0.43258245
ZNF397	0	1	0.55878412
ZNF402	0	1	-0.20557696
ZNF467	0	1	-0.54604484
ZNF496	0	1	0.32259866
ZNF74	0	1	-1.107308
ZNF8	0	1	0.3916834
ZNF80	0	1	0.01362718
ZNF97	0	1	0.50927618
