                                 Started job on |	Aug 22 17:25:05
                             Started mapping on |	Aug 22 18:32:24
                                    Finished on |	Aug 22 18:32:41
       Mapping speed, Million of reads per hour |	42.44

                          Number of input reads |	200414
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	176093
                        Uniquely mapped reads % |	87.86%
                          Average mapped length |	106.54
                       Number of splices: Total |	81098
            Number of splices: Annotated (sjdb) |	79915
                       Number of splices: GT/AG |	80392
                       Number of splices: GC/AG |	572
                       Number of splices: AT/AC |	70
               Number of splices: Non-canonical |	64
                      Mismatch rate per base, % |	0.39%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.65
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.26
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	21279
             % of reads mapped to multiple loci |	10.62%
        Number of reads mapped to too many loci |	57
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2969
                 % of reads unmapped: too short |	1.48%
                Number of reads unmapped: other |	16
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
