	1
# FIMO (Find Individual Motif Occurrences): Version 5.5.8 compiled on May 19 2025 at 00:20:33	1
# The format of this file is described at https://meme-suite.org/meme/doc/fimo-output-format.html#tsv_results.	1
# fimo -o ./out/ /corral4/main/objects/c/f/3/dataset_cf35834a-832d-4fab-9d72-d0e5446f5e1e.dat /corral4/main/objects/9/3/0/dataset_93028b7b-4bf5-4c94-b88c-e4acad54d457.dat	1
MA0002.3_RUNX1	10752
MA0003.5_TFAP2A_MA0003	11305
MA0037.5_GATA3	3844
MA0039.5_KLF4	37205
MA0080.7_SPI1	19286
MA0138.3_REST	7436
MA0148.5_FOXA1	4173
MA0680.3_PAX7	5593
MA0769.3_TCF7	5400
MA0810.2_TFAP2A_MA0810	9358
MA0872.1_TFAP2A_MA0872	8531
MA1100.3_ASCL1_MA1100	11152
MA1631.2_ASCL1_MA1631	10621
motif_id	1
