	1
# FIMO (Find Individual Motif Occurrences): Version 5.5.8 compiled on May 19 2025 at 00:20:33	1
# The format of this file is described at https://meme-suite.org/meme/doc/fimo-output-format.html#tsv_results.	1
# fimo -o ./out/ /corral4/main/objects/c/f/3/dataset_cf35834a-832d-4fab-9d72-d0e5446f5e1e.dat /corral4/main/objects/5/3/3/dataset_533c88be-4894-4c1e-834f-a43122f55514.dat	1
MA0002.3_RUNX1	2986
MA0003.5_TFAP2A_MA0003	3079
MA0037.5_GATA3	1089
MA0039.5_KLF4	10100
MA0080.7_SPI1	5269
MA0138.3_REST	2011
MA0148.5_FOXA1	1106
MA0680.3_PAX7	1519
MA0769.3_TCF7	1393
MA0810.2_TFAP2A_MA0810	2278
MA0872.1_TFAP2A_MA0872	2100
MA1100.3_ASCL1_MA1100	2962
MA1631.2_ASCL1_MA1631	2755
motif_id	1
