1	1_40646927	1
1	1_46196872	1
12	12_13642320	1
13	13_12308321	1
13	13_3736564	1
14	14_1386395	1
17	17_1070282	1
17	17_188768	1
19	19_9120563	1
19	19_9120620	1
19	19_9120637	1
2	2_116468742	1
2	2_117573387	1
2	2_37020408	1
2	2_49444503	1
2	2_81870264	1
2	2_8323783	1
21	21_11140665	1
24	24_2749670	1
26	26_25563411	1
29	29_1566250	1
3	3_23119241	1
3	3_23189217	1
3	3_30120006	1
3	3_56600367	1
3	3_6066150	1
30	30_3287846	1
4	4_11910560	1
4	4_1463498	1
4	4_33847442	1
5	5_27392464	1
5	5_34748676	1
5	5_53016528	1
5	5_64310051	1
5	5_66763149	1
6	6_24592292	1
6	6_47665223	1
8	8_9171564	1
9	9_21813423	1
9	9_6402177	2
W	W_2504052	1
W	W_4046418	1
W	W_6344831	1
Z	Z_26974244	1
Z	Z_44462205	1
Z	Z_44465174	1
Z	Z_58406842	1
Z	Z_60983727	1
Z	Z_75974597	1
Z	Z_75975270	1
Z	Z_75975872	1
