                                 Started job on |	Aug 23 04:27:24
                             Started mapping on |	Aug 23 06:10:03
                                    Finished on |	Aug 23 06:10:39
       Mapping speed, Million of reads per hour |	99.96

                          Number of input reads |	999593
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	877545
                        Uniquely mapped reads % |	87.79%
                          Average mapped length |	106.55
                       Number of splices: Total |	404855
            Number of splices: Annotated (sjdb) |	401413
                       Number of splices: GT/AG |	401211
                       Number of splices: GC/AG |	2890
                       Number of splices: AT/AC |	385
               Number of splices: Non-canonical |	369
                      Mismatch rate per base, % |	0.40%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.68
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.30
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	107187
             % of reads mapped to multiple loci |	10.72%
        Number of reads mapped to too many loci |	239
             % of reads mapped to too many loci |	0.02%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	14558
                 % of reads unmapped: too short |	1.46%
                Number of reads unmapped: other |	64
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
