                                 Started job on |	Aug 23 02:48:55
                             Started mapping on |	Aug 23 04:21:53
                                    Finished on |	Aug 23 04:22:29
       Mapping speed, Million of reads per hour |	100.00

                          Number of input reads |	1000048
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	877777
                        Uniquely mapped reads % |	87.77%
                          Average mapped length |	106.55
                       Number of splices: Total |	404821
            Number of splices: Annotated (sjdb) |	401386
                       Number of splices: GT/AG |	401007
                       Number of splices: GC/AG |	3046
                       Number of splices: AT/AC |	378
               Number of splices: Non-canonical |	390
                      Mismatch rate per base, % |	0.40%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.67
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.29
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	107415
             % of reads mapped to multiple loci |	10.74%
        Number of reads mapped to too many loci |	246
             % of reads mapped to too many loci |	0.02%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	14552
                 % of reads unmapped: too short |	1.46%
                Number of reads unmapped: other |	58
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
