#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	999593	2	34	31463311	31.476122	31.000000	31.000000	34.000000	3.000000	27	34	2,4,10,16,18,19,22,23,25,26	128732	500467	250494	119855	45		
2	999593	4	34	31030545	31.043180	31.000000	31.000000	34.000000	3.000000	27	34	4,10,16,18,19,22,23,25,26	203511	194862	204154	396690	376		
3	999593	4	34	29313659	29.325595	28.000000	31.000000	34.000000	6.000000	19	34	4,10,16,18	233516	254821	253834	257410	12		
4	999593	4	37	33687285	33.701001	33.000000	35.000000	37.000000	4.000000	27	37	4,10,15,16,19,22,25,26	312110	222292	264898	200293	0		
5	999593	4	37	34774632	34.788791	35.000000	35.000000	37.000000	2.000000	32	37	4,10,15,16,19,22,25,26,27,28,29,30,31	316376	189735	278793	214583	106		
6	999593	4	38	35173465	35.187786	35.000000	37.000000	37.000000	2.000000	32	38	4,7,9,10,11,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31	337953	219426	216274	225940	0		
7	999593	4	38	35359634	35.374031	35.000000	37.000000	37.000000	2.000000	32	38	4,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	163700	235276	196112	404505	0		
8	999593	4	38	35421217	35.435639	35.000000	37.000000	37.000000	2.000000	32	38	4,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	207413	294395	204787	292998	0		
9	999593	4	39	37113254	37.128365	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	202982	271501	211214	313896	0		
10	999593	4	39	37122563	37.137678	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	346963	193811	233625	225194	0		
11	999593	4	39	37149245	37.164371	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	248762	279548	275132	196151	0		
12	999593	4	39	37078268	37.093365	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	222614	271638	234483	270858	0		
13	999593	4	39	37049537	37.064622	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	250571	235927	227936	285159	0		
14	999593	4	40	37792363	37.807751	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	248857	240918	238022	271796	0		
15	999593	4	40	37830185	37.845588	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	252759	247376	240251	259207	0		
16	999593	4	40	37817283	37.832681	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	250150	245745	248869	254829	0		
17	999593	4	40	37595088	37.610395	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	254455	242205	250846	252087	0		
18	999593	4	40	37734837	37.750201	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	255837	245948	243681	254127	0		
19	999593	4	40	37853884	37.869297	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	253950	246226	246757	252660	0		
20	999593	4	40	37815765	37.831162	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	258351	241675	245664	253903	0		
21	999593	4	40	37823250	37.838650	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	254979	243373	243329	257912	0		
22	999593	4	40	37773081	37.788461	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	257682	243967	243914	254009	21		
23	999593	4	40	37752977	37.768349	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	260311	237880	244194	257208	0		
24	999593	4	40	37666240	37.681576	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	259245	238602	242761	258985	0		
25	999593	4	40	37586229	37.601533	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	256850	243582	245633	253363	165		
26	999593	4	40	37496816	37.512083	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	259765	239478	243435	256483	432		
27	999593	4	40	37444220	37.459466	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	257229	243102	240039	258761	462		
28	999593	4	40	37380529	37.395749	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	253893	246501	243977	254804	418		
29	999593	4	40	37316469	37.331663	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	256728	241548	243664	257330	323		
30	999593	4	40	37265950	37.281123	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	257190	242667	241824	257815	97		
31	999593	4	40	37209271	37.224421	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	255778	245152	243010	255612	41		
32	999593	4	40	37156289	37.171418	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	259331	240358	243544	256322	38		
33	999593	4	40	37087826	37.102927	36.000000	40.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	256932	242169	241300	259192	0		
34	999593	4	40	36881376	36.896393	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	256925	243765	247934	250969	0		
35	999593	4	40	36837274	36.852273	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	260617	238942	246092	253942	0		
36	999593	4	40	36795601	36.810583	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	256951	243063	244223	255356	0		
37	999593	4	40	36753069	36.768034	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	255418	245717	245317	253141	0		
38	999593	4	40	36650667	36.665590	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	257449	239938	244840	257366	0		
39	999593	4	40	36597113	36.612014	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	257278	243268	241044	257998	5		
40	999593	4	40	36521013	36.535883	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	254244	245384	244717	255230	18		
41	999593	4	40	36460030	36.474875	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	258873	240263	244173	256256	28		
42	999593	4	40	36453362	36.468205	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	256977	240744	241736	260089	47		
43	999593	4	40	36400732	36.415553	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	255482	243615	244161	256296	39		
44	999593	4	40	36319930	36.334718	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	258390	239809	243185	258192	17		
45	999593	4	40	36307573	36.322356	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	256823	241563	241494	259713	0		
46	999593	4	40	36415490	36.430317	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	255491	244710	243180	256212	0		
47	999593	4	40	36331763	36.346556	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	259209	239146	244698	256540	0		
48	999593	4	40	36401467	36.416288	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	257563	241159	240425	260446	0		
49	999593	4	40	36381827	36.396640	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	256339	243195	244040	256016	3		
50	999593	4	40	36334000	36.348794	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	259455	239995	242808	257332	3		
51	999593	4	40	36275114	36.289884	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	256039	242339	241235	259980	0		
52	999593	4	40	36163310	36.178034	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	255504	243551	245880	254658	0		
53	999593	4	40	35987924	36.002577	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	259347	238608	244969	256613	56		
54	999593	4	40	35940260	35.954894	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	258195	242321	240835	258225	17		
55	999593	4	40	35838892	35.853484	35.000000	38.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	255241	244992	244065	255295	0		
56	999593	4	40	35739628	35.754180	35.000000	38.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	257771	240503	243452	257867	0		
57	999593	4	40	35664145	35.678666	34.000000	38.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	256729	241392	240550	260922	0		
58	999593	4	40	35555868	35.570345	34.000000	38.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	255404	243104	244394	256691	0		
59	999593	4	40	35303069	35.317443	34.000000	38.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	259261	238472	245127	256733	0		
60	999593	4	40	35187069	35.201396	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	259137	241381	239638	259437	0		
61	999593	4	40	35116981	35.131279	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	256376	242438	244121	256658	0		
62	999593	4	40	35013477	35.027733	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	260847	238877	243184	256685	0		
63	999593	4	40	34864172	34.878367	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	258309	239791	240086	261407	0		
64	999593	4	40	34752830	34.766980	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	256543	242882	242260	257908	0		
