#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	1000048	4	34	31472889	31.471378	31.000000	31.000000	34.000000	3.000000	27	34	4,10,16,18,19,22,23,25,26	128496	501579	250019	119912	42		
2	1000048	4	34	31038669	31.037179	31.000000	31.000000	34.000000	3.000000	27	34	4,10,16,18,19,22,23,25,26	203528	195187	204280	396650	403		
3	1000048	4	34	29320903	29.319496	28.000000	31.000000	34.000000	6.000000	19	34	4,10,16,18	234511	254300	253889	257338	10		
4	1000048	4	37	33688877	33.687260	33.000000	35.000000	37.000000	4.000000	27	37	4,10,15,16,19,22,25,26	313253	221439	265781	199575	0		
5	1000048	4	37	34788012	34.786342	35.000000	35.000000	37.000000	2.000000	32	37	4,10,15,16,19,22,25,26,27,28,29,30,31	316009	189906	279333	214719	81		
6	1000048	4	38	35183704	35.182015	35.000000	37.000000	37.000000	2.000000	32	38	4,7,9,10,11,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31	337357	220441	216533	225716	1		
7	1000048	4	38	35369935	35.368237	35.000000	37.000000	37.000000	2.000000	32	38	4,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	163521	235618	195133	405776	0		
8	1000048	4	38	35436648	35.434947	35.000000	37.000000	37.000000	2.000000	32	38	4,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	207599	295517	204837	292095	0		
9	1000048	4	39	37138959	37.137176	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	203484	271910	210351	314303	0		
10	1000048	4	39	37141656	37.139873	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	347903	194336	233137	224672	0		
11	1000048	4	39	37164028	37.162244	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	248814	280479	274652	196103	0		
12	1000048	4	39	37100521	37.098740	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	222524	272202	234595	270727	0		
13	1000048	4	39	37075213	37.073433	37.000000	39.000000	39.000000	2.000000	34	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	250494	236113	227304	286137	0		
14	1000048	4	40	37815640	37.813825	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	248629	241970	237013	272436	0		
15	1000048	4	40	37851362	37.849545	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	252820	247389	239783	260056	0		
16	1000048	4	40	37831419	37.829603	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	251200	244460	249256	255132	0		
17	1000048	4	40	37618615	37.616809	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	254276	241937	251504	252331	0		
18	1000048	4	40	37752188	37.750376	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	255395	245798	244132	254723	0		
19	1000048	4	40	37875033	37.873215	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	254536	245830	246409	253273	0		
20	1000048	4	40	37831247	37.829431	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	258253	241885	245724	254186	0		
21	1000048	4	40	37846217	37.844400	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	255373	243341	243047	258287	0		
22	1000048	4	40	37791981	37.790167	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	257833	243337	244061	254796	21		
23	1000048	4	40	37773943	37.772130	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	260350	238842	244119	256737	0		
24	1000048	4	40	37686887	37.685078	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	260167	238631	242119	259131	0		
25	1000048	4	40	37609670	37.607865	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	257528	244006	244594	253761	159		
