0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
2.3989048	2.970281	2.2165394	2.1723192	6.320859	2.3729	7.1871943	8.546932	5.7190776	7.468476	8.294009	5.8263655	2.2116632	4.5679617	7.137947	3.810812	6.1418495	5.8248897	6.824718	8.640477	3.862282	5.5358977	5.0985174	6.6663656	0.5321451	9.819344	8.488621	7.510189	6.157099	6.259041	5.3568993	2.4786077
2.1730096	2.4845245	2.0298817	2.6839046	7.1631207	2.223643	7.364664	7.0890336	5.6575255	5.7445836	7.351735	5.5898447	1.1083697	5.7725654	3.7221274	6.0426717	5.113513	3.541679	8.075434	5.23184	4.7277217	7.7536893	7.4492407	6.012613	0.61928576	6.4380784	7.0851073	4.7592955	4.620151	5.1031938	5.902596	2.1950533
1.848167	2.3048253	1.4835796	1.8533443	5.1985044	1.9130218	6.492829	8.667171	6.355879	5.303094	5.4003453	5.1634207	2.8800964	4.2782235	5.4999986	5.9770193	5.6040225	5.1228714	7.2842956	6.264357	3.1023602	6.4976673	5.18729	5.0988126	2.05954	6.6877427	5.192056	4.415638	7.610973	5.117249	6.064474	2.008008
1.9538993	1.9692788	1.6405975	1.6100793	4.7514496	1.6476525	4.7838383	5.502018	3.9952435	5.0379553	3.4025059	4.307693	2.2430954	4.6050053	5.0181713	4.990933	4.6326513	4.274221	2.198523	5.358378	3.9782202	7.635622	5.4026036	6.1582026	1.5655584	5.620622	5.4164743	5.612438	5.4630117	5.441829	3.887965	2.5813296
1.6236326	2.08417	1.7411265	1.685784	7.1603093	2.039871	5.3902664	5.706112	4.163305	5.194394	5.7365885	4.6718373	3.0598857	5.3754992	5.803638	4.845587	6.608039	5.798435	6.1486564	5.036063	3.3725386	3.512167	4.5770392	5.7117314	0.3850085	7.1562705	6.890851	3.1781034	6.2927656	5.7821126	5.707054	1.9890492
1.6138006	1.7003282	1.6044195	1.4208344	5.6464224	2.000486	5.534442	5.550475	5.537896	3.7953808	3.6117668	5.035683	4.025866	5.2175593	5.55365	3.6501093	4.8745723	3.848425	3.6927729	5.6914825	3.717513	6.453235	3.884803	6.299773	5.8549056	5.99607	3.7432263	2.3054311	4.3983912	4.960956	5.329071	2.4135473
1.8469722	1.8592889	1.6939552	1.4464874	5.998951	1.9569068	6.432889	5.4265757	5.032306	3.7413046	4.8415856	4.942621	1.5241789	4.523942	4.544703	5.6137776	6.1522293	4.6927156	4.8233857	5.2249165	3.2901893	6.6197753	4.835415	5.2655745	4.8733797	5.013678	7.0531497	4.650238	4.7259727	5.5421104	3.6174557	2.374895
1.8780112	1.6140714	1.7410008	1.5932069	7.0350947	1.7544622	5.6306667	2.4103556	4.976933	5.999489	5.470316	5.2852755	3.4902549	5.6329412	4.1274934	4.2354956	9.601219	3.815367	6.198697	7.096706	3.598109	5.353248	4.628003	6.801795	3.9697611	4.5171294	5.0767994	3.8331933	5.0889163	4.979612	5.248789	2.3550572
1.7023028	1.7231305	1.3306649	1.4720167	4.749621	2.808307	4.7312226	6.6644897	4.697424	5.5101295	5.739687	6.118906	2.696768	4.8059373	4.3338227	6.2915893	4.9321575	5.2993836	4.2371554	5.674739	3.8074145	3.7405558	5.167293	4.1412344	1.9875057	4.241048	5.110856	5.525432	5.24835	4.746	5.7877917	2.076112
1.6194347	1.8020805	1.2821628	1.6452357	5.6621003	1.3410769	4.85837	10.123462	4.5475025	5.512206	5.067283	5.286162	2.5575025	4.5106044	4.0151424	3.7145576	3.8410184	4.125941	4.596243	6.5679684	4.105618	5.8963165	4.717423	5.208032	3.0626204	4.8274837	3.7944756	4.136275	5.1052656	4.962265	4.8248854	1.8980981
1.348199	1.8904313	1.3921907	1.3938682	6.779743	1.943951	4.4000583	7.8327985	4.5984454	4.107804	5.2044873	5.7905245	2.356301	4.7099156	6.163877	4.84815	4.5454636	4.5301595	7.092453	4.1985383	2.0360832	5.5921707	4.4074407	5.703912	0.946989	3.9744542	5.5063744	4.976631	3.942731	5.4355097	6.1386065	1.9449145
1.6467509	1.8115801	1.4194419	1.319231	5.06306	1.8657211	5.5663733	2.87869	5.349219	4.8406277	7.1077375	5.4432144	2.2104583	6.4656487	4.515483	3.4013982	4.8075724	2.806623	4.955301	5.807344	3.2618728	3.1809764	6.4220734	5.7505627	2.8251479	4.325339	4.444063	5.1142154	6.0118375	5.924154	4.7804794	2.7508783
