gene	treefile	total_tree_length	internal_branch_length_sum	treeness	above_0.06
1001705at2759	1001705at2759.faa.mafft.clipkit.treefile	3.3269480415	0.2287356319	0.0687523907938	1
1003258at2759	1003258at2759.faa.mafft.clipkit.treefile	3.3242204948	0.1726221386	0.0519286066824	0
100698at2759	100698at2759.faa.mafft.clipkit.treefile	2.0860992883	0.2269541706	0.108793561204	1
1010730at2759	1010730at2759.faa.mafft.clipkit.treefile	2.2662659284	0.1143570342	0.0504605539742	0
1014314at2759	1014314at2759.faa.mafft.clipkit.treefile	3.8112316002	0.2133925362	0.055990440515	0
1018517at2759	1018517at2759.faa.mafft.clipkit.treefile	1.806430233	0.1779789159	0.0985252088061	1
1019762at2759	1019762at2759.faa.mafft.clipkit.treefile	4.8060232739	0.1420714747	0.0295611291505	0
1025450at2759	1025450at2759.faa.mafft.clipkit.treefile	3.0616625216	0.2461259182	0.0803896302952	1
1030907at2759	1030907at2759.faa.mafft.clipkit.treefile	4.5705958501	0.1842390987	0.0403096455566	0
1032689at2759	1032689at2759.faa.mafft.clipkit.treefile	3.255754394	0.1494177244	0.0458934263209	0
1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	1.6704422585	0	0	0
1041560at2759	1041560at2759.faa.mafft.clipkit.treefile	2.5046181213	0.1094235621	0.0436887209149	0
1049599at2759	1049599at2759.faa.mafft.clipkit.treefile	2.548470114	0	0	0
1051021at2759	1051021at2759.faa.mafft.clipkit.treefile	4.028150058	0.4223216056	0.104842570291	1
1053181at2759	1053181at2759.faa.mafft.clipkit.treefile	1.9625022494	0	0	0
1057950at2759	1057950at2759.faa.mafft.clipkit.treefile	4.2556576852	0.3979542082	0.0935117995002	1
1065019at2759	1065019at2759.faa.mafft.clipkit.treefile	2.2538806824	0.1547346138	0.0686525311691	1
1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	2.0681066475	0.1096452599	0.0530172174789	0
1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	1.960207604	0.1385226685	0.0706673457532	1
1079827at2759	1079827at2759.faa.mafft.clipkit.treefile	1.1291327138	0.0914219889	0.0809665575912	1
1085752at2759	1085752at2759.faa.mafft.clipkit.treefile	4.5684094314	0	0	0
1087488at2759	1087488at2759.faa.mafft.clipkit.treefile	3.6352528376	0.2633320346	0.0724384372598	1
1090038at2759	1090038at2759.faa.mafft.clipkit.treefile	2.7489682554	0	0	0
1094121at2759	1094121at2759.faa.mafft.clipkit.treefile	4.1812205688	0.2696471588	0.0644900584322	1
1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	1.9088746568	0.1606934385	0.0841822892496	1
1106766at2759	1106766at2759.faa.mafft.clipkit.treefile	1.6318843958	0	0	0
1107630at2759	1107630at2759.faa.mafft.clipkit.treefile	3.2516050523	0.2447962097	0.0752847303909	1
1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	1.7404818246	0	0	0
1111142at2759	1111142at2759.faa.mafft.clipkit.treefile	4.0610040942	0	0	0
1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	2.7028711464	0.0871267695	0.0322348957019	0
1115196at2759	1115196at2759.faa.mafft.clipkit.treefile	3.1021384263	0.2511884026	0.0809726608169	1
1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	1.7751830071	0.0919778583	0.0518131696462	0
1129824at2759	1129824at2759.faa.mafft.clipkit.treefile	3.5611525645	0.3020550686	0.0848194687335	1
1138059at2759	1138059at2759.faa.mafft.clipkit.treefile	1.9559100826	0.1592760934	0.0814332390926	1
1157302at2759	1157302at2759.faa.mafft.clipkit.treefile	0.698216122	0.0530104001	0.0759226239981	1
1161199at2759	1161199at2759.faa.mafft.clipkit.treefile	4.483270938	0.385188401	0.0859168241953	1
1173229at2759	1173229at2759.faa.mafft.clipkit.treefile	2.9948061979	0	0	0
1178688at2759	1178688at2759.faa.mafft.clipkit.treefile	3.4051571755	0.2056074124	0.0603811811917	1
1182451at2759	1182451at2759.faa.mafft.clipkit.treefile	3.8749315254	0.2504336239	0.0646291740276	1
1193442at2759	1193442at2759.faa.mafft.clipkit.treefile	2.8731246416	0.1280786068	0.0445781588956	0
1194691at2759	1194691at2759.faa.mafft.clipkit.treefile	2.78333604	0.1254186513	0.0450605494621	0
1194797at2759	1194797at2759.faa.mafft.clipkit.treefile	2.8499524346	0.1226981888	0.0430527146034	0
1197019at2759	1197019at2759.faa.mafft.clipkit.treefile	2.1211753781	0.138478962	0.0652840700631	1
1200489at2759	1200489at2759.faa.mafft.clipkit.treefile	2.805693974	0.1057967124	0.0377078588686	0
1217666at2759	1217666at2759.faa.mafft.clipkit.treefile	2.25711072	0.1855021749	0.0821856780247	1
1220881at2759	1220881at2759.faa.mafft.clipkit.treefile	2.8354963666	0.1194248263	0.042117784987	0
1222562at2759	1222562at2759.faa.mafft.clipkit.treefile	2.8965322221	0.3407947264	0.11765611437	1
1223488at2759	1223488at2759.faa.mafft.clipkit.treefile	3.805852679	0.3379002168	0.0887843658964	1
1228942at2759	1228942at2759.faa.mafft.clipkit.treefile	2.3162577216	0.1759710502	0.0759721375385	1
1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	2.4571521806	0.0497443669	0.0202447236654	0
1236198at2759	1236198at2759.faa.mafft.clipkit.treefile	1.7519713479	0.0306542287	0.0174969920237	0
1247641at2759	1247641at2759.faa.mafft.clipkit.treefile	4.7409278482	0.2195905952	0.0463180630946	0
1248958at2759	1248958at2759.faa.mafft.clipkit.treefile	3.3874664434	0.1341830267	0.0396116179871	0
1249159at2759	1249159at2759.faa.mafft.clipkit.treefile	3.5316386862	0.3722589784	0.10540686958	1
1251252at2759	1251252at2759.faa.mafft.clipkit.treefile	3.6435966899	0.2146627745	0.0589150756161	0
1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	2.4077582361	0.1260305377	0.0523435184689	0
1258856at2759	1258856at2759.faa.mafft.clipkit.treefile	4.5913255819	0.3343090839	0.0728131947815	1
1259741at2759	1259741at2759.faa.mafft.clipkit.treefile	3.3457646909	0.2173900124	0.0649746866512	1
1260807at2759	1260807at2759.faa.mafft.clipkit.treefile	2.5020060721	0.129581956	0.0517912236285	0
1264469at2759	1264469at2759.faa.mafft.clipkit.treefile	3.4173929997	0.1902110035	0.0556596807908	0
1266231at2759	1266231at2759.faa.mafft.clipkit.treefile	1.3115887599	0	0	0
1269244at2759	1269244at2759.faa.mafft.clipkit.treefile	5.2447333624	0.4776209492	0.0910667742662	1
1269649at2759	1269649at2759.faa.mafft.clipkit.treefile	1.8139128009	0.1287799971	0.0709956934182	1
1275837at2759	1275837at2759.faa.mafft.clipkit.treefile	1.7046260978	0.1859029269	0.109057890842	1
1284731at2759	1284731at2759.faa.mafft.clipkit.treefile	3.0693894624	0.1884107314	0.0613837812725	1
1287094at2759	1287094at2759.faa.mafft.clipkit.treefile	3.5656255221	0.2230192092	0.0625470083209	1
1287401at2759	1287401at2759.faa.mafft.clipkit.treefile	1.3711435434	0	0	0
1291729at2759	1291729at2759.faa.mafft.clipkit.treefile	2.8430211623	0.151027185	0.0531220755592	0
1304061at2759	1304061at2759.faa.mafft.clipkit.treefile	2.0812711833	0.0560839161	0.0269469526845	0
1309031at2759	1309031at2759.faa.mafft.clipkit.treefile	3.2278401331	0.2158308739	0.0668654161917	1
1312453at2759	1312453at2759.faa.mafft.clipkit.treefile	4.0660359934	0.2225844475	0.0547423701761	0
