expected_organ	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
Bladder	0.478621	0.478571	0.549235	0.493857	0.528339	-0.491241	0.540973	0.481051	0.494772	0.545991	0.521988	0.522711	0.501014	0.504233	0.554353
Brain	0.469073	0.478533	0.524998	0.463700	0.510863	-0.480383	0.518029	0.474210	0.488288	0.524445	0.507604	0.497819	0.492718	0.502397	0.529455
Cloaca	0.445970	0.442784	0.613439	0.544244	0.528324	-0.470421	0.604223	0.443950	0.461534	0.605663	0.520175	0.579806	0.480738	0.477960	0.618818
GallBladder	0.430394	0.431479	0.604755	0.559485	0.508525	-0.461888	0.599397	0.432721	0.446776	0.604381	0.503492	0.584308	0.456285	0.457548	0.607742
Gill	0.474553	0.477115	0.540893	0.482598	0.521960	-0.490109	0.532258	0.481224	0.492326	0.537914	0.517161	0.513395	0.500238	0.502928	0.544912
Heart	0.055054	0.059791	0.052528	0.059323	0.091161	0.004957	0.055631	0.061083	0.060138	0.057279	0.092612	0.058761	0.047995	0.053074	0.056635
Intestine	0.440109	0.439075	0.608318	0.537598	0.522562	-0.463466	0.600956	0.439076	0.455490	0.601141	0.517259	0.574423	0.474360	0.474257	0.610477
Kidney	0.475526	0.479227	0.534084	0.481001	0.524133	-0.491490	0.527542	0.485142	0.494312	0.534359	0.518757	0.509705	0.499204	0.503847	0.540457
Limb	0.453980	0.459669	0.528189	0.468277	0.513155	-0.480809	0.519411	0.459953	0.473393	0.525909	0.509490	0.500997	0.480359	0.485167	0.533237
Liver	0.431450	0.429201	0.606363	0.522366	0.512587	-0.438195	0.594885	0.429142	0.444567	0.601211	0.509301	0.567286	0.471235	0.468109	0.604338
Lung	0.456495	0.458248	0.562741	0.500453	0.568191	-0.483202	0.552445	0.459475	0.474538	0.556805	0.563944	0.532052	0.485464	0.485508	0.566714
Pancreas	0.441617	0.444163	0.600439	0.544604	0.520830	-0.474216	0.592671	0.444622	0.459156	0.598541	0.515926	0.578185	0.471132	0.473446	0.602767
Prostate	0.474650	0.474451	0.563384	0.495595	0.541007	-0.500145	0.552511	0.478976	0.492439	0.556003	0.533093	0.530464	0.514297	0.505102	0.568486
Spleen	0.463480	0.468953	0.550886	0.488666	0.527895	-0.488083	0.542990	0.467859	0.484589	0.550393	0.523625	0.522458	0.491373	0.509288	0.556147
Stomach	0.439329	0.437343	0.614823	0.541862	0.521365	-0.463763	0.602989	0.437458	0.453977	0.605502	0.515795	0.579387	0.475311	0.472659	0.613109
