	P_1	P_2	P_4	P_5	P_6	P_7	P_8	P_9	P_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_19	C_20
hsa-let-7a	1.465214	1.467362	1.457574	1.467673	1.444354	1.438417	1.439929	1.442231	1.452752	1.478781	1.484192	1.490276	1.451504	1.456491	1.486415	1.458641	1.463208	1.432224
hsa-let-7b	1.406653	1.418478	1.402127	1.414917	1.396974	1.406245	1.391648	1.394771	1.391225	1.403940	1.430108	1.417295	1.414366	1.405266	1.424371	1.414661	1.412501	1.390815
hsa-let-7b*	1.506010	1.500181	1.502980	1.396060	1.501733	1.528403	1.509693	1.519723	1.509844	1.500633	1.512429	1.512696	1.506031	1.528752	1.551934	1.517667	1.536516	1.504969
hsa-let-7c	1.491976	1.493567	1.488246	1.501156	1.478850	1.477491	1.471751	1.483366	1.477015	1.494041	1.514237	1.513328	1.476344	1.487150	1.507945	1.486699	1.509667	1.471395
hsa-let-7d	1.469014	1.484109	1.493550	1.486418	1.453489	1.452732	1.455154	1.457178	1.455926	1.498141	1.497070	1.497294	1.467792	1.475219	1.503518	1.486278	1.495007	1.459711
hsa-let-7d*	1.448818	1.434532	1.433898	1.447052	1.440039	1.444736	1.435566	1.429756	1.441065	1.435105	1.442547	1.442827	1.432958	1.450159	1.473893	1.455074	1.462488	1.437941
hsa-let-7e	1.482115	1.483569	1.488515	1.493089	1.482561	1.473418	1.487656	1.485841	1.483969	1.508558	1.507747	1.501785	1.479539	1.488892	1.500696	1.490142	1.509850	1.479888
hsa-let-7f	1.445583	1.458095	1.457538	1.471381	1.437877	1.439236	1.431997	1.438471	1.436736	1.479735	1.472520	1.478751	1.454691	1.440404	1.479215	1.452526	1.457842	1.422246
hsa-let-7g	1.419285	1.432292	1.417486	1.438055	1.415304	1.424221	1.413017	1.415779	1.403871	1.432568	1.457330	1.465534	1.423654	1.427449	1.458305	1.429547	1.444279	1.412402
hsa-let-7i	1.437927	1.454361	1.436429	1.455458	1.438149	1.444825	1.430056	1.437753	1.433676	1.451234	1.467263	1.470244	1.446171	1.441303	1.469764	1.454526	1.467005	1.430099
hsa-let-7i*	1.503186	1.498556	1.492489	1.513828	1.507625	1.523552	1.503388	1.499619	1.508039	1.504270	1.513051	1.527142	1.486801	1.513596	1.545989	1.510333	1.532331	1.496621
hsa-miR-1	1.417866	1.433590	1.436279	1.513869	1.497643	1.512157	1.476838	1.488560	1.493931	1.435817	1.461581	1.464334	1.423730	1.533481	1.551257	1.501210	1.517013	1.478363
hsa-miR-101	1.397297	1.409765	1.398250	1.443107	1.428433	1.445579	1.413219	1.421848	1.413104	1.410444	1.432283	1.437207	1.406074	1.425576	1.459840	1.430439	1.422873	1.438915
hsa-miR-103	1.404711	1.419350	1.412674	1.423977	1.395459	1.397554	1.390689	1.392995	1.388793	1.426895	1.437556	1.450233	1.400123	1.421664	1.464978	1.424274	1.428307	1.397560
hsa-miR-103-2*	1.492412	1.493102	1.486751	1.515078	1.498504	1.506396	1.485167	1.488380	1.492224	1.501544	1.513741	1.523462	1.502742	1.503614	1.525532	1.503482	1.508669	1.482534
hsa-miR-106a	1.401068	1.418205	1.402055	1.416459	1.397381	1.405231	1.390140	1.388882	1.387928	1.417545	1.436962	1.445091	1.398849	1.416129	1.449330	1.420251	1.422927	1.396119
hsa-miR-106b	1.456270	1.466728	1.440784	1.479286	1.470052	1.472712	1.461908	1.457110	1.465492	1.467877	1.480078	1.489151	1.454611	1.464494	1.495780	1.463941	1.469718	1.447152
hsa-miR-106b*	1.492414	1.498581	1.510533	1.503805	1.509888	1.506351	1.482284	1.491233	1.490434	1.510253	1.511896	1.528192	1.500320	1.518045		1.526684	1.515216	1.500465
hsa-miR-107	1.423102	1.436688	1.431325	1.432549	1.409445	1.412095	1.404365	1.405411	1.409201	1.439980	1.454903	1.461492	1.417239	1.436377	1.474668	1.438030	1.440799	1.417851
hsa-miR-10a	1.520361	1.521748	1.533601	1.545633	1.541948	1.536931	1.534890	1.538053	1.556519	1.532682		1.540844	1.517398	1.526288	1.541764	1.511980	1.524984	1.521067
hsa-miR-10b	1.502183	1.502110	1.544394	1.534419	1.526230	1.519296	1.508376	1.509723	1.507705	1.519164	1.543085	1.546537	1.510286	1.539283	1.518327	1.510349	1.505653	1.513935
hsa-miR-122	1.403098	1.382769	1.396257	1.425807	1.429196	1.421745	1.413685	1.441062	1.372323	1.402695	1.415223	1.439137	1.422805	1.404955	1.428169	1.421903	1.407046	1.391557
hsa-miR-125a-5p	1.461216	1.462031	1.471143	1.489979	1.459990	1.467310	1.464393	1.471683	1.467720	1.475483	1.481451	1.477007	1.461954	1.472497	1.486742	1.478132	1.476162	1.463834
hsa-miR-125b	1.464049	1.469839	1.471863	1.494112	1.484253	1.486711	1.461068	1.472859	1.462000	1.491252	1.487119	1.493623	1.474254	1.489919	1.512487	1.482009	1.482640	1.468009
hsa-miR-126	1.377475	1.391183	1.390770	1.417707	1.395071	1.396644	1.382803	1.385381	1.388329	1.406718	1.418924	1.419444	1.387162	1.396753	1.419436	1.393429	1.407019	1.377885
hsa-miR-127-3p	1.474027	1.497434	1.495276	1.529858	1.499302	1.507542	1.485875	1.496919	1.490986	1.496183	1.505750	1.511921	1.496792	1.498187	1.534451	1.519424	1.518690	1.487225
hsa-miR-128	1.480592	1.487020	1.478262	1.491103	1.475366	1.478425	1.475644	1.468054	1.478385	1.490012	1.483801	1.509145	1.477763	1.494143	1.513810	1.496830	1.513588	1.473330
hsa-miR-130a	1.451834	1.470858	1.477036	1.466259	1.439260	1.449263	1.441497	1.440204	1.449055	1.479418	1.494733	1.504899	1.445157	1.493604	1.510647	1.475196	1.488565	1.453754
hsa-miR-132	1.480841	1.482986	1.471222	1.420415	1.420070	1.431678	1.424022	1.419418	1.421850	1.475438	1.484208	1.488531	1.461745	1.445497	1.459588	1.429210	1.505936	1.433448
hsa-miR-133a	1.406950	1.427678	1.429319	1.501934	1.487516	1.497518	1.468092	1.476966	1.485793	1.422285	1.442188	1.456054	1.415943	1.525651	1.540603	1.501307	1.496134	1.485591
hsa-miR-133b	1.415414	1.432641	1.430736	1.488592	1.476225	1.488691	1.476937	1.478894	1.496121	1.429838	1.445515	1.456001	1.419164	1.501885	1.509076	1.490075	1.505412	1.485054
hsa-miR-136	1.437403	1.473264	1.456018		1.521091	1.538467	1.529558	1.515994	1.527482	1.461107	1.469311	1.483781	1.461854	1.459546	1.515110	1.488063	1.461995	1.462203
hsa-miR-139-5p	1.488689	1.492341	1.481426	1.506135	1.488607	1.484773	1.486540	1.488054	1.484199	1.496801	1.498435	1.495104	1.478085	1.489103	1.510506	1.496730	1.489127	1.478262
hsa-miR-140-3p	1.426443	1.438806	1.419306	1.445690	1.433000	1.440956	1.426833	1.425921	1.425245	1.424189	1.445927	1.445286	1.431876	1.440878	1.470728	1.451316	1.446331	1.432066
hsa-miR-140-5p	1.462959	1.478694	1.455662	1.501800	1.460582	1.478410	1.463446	1.467582	1.459484	1.461723	1.478466	1.472603	1.454427	1.471219	1.500325	1.482878	1.481134	1.463792
hsa-miR-142-3p	1.372086	1.389883	1.383371	1.429491	1.409406	1.409044	1.403672	1.400099	1.405359	1.384727	1.408452	1.414449	1.373752	1.399853	1.446120	1.400151	1.396479	1.377978
hsa-miR-142-5p	1.426769	1.433518	1.435512	1.452436	1.447240	1.447705	1.437317	1.436803	1.441362	1.440486	1.456481	1.482938	1.414390	1.465833	1.498282	1.458524	1.466315	1.443533
hsa-miR-143	1.434568	1.440069	1.453737	1.451907	1.464144	1.458306	1.443527	1.436445	1.439740	1.437147	1.449201	1.458762	1.431363	1.460711	1.488547	1.451816	1.458492	1.444464
hsa-miR-144	1.366052	1.392106	1.362358	1.438539	1.420671	1.437951	1.403968	1.406061	1.401752	1.379058	1.406414	1.426994	1.370008	1.432371	1.459947	1.406497	1.407560	1.401425
hsa-miR-144*	1.467256	1.479179	1.465000	1.499241	1.480734	1.494980	1.478309	1.479078	1.473645	1.474671	1.484481	1.498961	1.467574	1.485898	1.504785	1.475394	1.488546	1.468893
hsa-miR-145	1.454968	1.452797	1.462915	1.470289	1.473252	1.470700	1.453495	1.442462	1.461111	1.453725	1.467118	1.476783	1.449227	1.477360	1.522119	1.466685	1.468287	1.470247
