	P_1	P_2	P_4	P_5	P_6	P_7	P_8	P_9	P_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_19	C_20
hsa-let-7a	1.459803	1.467187																
hsa-let-7b	1.394497	1.406417																
hsa-let-7b*	1.505082	1.522526																
hsa-let-7c	1.489272	1.496972																
hsa-let-7d	1.476169	1.497523																
hsa-let-7d*	1.440762	1.467975																
hsa-let-7e	1.489327	1.508516																
hsa-let-7f	1.453299	1.455441																
hsa-let-7g	1.423789	1.433024																
hsa-let-7i	1.431833	1.455076																
hsa-let-7i*	1.496571	1.516431																
hsa-miR-1	1.437766	1.538085																
hsa-miR-101	1.393551	1.427196																
hsa-miR-103	1.406806	1.438047																
hsa-miR-103-2*	1.487640	1.434297																
hsa-miR-106a	1.397788	1.425733																
hsa-miR-106b	1.441698	1.466765																
hsa-miR-106b*	1.489095	1.527831																
hsa-miR-107	1.421462	1.447116																
hsa-miR-10a	1.550389	1.530700																
hsa-miR-10b	1.514566	1.516451																
hsa-miR-122	1.413327	1.413677																
hsa-miR-125a-5p	1.471937	1.490055																
hsa-miR-125b	1.466910	1.491376																
hsa-miR-126	1.382922	1.416154																
hsa-miR-127-3p	1.485024	1.514270																
hsa-miR-128	1.476857	1.511262																
hsa-miR-130a	1.452524	1.495134																
hsa-miR-132	1.471338	1.436609																
hsa-miR-133a	1.433929	1.539482																
hsa-miR-133b	1.438259	1.510119																
hsa-miR-136	1.451954	1.509415																
hsa-miR-139-5p	1.484201	1.503991																
hsa-miR-140-3p	1.412951	1.447113																
hsa-miR-140-5p	1.465029	1.496713																
hsa-miR-142-3p	1.384356	1.419961																
hsa-miR-142-5p	1.436379	1.489335																
hsa-miR-143	1.436213	1.459902																
hsa-miR-144	1.358441	1.420384																
hsa-miR-144*	1.481521	1.475171																
hsa-miR-145	1.457210	1.487224																
hsa-miR-146a	1.444572	1.479023																
hsa-miR-148a	1.443987	1.467768																
hsa-miR-148b	1.427092	1.472151																
hsa-miR-150	1.431017	1.425320																
hsa-miR-151-3p	1.449678	1.484671																
hsa-miR-151-5p	1.435827	1.471272																
hsa-miR-152	1.474933	1.503371																
hsa-miR-154	1.503164	1.531134																
hsa-miR-155	1.503799	1.508275																
hsa-miR-15a	1.364613	1.392755																
hsa-miR-15b	1.415151	1.426876																
hsa-miR-15b*	1.473166	1.491893																
hsa-miR-16	1.311148	1.347350																
hsa-miR-16-2*	1.458162	1.483354																
hsa-miR-17	1.460197	1.485393																
hsa-miR-181a	1.436444	1.466767																
hsa-miR-182	1.535335	1.519115																
hsa-miR-185	1.382427	1.409414																
hsa-miR-186	1.431101	1.465647																
hsa-miR-18a	1.452425	1.481650																
hsa-miR-18a*	1.517751																	
hsa-miR-18b	1.444014	1.483348																
hsa-miR-191	1.447055	1.479361																
hsa-miR-192	1.452203	1.467421																
hsa-miR-193b	1.500380	1.503426																
hsa-miR-194	1.470973	1.488946																
hsa-miR-195	1.495418	1.501709																
hsa-miR-197	1.461904	1.489402																
hsa-miR-1974	1.376237	1.439073																
hsa-miR-199a-3p	1.450516	1.480480																
hsa-miR-199a-5p	1.457867	1.507333																
hsa-miR-19a	1.425622	1.466467																
hsa-miR-19b	1.348103	1.385671																
hsa-miR-200c	1.520774	1.523560																
hsa-miR-205	1.509726	1.514460																
hsa-miR-20a	1.385706	1.410638																
hsa-miR-20a*	1.518072	1.541525																
hsa-miR-20b	1.486375	1.519847																
hsa-miR-21	1.370236	1.398166																
hsa-miR-210	1.443764	1.485058																
hsa-miR-2110	1.475595	1.515865																
hsa-miR-215	1.470084	1.488615																
hsa-miR-22	1.404273	1.438630																
hsa-miR-22*	1.467223	1.481954																
hsa-miR-221	1.426438	1.477348																
hsa-miR-222	1.457910	1.483731																
hsa-miR-223	1.336207	1.372585																
hsa-miR-223*	1.483903	1.510909																
hsa-miR-23a	1.391607	1.423264																
hsa-miR-23b	1.423932	1.454860																
hsa-miR-24	1.394262	1.427316																
hsa-miR-25	1.387669	1.419393																
hsa-miR-26a	1.407501	1.431272																
hsa-miR-26b	1.434808	1.445890																
hsa-miR-27a	1.410414	1.446557																
hsa-miR-27b	1.434070	1.461925																
hsa-miR-28-3p	1.483160	1.504495																
hsa-miR-28-5p	1.484040	1.528135																
hsa-miR-297	1.472416	1.538483																
hsa-miR-29a	1.443502	1.458415																
hsa-miR-29a*	1.511682	1.531950																
hsa-miR-29b	1.445781	1.484328																
hsa-miR-29b-2*	1.502573	1.530830																
hsa-miR-29c	1.412250	1.442011																
hsa-miR-301a	1.493261	1.517264																
